GEOID,NAME,variable,estimate,moe
19001,"Adair County, Iowa",Total,3936,127
19001,"Adair County, Iowa","Car, truck or van",3368,143
19001,"Adair County, Iowa","Car, truck or van: drove alone",2988,152
19001,"Adair County, Iowa","Car, truck or van: carpooled",380,78
19001,"Adair County, Iowa","Car, truck or van: carpooled: 2 person carpool",258,65
19001,"Adair County, Iowa","Car, truck or van: carpooled: 3 person carpool",55,28
19001,"Adair County, Iowa","Car, truck or van: carpooled: 4 person carpool",13,15
19001,"Adair County, Iowa","Car, truck or van: carpooled: 5 or 6 person carpool",22,23
19001,"Adair County, Iowa","Car, truck or van: carpooled: 7 or more person carpool",32,26
19001,"Adair County, Iowa",Public transportation (excluding taxicab),18,18
19001,"Adair County, Iowa",Bus,18,18
19001,"Adair County, Iowa",Subway or elevated rail,0,14
19001,"Adair County, Iowa",Long distance train or commuter rail,0,14
19001,"Adair County, Iowa","Light rail, streetcar or trolley",0,14
19001,"Adair County, Iowa",Ferryboat,0,14
19001,"Adair County, Iowa",Taxicab,0,14
19001,"Adair County, Iowa",Motorcycle,9,14
19001,"Adair County, Iowa",Bicycle,0,14
19001,"Adair County, Iowa",Walked,112,54
19001,"Adair County, Iowa",Other means,26,21
19001,"Adair County, Iowa",Worked from home,403,102
19003,"Adams County, Iowa",Total,2036,95
19003,"Adams County, Iowa","Car, truck or van",1692,101
19003,"Adams County, Iowa","Car, truck or van: drove alone",1465,98
19003,"Adams County, Iowa","Car, truck or van: carpooled",227,51
19003,"Adams County, Iowa","Car, truck or van: carpooled: 2 person carpool",137,45
19003,"Adams County, Iowa","Car, truck or van: carpooled: 3 person carpool",75,34
19003,"Adams County, Iowa","Car, truck or van: carpooled: 4 person carpool",13,15
19003,"Adams County, Iowa","Car, truck or van: carpooled: 5 or 6 person carpool",2,6
19003,"Adams County, Iowa","Car, truck or van: carpooled: 7 or more person carpool",0,10
19003,"Adams County, Iowa",Public transportation (excluding taxicab),11,24
19003,"Adams County, Iowa",Bus,11,24
19003,"Adams County, Iowa",Subway or elevated rail,0,10
19003,"Adams County, Iowa",Long distance train or commuter rail,0,10
19003,"Adams County, Iowa","Light rail, streetcar or trolley",0,10
19003,"Adams County, Iowa",Ferryboat,0,10
19003,"Adams County, Iowa",Taxicab,0,10
19003,"Adams County, Iowa",Motorcycle,4,6
19003,"Adams County, Iowa",Bicycle,11,14
19003,"Adams County, Iowa",Walked,58,35
19003,"Adams County, Iowa",Other means,55,32
19003,"Adams County, Iowa",Worked from home,205,51
19005,"Allamakee County, Iowa",Total,6801,275
19005,"Allamakee County, Iowa","Car, truck or van",5627,297
19005,"Allamakee County, Iowa","Car, truck or van: drove alone",4976,287
19005,"Allamakee County, Iowa","Car, truck or van: carpooled",651,145
19005,"Allamakee County, Iowa","Car, truck or van: carpooled: 2 person carpool",510,139
19005,"Allamakee County, Iowa","Car, truck or van: carpooled: 3 person carpool",94,50
19005,"Allamakee County, Iowa","Car, truck or van: carpooled: 4 person carpool",23,21
19005,"Allamakee County, Iowa","Car, truck or van: carpooled: 5 or 6 person carpool",24,22
