"","GEOID","NAME","B28003_001E","B28003_001M","B28003_002E","B28003_002M","B28003_003E","B28003_003M","B28003_004E","B28003_004M","B28003_005E","B28003_005M","B28003_006E","B28003_006M"
"1","20015","Butler County, Kansas",24385,919,21971,1253,0,177,20397,1307,1574,537,2414,837
"2","20045","Douglas County, Kansas",47643,1418,45865,1415,82,139,42483,1579,3300,998,1778,660
"3","20091","Johnson County, Kansas",229030,2177,219319,2658,366,220,211615,2929,7338,1399,9711,1451
"4","20103","Leavenworth County, Kansas",27350,1077,25083,1110,0,177,22470,1218,2613,920,2267,780
"5","20161","Riley County, Kansas",27067,1389,25880,1584,81,134,24429,1490,1370,549,1187,629
"6","20173","Sedgwick County, Kansas",196053,2870,180182,3079,732,310,164041,3315,15409,2039,15871,1584
"7","20177","Shawnee County, Kansas",73724,1633,64634,2053,15,27,53567,2126,11052,1716,9090,1593
"8","20209","Wyandotte County, Kansas",60737,1377,53131,1519,184,146,45531,1508,7416,1273,7606,1030
"9","21015","Boone County, Kentucky",46388,1225,43904,1440,43,74,41843,1588,2018,733,2484,815
"10","21029","Bullitt County, Kentucky",29715,725,26901,875,154,160,23427,1119,3320,805,2814,753
"11","21037","Campbell County, Kentucky",35740,1488,33312,1510,323,321,30650,1626,2339,859,2428,608
"12","21047","Christian County, Kentucky",25584,1236,21967,1428,0,195,19569,1480,2398,836,3617,871
"13","21059","Daviess County, Kentucky",40920,960,35273,1467,433,325,31832,1510,3008,774,5647,1199
"14","21067","Fayette County, Kentucky",129140,2283,121454,2517,144,143,114368,2669,6942,1122,7686,1371
"15","21093","Hardin County, Kentucky",42911,1212,38723,1487,75,125,30330,2063,8318,1970,4188,1077
"16","21111","Jefferson County, Kentucky",312747,3307,282838,4015,438,286,264813,4179,17587,2209,29909,2408
"17","21117","Kenton County, Kentucky",63679,1401,58719,1451,324,215,53657,1639,4738,993,4960,919
"18","21145","McCracken County, Kentucky",26803,1272,23751,1338,190,209,21893,1452,1668,652,3052,729
"19","21151","Madison County, Kentucky",33104,1048,30113,1144,300,430,25658,1282,4155,959,2991,673
"20","21185","Oldham County, Kentucky",20840,637,19782,742,0,195,18591,866,1191,434,1058,483
"21","21227","Warren County, Kentucky",47996,1815,43317,1969,88,149,40350,2089,2879,1116,4679,1101
"22","22005","Ascension Parish, Louisiana",44319,1239,41458,1581,229,274,37984,1615,3245,1173,2861,971
"23","22015","Bossier Parish, Louisiana",49615,1917,45467,1991,0,214,29043,2406,16424,2286,4148,950
"24","22017","Caddo Parish, Louisiana",95793,2440,80908,2867,0,214,63834,3214,17074,2436,14885,1808
"25","22019","Calcasieu Parish, Louisiana",78305,2270,68533,2528,0,214,59175,2917,9358,1762,9772,1595
"26","22033","East Baton Rouge Parish, Louisiana",162627,3066,144077,3763,87,102,132855,3585,11135,1879,18550,2387
"27","22045","Iberia Parish, Louisiana",26345,1063,21861,1383,0,214,20028,1401,1833,645,4484,939
"28","22051","Jefferson Parish, Louisiana",168031,2032,147613,2957,209,199,129559,3260,17845,2205,20418,2053
"29","22055","Lafayette Parish, Louisiana",89465,2670,78050,3094,0,214,72542,2977,5508,1655,11415,1790
"30","22057","Lafourche Parish, Louisiana",36420,1175,31891,1263,0,214,28945,1532,2946,788,4529,963
"31","22063","Livingston Parish, Louisiana",47992,2123,43922,2510,82,139,38900,2775,4940,1570,4070,1497
"32","22071","Orleans Parish, Louisiana",154560,2853,131298,3247,321,188,114054,2970,16923,1557,23262,1865
"33","22073","Ouachita Parish, Louisiana",58232,1997,46222,2028,181,179,40826,2304,5215,1207,12010,1787
"34","22079","Rapides Parish, Louisiana",48473,1800,42010,1940,86,94,37694,1885,4230,1084,6463,1373
"35","22097","St. Landry Parish, Louisiana",30136,1255,24196,1516,306,341,19813,1637,4077,1076,5940,1021
"36","22103","St. Tammany Parish, Louisiana",94499,2076,88559,2437,201,138,82431,2664,5927,1532,5940,1440
"37","22105","Tangipahoa Parish, Louisiana",49272,1581,42889,2169,159,215,37804,2177,4926,1565,6383,1496
