"","GEOID","NAME","B28010_001E","B28010_001M","B28010_002E","B28010_002M","B28010_003E","B28010_003M","B28010_004E","B28010_004M","B28010_005E","B28010_005M","B28010_006E","B28010_006M","B28010_007E","B28010_007M"
"1","01003","Baldwin County, Alabama",94105,3462,90474,3652,74753,4233,1837,690,88637,3675,15721,2787,3631,1139
"2","01015","Calhoun County, Alabama",44631,1889,42104,1975,30132,2077,978,607,41126,2064,11972,1734,2527,743
"3","01043","Cullman County, Alabama",35131,1361,33064,1500,24165,1500,1044,551,32020,1530,8899,1479,2067,682
"4","01049","DeKalb County, Alabama",24979,1117,22002,1437,14046,1361,1146,547,20856,1482,7956,1381,2977,952
"5","01051","Elmore County, Alabama",32108,1460,30497,1600,24888,1871,1367,648,29130,1580,5609,1417,1611,755
"6","01055","Etowah County, Alabama",38006,1724,34729,1748,24890,1640,965,408,33764,1730,9839,1287,3277,841
"7","01069","Houston County, Alabama",44058,937,41225,962,29815,1261,753,216,40472,1014,11410,979,2833,646
"8","01073","Jefferson County, Alabama",270147,3778,257364,4401,203337,5340,7888,1756,249476,4765,54027,3907,12783,1790
"9","01077","Lauderdale County, Alabama",38250,1562,35038,1726,25759,1878,1096,489,33942,1807,9279,1607,3212,828
"10","01081","Lee County, Alabama",67358,2031,64311,2392,55114,2715,2004,951,62307,2432,9197,2022,3047,1149
"11","01083","Limestone County, Alabama",40685,1358,36818,1864,31470,1895,957,639,35861,2053,5348,1425,3867,1371
"12","01089","Madison County, Alabama",164493,2228,158289,2481,142751,3091,3831,1165,154458,2537,15538,2767,6204,1703
"13","01095","Marshall County, Alabama",36003,1538,33032,1712,23862,1974,940,365,32092,1769,9170,1400,2971,869
"14","01097","Mobile County, Alabama",162963,2840,153725,2998,116340,3971,3781,1073,149944,3110,37385,3323,9238,1503
"15","01101","Montgomery County, Alabama",92407,2282,86776,2492,66270,2641,2597,855,84179,2663,20506,2349,5631,1080
"16","01103","Morgan County, Alabama",47558,1574,41093,2072,32620,2248,1361,628,39732,2126,8473,1477,6465,1547
"17","01115","St. Clair County, Alabama",33093,1559,31733,1606,27970,1741,871,453,30862,1715,3763,1065,1360,580
"18","01117","Shelby County, Alabama",86970,1334,84421,1551,74465,2377,999,454,83422,1583,9956,1993,2549,770
"19","01121","Talladega County, Alabama",33775,1243,31029,1375,20648,1921,1549,684,29480,1451,10381,1747,2746,1140
