"","GEOID","NAME","B28011_001E","B28011_001M","B28011_002E","B28011_002M","B28011_003E","B28011_003M","B28011_004E","B28011_004M","B28011_005E","B28011_005M","B28011_006E","B28011_006M","B28011_007E","B28011_007M","B28011_008E","B28011_008M"
"1","01003","Baldwin County, Alabama",94105,3462,86581,3641,155,182,64235,4317,12509,2184,529,385,1322,768,6202,1576
"2","01015","Calhoun County, Alabama",44631,1889,37755,1868,0,216,25478,1915,4870,1117,847,424,1046,613,5830,983
"3","01043","Cullman County, Alabama",35131,1361,29915,1793,0,216,22002,1745,3032,911,340,243,597,357,4619,1235
"4","01049","DeKalb County, Alabama",24979,1117,19588,1535,13,24,13166,1445,1701,539,169,214,874,454,4517,1141
"5","01051","Elmore County, Alabama",32108,1460,28606,1787,385,390,23654,2193,2046,822,127,161,526,483,2976,1022
"6","01055","Etowah County, Alabama",38006,1724,32652,1654,0,216,23452,1731,3480,957,854,602,981,471,4373,1090
"7","01069","Houston County, Alabama",44058,937,37932,1121,135,133,29997,1110,2769,524,212,107,1184,356,4942,818
"8","01073","Jefferson County, Alabama",270147,3778,240619,4491,192,185,200624,4714,22263,2561,2392,993,6918,1815,22610,2401
"9","01077","Lauderdale County, Alabama",38250,1562,30483,1775,11,19,23569,1895,3502,1033,168,166,1953,776,5814,1079
"10","01081","Lee County, Alabama",67358,2031,58805,2487,0,216,48752,2788,6700,1898,1878,872,3425,1462,5128,1512
"11","01083","Limestone County, Alabama",40685,1358,35006,1792,122,164,29631,2090,2463,963,742,638,1288,830,4391,1249
"12","01089","Madison County, Alabama",164493,2228,151260,2665,149,189,130649,3194,10569,1761,1212,859,5031,1657,8202,1893
"13","01095","Marshall County, Alabama",36003,1538,31630,1654,114,134,24824,1834,1856,627,378,406,639,374,3734,988
"14","01097","Mobile County, Alabama",162963,2840,139645,3243,3753,1347,101384,3949,13724,1969,497,293,3358,990,19960,2106
"15","01101","Montgomery County, Alabama",92407,2282,82360,2704,165,162,70449,3159,5262,1396,1117,567,2722,1068,7325,1496
"16","01103","Morgan County, Alabama",47558,1574,38449,2140,0,216,29573,2163,3865,1041,752,519,1836,1144,7273,1395
"17","01115","St. Clair County, Alabama",33093,1559,30220,1671,64,105,22284,2309,3878,1285,1718,1150,641,662,2232,707
"18","01117","Shelby County, Alabama",86970,1334,81659,1823,40,64,70298,2238,6568,1367,350,316,1483,702,3828,955
"19","01121","Talladega County, Alabama",33775,1243,29670,1518,0,216,21645,1804,2706,855,621,445,341,250,3764,1182
"20","01125","Tuscaloosa County, Alabama",86694,2669,76786,2640,0,216,62695,2804,7087,1315,829,524,3241,1199,6667,1586
"21","02020","Anchorage Municipality, Alaska",109584,2068,103502,2384,242,287,88386,3224,5188,1489,414,333,1114,599,4968,1206
"22","02090","Fairbanks North Star Borough, Alaska",36426,1589,32000,1836,55,90,24137,1975,1291,723,713,544,758,509,3668,1217
"23","02170","Matanuska-Susitna Borough, Alaska",40997,865,38083,940,0,184,29432,1070,1912,540,467,340,366,210,2548,586
