"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","B15003_001",5280,36
"2","19001","Adair County, Iowa","B15003_002",43,36
"3","19001","Adair County, Iowa","B15003_003",0,15
"4","19001","Adair County, Iowa","B15003_004",0,15
"5","19001","Adair County, Iowa","B15003_005",0,15
"6","19001","Adair County, Iowa","B15003_006",0,15
"7","19001","Adair County, Iowa","B15003_007",0,15
"8","19001","Adair County, Iowa","B15003_008",0,15
"9","19001","Adair County, Iowa","B15003_009",0,15
"10","19001","Adair County, Iowa","B15003_010",0,15
"11","19001","Adair County, Iowa","B15003_011",0,15
"12","19001","Adair County, Iowa","B15003_012",28,25
"13","19001","Adair County, Iowa","B15003_013",38,30
"14","19001","Adair County, Iowa","B15003_014",88,39
"15","19001","Adair County, Iowa","B15003_015",30,18
"16","19001","Adair County, Iowa","B15003_016",53,26
"17","19001","Adair County, Iowa","B15003_017",1967,169
"18","19001","Adair County, Iowa","B15003_018",164,55
"19","19001","Adair County, Iowa","B15003_019",494,104
"20","19001","Adair County, Iowa","B15003_020",615,88
"21","19001","Adair County, Iowa","B15003_021",733,103
"22","19001","Adair County, Iowa","B15003_022",746,124
"23","19001","Adair County, Iowa","B15003_023",155,55
"24","19001","Adair County, Iowa","B15003_024",61,30
"25","19001","Adair County, Iowa","B15003_025",65,41
"26","19003","Adams County, Iowa","B15003_001",2669,17
"27","19003","Adams County, Iowa","B15003_002",29,43
"28","19003","Adams County, Iowa","B15003_003",0,10
"29","19003","Adams County, Iowa","B15003_004",6,9
"30","19003","Adams County, Iowa","B15003_005",0,10
"31","19003","Adams County, Iowa","B15003_006",0,10
"32","19003","Adams County, Iowa","B15003_007",0,10
"33","19003","Adams County, Iowa","B15003_008",0,10
"34","19003","Adams County, Iowa","B15003_009",0,10
"35","19003","Adams County, Iowa","B15003_010",3,5
"36","19003","Adams County, Iowa","B15003_011",0,10
"37","19003","Adams County, Iowa","B15003_012",41,31
"38","19003","Adams County, Iowa","B15003_013",22,17
"39","19003","Adams County, Iowa","B15003_014",5,6
"40","19003","Adams County, Iowa","B15003_015",26,25
"41","19003","Adams County, Iowa","B15003_016",14,11
"42","19003","Adams County, Iowa","B15003_017",856,114
"43","19003","Adams County, Iowa","B15003_018",104,41
"44","19003","Adams County, Iowa","B15003_019",172,43
"45","19003","Adams County, Iowa","B15003_020",384,83
"46","19003","Adams County, Iowa","B15003_021",412,68
"47","19003","Adams County, Iowa","B15003_022",482,83
"48","19003","Adams County, Iowa","B15003_023",58,23
"49","19003","Adams County, Iowa","B15003_024",44,35
"50","19003","Adams County, Iowa","B15003_025",11,14
"51","19005","Allamakee County, Iowa","B15003_001",9787,57
"52","19005","Allamakee County, Iowa","B15003_002",106,59
"53","19005","Allamakee County, Iowa","B15003_003",0,16
"54","19005","Allamakee County, Iowa","B15003_004",0,16
"55","19005","Allamakee County, Iowa","B15003_005",0,16
"56","19005","Allamakee County, Iowa","B15003_006",0,16
"57","19005","Allamakee County, Iowa","B15003_007",0,16
"58","19005","Allamakee County, Iowa","B15003_008",14,20
"59","19005","Allamakee County, Iowa","B15003_009",31,30
"60","19005","Allamakee County, Iowa","B15003_010",29,25
"61","19005","Allamakee County, Iowa","B15003_011",59,41
"62","19005","Allamakee County, Iowa","B15003_012",230,96
"63","19005","Allamakee County, Iowa","B15003_013",60,33
"64","19005","Allamakee County, Iowa","B15003_014",94,55
"65","19005","Allamakee County, Iowa","B15003_015",192,78
"66","19005","Allamakee County, Iowa","B15003_016",129,50
"67","19005","Allamakee County, Iowa","B15003_017",3584,295
"68","19005","Allamakee County, Iowa","B15003_018",424,122
"69","19005","Allamakee County, Iowa","B15003_019",589,114
"70","19005","Allamakee County, Iowa","B15003_020",1259,176
"71","19005","Allamakee County, Iowa","B15003_021",1291,215
"72","19005","Allamakee County, Iowa","B15003_022",1171,185
"73","19005","Allamakee County, Iowa","B15003_023",388,111
"74","19005","Allamakee County, Iowa","B15003_024",92,45
"75","19005","Allamakee County, Iowa","B15003_025",45,32
"76","19007","Appanoose County, Iowa","B15003_001",8671,101
"77","19007","Appanoose County, Iowa","B15003_002",51,56
"78","19007","Appanoose County, Iowa","B15003_003",1,2
"79","19007","Appanoose County, Iowa","B15003_004",0,16
"80","19007","Appanoose County, Iowa","B15003_005",0,16
"81","19007","Appanoose County, Iowa","B15003_006",0,16
"82","19007","Appanoose County, Iowa","B15003_007",25,47
"83","19007","Appanoose County, Iowa","B15003_008",0,16
"84","19007","Appanoose County, Iowa","B15003_009",2,3
"85","19007","Appanoose County, Iowa","B15003_010",36,26
"86","19007","Appanoose County, Iowa","B15003_011",22,28
"87","19007","Appanoose County, Iowa","B15003_012",222,82
"88","19007","Appanoose County, Iowa","B15003_013",84,57
"89","19007","Appanoose County, Iowa","B15003_014",108,46
"90","19007","Appanoose County, Iowa","B15003_015",130,49
"91","19007","Appanoose County, Iowa","B15003_016",111,53
"92","19007","Appanoose County, Iowa","B15003_017",2628,242
"93","19007","Appanoose County, Iowa","B15003_018",454,104
"94","19007","Appanoose County, Iowa","B15003_019",888,175
"95","19007","Appanoose County, Iowa","B15003_020",1152,184
"96","19007","Appanoose County, Iowa","B15003_021",1120,173
"97","19007","Appanoose County, Iowa","B15003_022",1200,192
"98","19007","Appanoose County, Iowa","B15003_023",326,98
"99","19007","Appanoose County, Iowa","B15003_024",83,43
"100","19007","Appanoose County, Iowa","B15003_025",28,36
"101","19009","Audubon County, Iowa","B15003_001",4041,36
"102","19009","Audubon County, Iowa","B15003_002",9,9
"103","19009","Audubon County, Iowa","B15003_003",0,15
"104","19009","Audubon County, Iowa","B15003_004",0,15
"105","19009","Audubon County, Iowa","B15003_005",0,15
"106","19009","Audubon County, Iowa","B15003_006",2,4
"107","19009","Audubon County, Iowa","B15003_007",0,15
"108","19009","Audubon County, Iowa","B15003_008",0,15
"109","19009","Audubon County, Iowa","B15003_009",6,11
"110","19009","Audubon County, Iowa","B15003_010",0,15
"111","19009","Audubon County, Iowa","B15003_011",2,3
"112","19009","Audubon County, Iowa","B15003_012",85,58
"113","19009","Audubon County, Iowa","B15003_013",57,30
"114","19009","Audubon County, Iowa","B15003_014",32,21
"115","19009","Audubon County, Iowa","B15003_015",91,45
"116","19009","Audubon County, Iowa","B15003_016",48,21
"117","19009","Audubon County, Iowa","B15003_017",1334,104
"118","19009","Audubon County, Iowa","B15003_018",124,46
"119","19009","Audubon County, Iowa","B15003_019",291,53
"120","19009","Audubon County, Iowa","B15003_020",663,116
"121","19009","Audubon County, Iowa","B15003_021",429,80
"122","19009","Audubon County, Iowa","B15003_022",644,102
"123","19009","Audubon County, Iowa","B15003_023",182,54
"124","19009","Audubon County, Iowa","B15003_024",16,15
"125","19009","Audubon County, Iowa","B15003_025",26,26
"126","19011","Benton County, Iowa","B15003_001",17803,55
"127","19011","Benton County, Iowa","B15003_002",169,94
"128","19011","Benton County, Iowa","B15003_003",0,19
"129","19011","Benton County, Iowa","B15003_004",0,19
"130","19011","Benton County, Iowa","B15003_005",0,19
"131","19011","Benton County, Iowa","B15003_006",0,19
"132","19011","Benton County, Iowa","B15003_007",0,19
