"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","B20004_001",40848,2410
"2","19001","Adair County, Iowa","B20004_002",28438,8557
"3","19001","Adair County, Iowa","B20004_003",34795,3944
"4","19001","Adair County, Iowa","B20004_004",43665,4428
"5","19001","Adair County, Iowa","B20004_005",41731,9723
"6","19001","Adair County, Iowa","B20004_006",54583,9540
"7","19001","Adair County, Iowa","B20004_007",46309,4108
"8","19001","Adair County, Iowa","B20004_008",32708,12135
"9","19001","Adair County, Iowa","B20004_009",41969,6033
"10","19001","Adair County, Iowa","B20004_010",48432,2453
"11","19001","Adair County, Iowa","B20004_011",62159,21934
"12","19001","Adair County, Iowa","B20004_012",28235,23538
"13","19001","Adair County, Iowa","B20004_013",35449,3173
"14","19001","Adair County, Iowa","B20004_014",18333,11135
"15","19001","Adair County, Iowa","B20004_015",27250,3604
"16","19001","Adair County, Iowa","B20004_016",35282,6140
"17","19001","Adair County, Iowa","B20004_017",39625,5479
"18","19001","Adair County, Iowa","B20004_018",66250,25063
"19","19003","Adams County, Iowa","B20004_001",38924,4086
"20","19003","Adams County, Iowa","B20004_002",NA,NA
"21","19003","Adams County, Iowa","B20004_003",35094,3520
"22","19003","Adams County, Iowa","B20004_004",38707,4164
"23","19003","Adams County, Iowa","B20004_005",42788,8367
"24","19003","Adams County, Iowa","B20004_006",73403,12589
"25","19003","Adams County, Iowa","B20004_007",44335,4989
"26","19003","Adams County, Iowa","B20004_008",NA,NA
"27","19003","Adams County, Iowa","B20004_009",37244,13399
"28","19003","Adams County, Iowa","B20004_010",43558,3724
"29","19003","Adams County, Iowa","B20004_011",54330,10320
"30","19003","Adams County, Iowa","B20004_012",73750,1176
"31","19003","Adams County, Iowa","B20004_013",35119,2630
"32","19003","Adams County, Iowa","B20004_014",21111,3846
"33","19003","Adams County, Iowa","B20004_015",30568,3696
"34","19003","Adams County, Iowa","B20004_016",34265,7160
"35","19003","Adams County, Iowa","B20004_017",36944,3610
"36","19003","Adams County, Iowa","B20004_018",67250,29054
"37","19005","Allamakee County, Iowa","B20004_001",41250,1673
"38","19005","Allamakee County, Iowa","B20004_002",39962,3995
"39","19005","Allamakee County, Iowa","B20004_003",35533,4066
"40","19005","Allamakee County, Iowa","B20004_004",42065,2452
"41","19005","Allamakee County, Iowa","B20004_005",41250,5285
"42","19005","Allamakee County, Iowa","B20004_006",60688,3269
"43","19005","Allamakee County, Iowa","B20004_007",47495,3151
"44","19005","Allamakee County, Iowa","B20004_008",44097,5705
"45","19005","Allamakee County, Iowa","B20004_009",44058,3831
"46","19005","Allamakee County, Iowa","B20004_010",51728,2187
"47","19005","Allamakee County, Iowa","B20004_011",53690,5072
"48","19005","Allamakee County, Iowa","B20004_012",67083,16120
"49","19005","Allamakee County, Iowa","B20004_013",33344,2704
"50","19005","Allamakee County, Iowa","B20004_014",12583,12135
"51","19005","Allamakee County, Iowa","B20004_015",25729,3845
"52","19005","Allamakee County, Iowa","B20004_016",36332,4463
"53","19005","Allamakee County, Iowa","B20004_017",37996,5369
"54","19005","Allamakee County, Iowa","B20004_018",60151,11135
"55","19007","Appanoose County, Iowa","B20004_001",37150,1991
"56","19007","Appanoose County, Iowa","B20004_002",36406,7356
"57","19007","Appanoose County, Iowa","B20004_003",29309,3209
"58","19007","Appanoose County, Iowa","B20004_004",36674,1957
"59","19007","Appanoose County, Iowa","B20004_005",56679,7733
"60","19007","Appanoose County, Iowa","B20004_006",53125,15027
"61","19007","Appanoose County, Iowa","B20004_007",43817,2091
"62","19007","Appanoose County, Iowa","B20004_008",36250,10295
"63","19007","Appanoose County, Iowa","B20004_009",32485,4689
"64","19007","Appanoose County, Iowa","B20004_010",46250,7000
"65","19007","Appanoose County, Iowa","B20004_011",73523,7746
"66","19007","Appanoose County, Iowa","B20004_012",55625,15928
"67","19007","Appanoose County, Iowa","B20004_013",31584,2010
"68","19007","Appanoose County, Iowa","B20004_014",37000,17729
"69","19007","Appanoose County, Iowa","B20004_015",18867,5057
"70","19007","Appanoose County, Iowa","B20004_016",30833,2885
"71","19007","Appanoose County, Iowa","B20004_017",44856,9238
"72","19007","Appanoose County, Iowa","B20004_018",48750,32652
"73","19009","Audubon County, Iowa","B20004_001",33899,3584
"74","19009","Audubon County, Iowa","B20004_002",19375,11467
"75","19009","Audubon County, Iowa","B20004_003",31000,2295
"76","19009","Audubon County, Iowa","B20004_004",32528,5467
"77","19009","Audubon County, Iowa","B20004_005",51012,2059
"78","19009","Audubon County, Iowa","B20004_006",37917,9465
"79","19009","Audubon County, Iowa","B20004_007",41988,6144
"80","19009","Audubon County, Iowa","B20004_008",27188,13811
"81","19009","Audubon County, Iowa","B20004_009",39261,6122
"82","19009","Audubon County, Iowa","B20004_010",47596,8308
"83","19009","Audubon County, Iowa","B20004_011",54286,6794
"84","19009","Audubon County, Iowa","B20004_012",NA,NA
"85","19009","Audubon County, Iowa","B20004_013",27723,3715
"86","19009","Audubon County, Iowa","B20004_014",17614,16020
"87","19009","Audubon County, Iowa","B20004_015",18344,4785
"88","19009","Audubon County, Iowa","B20004_016",26696,3205
"89","19009","Audubon County, Iowa","B20004_017",50332,2637
"90","19009","Audubon County, Iowa","B20004_018",37604,5552
"91","19011","Benton County, Iowa","B20004_001",47197,2402
"92","19011","Benton County, Iowa","B20004_002",33281,10661
"93","19011","Benton County, Iowa","B20004_003",39924,3425
"94","19011","Benton County, Iowa","B20004_004",43913,2982
"95","19011","Benton County, Iowa","B20004_005",59335,4442
"96","19011","Benton County, Iowa","B20004_006",74222,5048
"97","19011","Benton County, Iowa","B20004_007",53916,1833
"98","19011","Benton County, Iowa","B20004_008",42946,11753
"99","19011","Benton County, Iowa","B20004_009",46500,3473
"100","19011","Benton County, Iowa","B20004_010",56813,3740
"101","19011","Benton County, Iowa","B20004_011",73145,7896
"102","19011","Benton County, Iowa","B20004_012",100875,10462
"103","19011","Benton County, Iowa","B20004_013",38742,1621
"104","19011","Benton County, Iowa","B20004_014",NA,NA
"105","19011","Benton County, Iowa","B20004_015",31332,3536
"106","19011","Benton County, Iowa","B20004_016",36056,3173
"107","19011","Benton County, Iowa","B20004_017",52289,2326
"108","19011","Benton County, Iowa","B20004_018",64682,6227
"109","19013","Black Hawk County, Iowa","B20004_001",40685,881
"110","19013","Black Hawk County, Iowa","B20004_002",31464,1739
"111","19013","Black Hawk County, Iowa","B20004_003",34383,1591
"112","19013","Black Hawk County, Iowa","B20004_004",37011,1239
"113","19013","Black Hawk County, Iowa","B20004_005",51441,2101
"114","19013","Black Hawk County, Iowa","B20004_006",72146,6449
"115","19013","Black Hawk County, Iowa","B20004_007",47215,2272
"116","19013","Black Hawk County, Iowa","B20004_008",32491,2188
"117","19013","Black Hawk County, Iowa","B20004_009",39138,2086
"118","19013","Black Hawk County, Iowa","B20004_010",45297,3297
"119","19013","Black Hawk County, Iowa","B20004_011",63758,6931
"120","19013","Black Hawk County, Iowa","B20004_012",76765,4964
"121","19013","Black Hawk County, Iowa","B20004_013",34851,1082
