"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","B17003_001",5153,76
"2","19001","Adair County, Iowa","B17003_002",510,120
"3","19001","Adair County, Iowa","B17003_003",163,46
"4","19001","Adair County, Iowa","B17003_004",22,18
"5","19001","Adair County, Iowa","B17003_005",80,35
"6","19001","Adair County, Iowa","B17003_006",59,27
"7","19001","Adair County, Iowa","B17003_007",2,4
"8","19001","Adair County, Iowa","B17003_008",347,90
"9","19001","Adair County, Iowa","B17003_009",45,31
"10","19001","Adair County, Iowa","B17003_010",165,60
"11","19001","Adair County, Iowa","B17003_011",128,45
"12","19001","Adair County, Iowa","B17003_012",9,12
"13","19001","Adair County, Iowa","B17003_013",4643,140
"14","19001","Adair County, Iowa","B17003_014",2408,57
"15","19001","Adair County, Iowa","B17003_015",85,36
"16","19001","Adair County, Iowa","B17003_016",1053,98
"17","19001","Adair County, Iowa","B17003_017",805,88
"18","19001","Adair County, Iowa","B17003_018",465,87
"19","19001","Adair County, Iowa","B17003_019",2235,121
"20","19001","Adair County, Iowa","B17003_020",108,40
"21","19001","Adair County, Iowa","B17003_021",764,85
"22","19001","Adair County, Iowa","B17003_022",827,100
"23","19001","Adair County, Iowa","B17003_023",536,92
"24","19003","Adams County, Iowa","B17003_001",2619,49
"25","19003","Adams County, Iowa","B17003_002",307,63
"26","19003","Adams County, Iowa","B17003_003",142,52
"27","19003","Adams County, Iowa","B17003_004",27,27
"28","19003","Adams County, Iowa","B17003_005",84,38
"29","19003","Adams County, Iowa","B17003_006",28,20
"30","19003","Adams County, Iowa","B17003_007",3,4
"31","19003","Adams County, Iowa","B17003_008",165,55
"32","19003","Adams County, Iowa","B17003_009",43,37
"33","19003","Adams County, Iowa","B17003_010",47,29
"34","19003","Adams County, Iowa","B17003_011",59,34
"35","19003","Adams County, Iowa","B17003_012",16,17
"36","19003","Adams County, Iowa","B17003_013",2312,72
"37","19003","Adams County, Iowa","B17003_014",1148,59
"38","19003","Adams County, Iowa","B17003_015",53,24
"39","19003","Adams County, Iowa","B17003_016",482,75
"40","19003","Adams County, Iowa","B17003_017",361,58
"41","19003","Adams County, Iowa","B17003_018",252,52
"42","19003","Adams County, Iowa","B17003_019",1164,60
"43","19003","Adams County, Iowa","B17003_020",16,14
"44","19003","Adams County, Iowa","B17003_021",325,61
"45","19003","Adams County, Iowa","B17003_022",506,79
"46","19003","Adams County, Iowa","B17003_023",317,56
"47","19005","Allamakee County, Iowa","B17003_001",9575,93
"48","19005","Allamakee County, Iowa","B17003_002",842,160
"49","19005","Allamakee County, Iowa","B17003_003",356,91
"50","19005","Allamakee County, Iowa","B17003_004",84,48
"51","19005","Allamakee County, Iowa","B17003_005",134,63
"52","19005","Allamakee County, Iowa","B17003_006",124,55
"53","19005","Allamakee County, Iowa","B17003_007",14,17
"54","19005","Allamakee County, Iowa","B17003_008",486,107
"55","19005","Allamakee County, Iowa","B17003_009",81,45
"56","19005","Allamakee County, Iowa","B17003_010",237,79
"57","19005","Allamakee County, Iowa","B17003_011",136,62
"58","19005","Allamakee County, Iowa","B17003_012",32,16
"59","19005","Allamakee County, Iowa","B17003_013",8733,168
"60","19005","Allamakee County, Iowa","B17003_014",4484,115
"61","19005","Allamakee County, Iowa","B17003_015",497,124
"62","19005","Allamakee County, Iowa","B17003_016",2004,237
"63","19005","Allamakee County, Iowa","B17003_017",1307,180
"64","19005","Allamakee County, Iowa","B17003_018",676,121
"65","19005","Allamakee County, Iowa","B17003_019",4249,120
"66","19005","Allamakee County, Iowa","B17003_020",230,74
"67","19005","Allamakee County, Iowa","B17003_021",1525,160
"68","19005","Allamakee County, Iowa","B17003_022",1525,150
"69","19005","Allamakee County, Iowa","B17003_023",969,147
"70","19007","Appanoose County, Iowa","B17003_001",8590,97
"71","19007","Appanoose County, Iowa","B17003_002",1393,301
"72","19007","Appanoose County, Iowa","B17003_003",643,175
"73","19007","Appanoose County, Iowa","B17003_004",132,71
"74","19007","Appanoose County, Iowa","B17003_005",304,114
"75","19007","Appanoose County, Iowa","B17003_006",201,110
"76","19007","Appanoose County, Iowa","B17003_007",6,6
"77","19007","Appanoose County, Iowa","B17003_008",750,172
"78","19007","Appanoose County, Iowa","B17003_009",166,103
"79","19007","Appanoose County, Iowa","B17003_010",333,112
"80","19007","Appanoose County, Iowa","B17003_011",216,86
"81","19007","Appanoose County, Iowa","B17003_012",35,30
