"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","B15001_001",5776,NA
"2","19001","Adair County, Iowa","B15001_002",2902,33
"3","19001","Adair County, Iowa","B15001_003",286,36
"4","19001","Adair County, Iowa","B15001_004",0,15
"5","19001","Adair County, Iowa","B15001_005",2,3
"6","19001","Adair County, Iowa","B15001_006",152,29
"7","19001","Adair County, Iowa","B15001_007",113,42
"8","19001","Adair County, Iowa","B15001_008",12,14
"9","19001","Adair County, Iowa","B15001_009",7,12
"10","19001","Adair County, Iowa","B15001_010",0,15
"11","19001","Adair County, Iowa","B15001_011",457,28
"12","19001","Adair County, Iowa","B15001_012",27,24
"13","19001","Adair County, Iowa","B15001_013",25,20
"14","19001","Adair County, Iowa","B15001_014",172,47
"15","19001","Adair County, Iowa","B15001_015",71,31
"16","19001","Adair County, Iowa","B15001_016",35,20
"17","19001","Adair County, Iowa","B15001_017",108,49
"18","19001","Adair County, Iowa","B15001_018",19,24
"19","19001","Adair County, Iowa","B15001_019",388,10
"20","19001","Adair County, Iowa","B15001_020",0,15
"21","19001","Adair County, Iowa","B15001_021",16,15
"22","19001","Adair County, Iowa","B15001_022",179,51
"23","19001","Adair County, Iowa","B15001_023",60,30
"24","19001","Adair County, Iowa","B15001_024",74,40
"25","19001","Adair County, Iowa","B15001_025",53,33
"26","19001","Adair County, Iowa","B15001_026",6,8
"27","19001","Adair County, Iowa","B15001_027",1033,11
"28","19001","Adair County, Iowa","B15001_028",2,4
"29","19001","Adair County, Iowa","B15001_029",24,17
"30","19001","Adair County, Iowa","B15001_030",460,59
"31","19001","Adair County, Iowa","B15001_031",232,48
"32","19001","Adair County, Iowa","B15001_032",173,48
"33","19001","Adair County, Iowa","B15001_033",103,43
"34","19001","Adair County, Iowa","B15001_034",39,29
"35","19001","Adair County, Iowa","B15001_035",738,6
"36","19001","Adair County, Iowa","B15001_036",2,6
"37","19001","Adair County, Iowa","B15001_037",13,12
"38","19001","Adair County, Iowa","B15001_038",342,55
"39","19001","Adair County, Iowa","B15001_039",163,46
"40","19001","Adair County, Iowa","B15001_040",69,29
"41","19001","Adair County, Iowa","B15001_041",90,31
"42","19001","Adair County, Iowa","B15001_042",59,36
"43","19001","Adair County, Iowa","B15001_043",2874,33
"44","19001","Adair County, Iowa","B15001_044",210,15
"45","19001","Adair County, Iowa","B15001_045",0,15
"46","19001","Adair County, Iowa","B15001_046",33,21
"47","19001","Adair County, Iowa","B15001_047",92,33
"48","19001","Adair County, Iowa","B15001_048",41,26
"49","19001","Adair County, Iowa","B15001_049",28,20
"50","19001","Adair County, Iowa","B15001_050",16,12
"51","19001","Adair County, Iowa","B15001_051",0,15
"52","19001","Adair County, Iowa","B15001_052",408,20
"53","19001","Adair County, Iowa","B15001_053",11,15
"54","19001","Adair County, Iowa","B15001_054",21,17
"55","19001","Adair County, Iowa","B15001_055",38,19
"56","19001","Adair County, Iowa","B15001_056",98,35
"57","19001","Adair County, Iowa","B15001_057",49,24
"58","19001","Adair County, Iowa","B15001_058",137,36
"59","19001","Adair County, Iowa","B15001_059",54,30
"60","19001","Adair County, Iowa","B15001_060",404,13
"61","19001","Adair County, Iowa","B15001_061",0,15
"62","19001","Adair County, Iowa","B15001_062",1,3
