"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","B15002_001",5280,36
"2","19001","Adair County, Iowa","B15002_002",2616,26
"3","19001","Adair County, Iowa","B15002_003",29,24
"4","19001","Adair County, Iowa","B15002_004",0,15
"5","19001","Adair County, Iowa","B15002_005",0,15
"6","19001","Adair County, Iowa","B15002_006",2,6
"7","19001","Adair County, Iowa","B15002_007",3,6
"8","19001","Adair County, Iowa","B15002_008",25,18
"9","19001","Adair County, Iowa","B15002_009",23,16
"10","19001","Adair County, Iowa","B15002_010",27,19
"11","19001","Adair County, Iowa","B15002_011",1153,99
"12","19001","Adair County, Iowa","B15002_012",238,67
"13","19001","Adair County, Iowa","B15002_013",288,61
"14","19001","Adair County, Iowa","B15002_014",351,73
"15","19001","Adair County, Iowa","B15002_015",354,77
"16","19001","Adair County, Iowa","B15002_016",53,27
"17","19001","Adair County, Iowa","B15002_017",34,26
"18","19001","Adair County, Iowa","B15002_018",36,31
"19","19001","Adair County, Iowa","B15002_019",2664,33
"20","19001","Adair County, Iowa","B15002_020",14,16
"21","19001","Adair County, Iowa","B15002_021",0,15
"22","19001","Adair County, Iowa","B15002_022",0,15
"23","19001","Adair County, Iowa","B15002_023",26,24
"24","19001","Adair County, Iowa","B15002_024",35,27
"25","19001","Adair County, Iowa","B15002_025",63,35
"26","19001","Adair County, Iowa","B15002_026",7,7
"27","19001","Adair County, Iowa","B15002_027",26,17
"28","19001","Adair County, Iowa","B15002_028",978,87
"29","19001","Adair County, Iowa","B15002_029",256,60
"30","19001","Adair County, Iowa","B15002_030",327,58
"31","19001","Adair County, Iowa","B15002_031",382,67
"32","19001","Adair County, Iowa","B15002_032",392,80
"33","19001","Adair County, Iowa","B15002_033",102,48
"34","19001","Adair County, Iowa","B15002_034",27,19
"35","19001","Adair County, Iowa","B15002_035",29,24
"36","19003","Adams County, Iowa","B15002_001",2669,17
"37","19003","Adams County, Iowa","B15002_002",1312,17
"38","19003","Adams County, Iowa","B15002_003",11,15
"39","19003","Adams County, Iowa","B15002_004",6,9
"40","19003","Adams County, Iowa","B15002_005",3,5
"41","19003","Adams County, Iowa","B15002_006",35,29
"42","19003","Adams County, Iowa","B15002_007",7,12
"43","19003","Adams County, Iowa","B15002_008",5,6
"44","19003","Adams County, Iowa","B15002_009",7,8
"45","19003","Adams County, Iowa","B15002_010",8,9
"46","19003","Adams County, Iowa","B15002_011",581,73
"47","19003","Adams County, Iowa","B15002_012",73,29
"48","19003","Adams County, Iowa","B15002_013",178,47
"49","19003","Adams County, Iowa","B15002_014",141,40
"50","19003","Adams County, Iowa","B15002_015",215,52
"51","19003","Adams County, Iowa","B15002_016",14,10
"52","19003","Adams County, Iowa","B15002_017",22,17
"53","19003","Adams County, Iowa","B15002_018",6,8
"54","19003","Adams County, Iowa","B15002_019",1357,16
"55","19003","Adams County, Iowa","B15002_020",18,31
"56","19003","Adams County, Iowa","B15002_021",0,10
"57","19003","Adams County, Iowa","B15002_022",0,10
"58","19003","Adams County, Iowa","B15002_023",6,7
"59","19003","Adams County, Iowa","B15002_024",15,17
"60","19003","Adams County, Iowa","B15002_025",0,10
"61","19003","Adams County, Iowa","B15002_026",19,23
"62","19003","Adams County, Iowa","B15002_027",6,6
"63","19003","Adams County, Iowa","B15002_028",379,67
"64","19003","Adams County, Iowa","B15002_029",99,27
"65","19003","Adams County, Iowa","B15002_030",206,53
"66","19003","Adams County, Iowa","B15002_031",271,63
"67","19003","Adams County, Iowa","B15002_032",267,59
"68","19003","Adams County, Iowa","B15002_033",44,20
"69","19003","Adams County, Iowa","B15002_034",22,19
"70","19003","Adams County, Iowa","B15002_035",5,7
"71","19005","Allamakee County, Iowa","B15002_001",9787,57
"72","19005","Allamakee County, Iowa","B15002_002",4951,67
"73","19005","Allamakee County, Iowa","B15002_003",78,49
"74","19005","Allamakee County, Iowa","B15002_004",14,20
"75","19005","Allamakee County, Iowa","B15002_005",30,30
"76","19005","Allamakee County, Iowa","B15002_006",179,71
"77","19005","Allamakee County, Iowa","B15002_007",49,32
"78","19005","Allamakee County, Iowa","B15002_008",57,38
"79","19005","Allamakee County, Iowa","B15002_009",128,68
"80","19005","Allamakee County, Iowa","B15002_010",80,42
"81","19005","Allamakee County, Iowa","B15002_011",2169,235
"82","19005","Allamakee County, Iowa","B15002_012",253,70
"83","19005","Allamakee County, Iowa","B15002_013",704,138
"84","19005","Allamakee County, Iowa","B15002_014",517,142
"85","19005","Allamakee County, Iowa","B15002_015",454,111
"86","19005","Allamakee County, Iowa","B15002_016",181,73
"87","19005","Allamakee County, Iowa","B15002_017",40,28
"88","19005","Allamakee County, Iowa","B15002_018",18,15
"89","19005","Allamakee County, Iowa","B15002_019",4836,46
"90","19005","Allamakee County, Iowa","B15002_020",28,27
"91","19005","Allamakee County, Iowa","B15002_021",0,16
"92","19005","Allamakee County, Iowa","B15002_022",30,25
"93","19005","Allamakee County, Iowa","B15002_023",110,57
"94","19005","Allamakee County, Iowa","B15002_024",11,12
"95","19005","Allamakee County, Iowa","B15002_025",37,33
"96","19005","Allamakee County, Iowa","B15002_026",64,39
"97","19005","Allamakee County, Iowa","B15002_027",49,30
"98","19005","Allamakee County, Iowa","B15002_028",1839,160
"99","19005","Allamakee County, Iowa","B15002_029",336,93
"100","19005","Allamakee County, Iowa","B15002_030",555,115
"101","19005","Allamakee County, Iowa","B15002_031",774,152
"102","19005","Allamakee County, Iowa","B15002_032",717,129
"103","19005","Allamakee County, Iowa","B15002_033",207,77
"104","19005","Allamakee County, Iowa","B15002_034",52,31
"105","19005","Allamakee County, Iowa","B15002_035",27,26
"106","19007","Appanoose County, Iowa","B15002_001",8671,101
"107","19007","Appanoose County, Iowa","B15002_002",4235,91
"108","19007","Appanoose County, Iowa","B15002_003",9,8
"109","19007","Appanoose County, Iowa","B15002_004",25,47
"110","19007","Appanoose County, Iowa","B15002_005",7,6
"111","19007","Appanoose County, Iowa","B15002_006",170,74
"112","19007","Appanoose County, Iowa","B15002_007",4,5
"113","19007","Appanoose County, Iowa","B15002_008",55,36
"114","19007","Appanoose County, Iowa","B15002_009",78,35
"115","19007","Appanoose County, Iowa","B15002_010",65,46
"116","19007","Appanoose County, Iowa","B15002_011",1600,166
"117","19007","Appanoose County, Iowa","B15002_012",327,102
"118","19007","Appanoose County, Iowa","B15002_013",588,120
"119","19007","Appanoose County, Iowa","B15002_014",578,114
"120","19007","Appanoose County, Iowa","B15002_015",546,132
"121","19007","Appanoose County, Iowa","B15002_016",126,55
"122","19007","Appanoose County, Iowa","B15002_017",54,32
"123","19007","Appanoose County, Iowa","B15002_018",3,5
"124","19007","Appanoose County, Iowa","B15002_019",4436,69
"125","19007","Appanoose County, Iowa","B15002_020",42,55
"126","19007","Appanoose County, Iowa","B15002_021",1,2
"127","19007","Appanoose County, Iowa","B15002_022",31,25
"128","19007","Appanoose County, Iowa","B15002_023",74,32
"129","19007","Appanoose County, Iowa","B15002_024",80,57
"130","19007","Appanoose County, Iowa","B15002_025",53,33
"131","19007","Appanoose County, Iowa","B15002_026",52,35
"132","19007","Appanoose County, Iowa","B15002_027",46,37
"133","19007","Appanoose County, Iowa","B15002_028",1482,167
"134","19007","Appanoose County, Iowa","B15002_029",561,141
"135","19007","Appanoose County, Iowa","B15002_030",564,122
"136","19007","Appanoose County, Iowa","B15002_031",542,108
"137","19007","Appanoose County, Iowa","B15002_032",654,121
"138","19007","Appanoose County, Iowa","B15002_033",200,73
"139","19007","Appanoose County, Iowa","B15002_034",29,33
"140","19007","Appanoose County, Iowa","B15002_035",25,35
"141","19009","Audubon County, Iowa","B15002_001",4041,36
"142","19009","Audubon County, Iowa","B15002_002",1962,40
"143","19009","Audubon County, Iowa","B15002_003",4,6
"144","19009","Audubon County, Iowa","B15002_004",0,15
"145","19009","Audubon County, Iowa","B15002_005",6,11
"146","19009","Audubon County, Iowa","B15002_006",15,12
"147","19009","Audubon County, Iowa","B15002_007",37,32
"148","19009","Audubon County, Iowa","B15002_008",24,19
"149","19009","Audubon County, Iowa","B15002_009",54,33
"150","19009","Audubon County, Iowa","B15002_010",33,17
"151","19009","Audubon County, Iowa","B15002_011",798,77
"152","19009","Audubon County, Iowa","B15002_012",137,48
"153","19009","Audubon County, Iowa","B15002_013",310,77
"154","19009","Audubon County, Iowa","B15002_014",168,43
"155","19009","Audubon County, Iowa","B15002_015",257,62
"156","19009","Audubon County, Iowa","B15002_016",80,32
"157","19009","Audubon County, Iowa","B15002_017",16,15
"158","19009","Audubon County, Iowa","B15002_018",23,25
"159","19009","Audubon County, Iowa","B15002_019",2079,16
"160","19009","Audubon County, Iowa","B15002_020",5,7
"161","19009","Audubon County, Iowa","B15002_021",2,4
"162","19009","Audubon County, Iowa","B15002_022",0,15
