"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","B25008_001",7306,66
"2","19001","Adair County, Iowa","B25008_002",5405,205
"3","19001","Adair County, Iowa","B25008_003",1901,203
"4","19003","Adams County, Iowa","B25008_001",3583,67
"5","19003","Adams County, Iowa","B25008_002",2957,160
"6","19003","Adams County, Iowa","B25008_003",626,142
"7","19005","Allamakee County, Iowa","B25008_001",13818,86
"8","19005","Allamakee County, Iowa","B25008_002",11362,379
"9","19005","Allamakee County, Iowa","B25008_003",2456,358
"10","19007","Appanoose County, Iowa","B25008_001",12186,42
"11","19007","Appanoose County, Iowa","B25008_002",8569,466
"12","19007","Appanoose County, Iowa","B25008_003",3617,470
"13","19009","Audubon County, Iowa","B25008_001",5561,52
"14","19009","Audubon County, Iowa","B25008_002",4407,221
"15","19009","Audubon County, Iowa","B25008_003",1154,215
"16","19011","Benton County, Iowa","B25008_001",25352,94
"17","19011","Benton County, Iowa","B25008_002",21807,420
"18","19011","Benton County, Iowa","B25008_003",3545,423
"19","19013","Black Hawk County, Iowa","B25008_001",126969,327
"20","19013","Black Hawk County, Iowa","B25008_002",85191,1589
"21","19013","Black Hawk County, Iowa","B25008_003",41778,1580
"22","19015","Boone County, Iowa","B25008_001",26219,227
"23","19015","Boone County, Iowa","B25008_002",21417,678
"24","19015","Boone County, Iowa","B25008_003",4802,685
"25","19017","Bremer County, Iowa","B25008_001",23356,247
"26","19017","Bremer County, Iowa","B25008_002",19893,525
"27","19017","Bremer County, Iowa","B25008_003",3463,480
"28","19019","Buchanan County, Iowa","B25008_001",20369,93
"29","19019","Buchanan County, Iowa","B25008_002",16998,481
"30","19019","Buchanan County, Iowa","B25008_003",3371,500
"31","19021","Buena Vista County, Iowa","B25008_001",19739,188
"32","19021","Buena Vista County, Iowa","B25008_002",14688,640
"33","19021","Buena Vista County, Iowa","B25008_003",5051,636
"34","19023","Butler County, Iowa","B25008_001",14223,43
"35","19023","Butler County, Iowa","B25008_002",11331,395
"36","19023","Butler County, Iowa","B25008_003",2892,392
"37","19025","Calhoun County, Iowa","B25008_001",9223,139
"38","19025","Calhoun County, Iowa","B25008_002",7437,264
"39","19025","Calhoun County, Iowa","B25008_003",1786,238
"40","19027","Carroll County, Iowa","B25008_001",20406,119
"41","19027","Carroll County, Iowa","B25008_002",16380,555
"42","19027","Carroll County, Iowa","B25008_003",4026,548
"43","19029","Cass County, Iowa","B25008_001",12926,44
"44","19029","Cass County, Iowa","B25008_002",9831,412
"45","19029","Cass County, Iowa","B25008_003",3095,414
"46","19031","Cedar County, Iowa","B25008_001",18225,103
"47","19031","Cedar County, Iowa","B25008_002",15141,483
"48","19031","Cedar County, Iowa","B25008_003",3084,474
"49","19033","Cerro Gordo County, Iowa","B25008_001",42185,258
"50","19033","Cerro Gordo County, Iowa","B25008_002",31062,935
"51","19033","Cerro Gordo County, Iowa","B25008_003",11123,912
"52","19035","Cherokee County, Iowa","B25008_001",11150,148
"53","19035","Cherokee County, Iowa","B25008_002",8589,475
"54","19035","Cherokee County, Iowa","B25008_003",2561,454
"55","19037","Chickasaw County, Iowa","B25008_001",11850,93
"56","19037","Chickasaw County, Iowa","B25008_002",10062,390
"57","19037","Chickasaw County, Iowa","B25008_003",1788,390
"58","19039","Clarke County, Iowa","B25008_001",9592,45
"59","19039","Clarke County, Iowa","B25008_002",7243,506
"60","19039","Clarke County, Iowa","B25008_003",2349,506
"61","19041","Clay County, Iowa","B25008_001",16128,130
"62","19041","Clay County, Iowa","B25008_002",11782,584
"63","19041","Clay County, Iowa","B25008_003",4346,569
"64","19043","Clayton County, Iowa","B25008_001",16896,168
"65","19043","Clayton County, Iowa","B25008_002",13119,489
"66","19043","Clayton County, Iowa","B25008_003",3777,482
"67","19045","Clinton County, Iowa","B25008_001",45896,173
"68","19045","Clinton County, Iowa","B25008_002",35792,960
"69","19045","Clinton County, Iowa","B25008_003",10104,953
"70","19047","Crawford County, Iowa","B25008_001",16011,196
"71","19047","Crawford County, Iowa","B25008_002",11568,715
"72","19047","Crawford County, Iowa","B25008_003",4443,735
"73","19049","Dallas County, Iowa","B25008_001",96092,138
"74","19049","Dallas County, Iowa","B25008_002",74809,1399
"75","19049","Dallas County, Iowa","B25008_003",21283,1406
"76","19051","Davis County, Iowa","B25008_001",8973,43
"77","19051","Davis County, Iowa","B25008_002",8052,197
"78","19051","Davis County, Iowa","B25008_003",921,202
"79","19053","Decatur County, Iowa","B25008_001",7060,130
"80","19053","Decatur County, Iowa","B25008_002",5314,257
"81","19053","Decatur County, Iowa","B25008_003",1746,259
"82","19055","Delaware County, Iowa","B25008_001",17302,133
"83","19055","Delaware County, Iowa","B25008_002",15105,321
