"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","B25017_001",3591,46
"2","19001","Adair County, Iowa","B25017_002",16,26
"3","19001","Adair County, Iowa","B25017_003",59,40
"4","19001","Adair County, Iowa","B25017_004",236,64
"5","19001","Adair County, Iowa","B25017_005",458,100
"6","19001","Adair County, Iowa","B25017_006",635,112
"7","19001","Adair County, Iowa","B25017_007",638,102
"8","19001","Adair County, Iowa","B25017_008",481,99
"9","19001","Adair County, Iowa","B25017_009",461,70
"10","19001","Adair County, Iowa","B25017_010",607,101
"11","19003","Adams County, Iowa","B25017_001",1894,46
"12","19003","Adams County, Iowa","B25017_002",4,6
"13","19003","Adams County, Iowa","B25017_003",23,16
"14","19003","Adams County, Iowa","B25017_004",75,27
"15","19003","Adams County, Iowa","B25017_005",171,48
"16","19003","Adams County, Iowa","B25017_006",307,85
"17","19003","Adams County, Iowa","B25017_007",413,65
"18","19003","Adams County, Iowa","B25017_008",342,79
"19","19003","Adams County, Iowa","B25017_009",243,74
"20","19003","Adams County, Iowa","B25017_010",316,67
"21","19005","Allamakee County, Iowa","B25017_001",7662,50
"22","19005","Allamakee County, Iowa","B25017_002",12,12
"23","19005","Allamakee County, Iowa","B25017_003",73,42
"24","19005","Allamakee County, Iowa","B25017_004",498,130
"25","19005","Allamakee County, Iowa","B25017_005",1232,184
"26","19005","Allamakee County, Iowa","B25017_006",1557,188
"27","19005","Allamakee County, Iowa","B25017_007",1154,174
"28","19005","Allamakee County, Iowa","B25017_008",982,169
"29","19005","Allamakee County, Iowa","B25017_009",865,160
"30","19005","Allamakee County, Iowa","B25017_010",1289,192
"31","19007","Appanoose County, Iowa","B25017_001",6337,48
"32","19007","Appanoose County, Iowa","B25017_002",185,86
"33","19007","Appanoose County, Iowa","B25017_003",270,98
"34","19007","Appanoose County, Iowa","B25017_004",381,115
"35","19007","Appanoose County, Iowa","B25017_005",1085,174
"36","19007","Appanoose County, Iowa","B25017_006",1269,181
"37","19007","Appanoose County, Iowa","B25017_007",1184,180
"38","19007","Appanoose County, Iowa","B25017_008",693,164
"39","19007","Appanoose County, Iowa","B25017_009",635,128
"40","19007","Appanoose County, Iowa","B25017_010",635,115
"41","19009","Audubon County, Iowa","B25017_001",2820,38
"42","19009","Audubon County, Iowa","B25017_002",5,6
"43","19009","Audubon County, Iowa","B25017_003",3,4
"44","19009","Audubon County, Iowa","B25017_004",152,69
"45","19009","Audubon County, Iowa","B25017_005",292,81
"46","19009","Audubon County, Iowa","B25017_006",488,82
"47","19009","Audubon County, Iowa","B25017_007",426,91
"48","19009","Audubon County, Iowa","B25017_008",385,78
