"","GEOID","NAME","variable","estimate","moe"
"1","19001960100","Census Tract 9601, Adair County, Iowa","B25017_001",1303,77
"2","19001960100","Census Tract 9601, Adair County, Iowa","B25017_002",0,10
"3","19001960100","Census Tract 9601, Adair County, Iowa","B25017_003",13,16
"4","19001960100","Census Tract 9601, Adair County, Iowa","B25017_004",59,31
"5","19001960100","Census Tract 9601, Adair County, Iowa","B25017_005",201,78
"6","19001960100","Census Tract 9601, Adair County, Iowa","B25017_006",268,78
"7","19001960100","Census Tract 9601, Adair County, Iowa","B25017_007",259,73
"8","19001960100","Census Tract 9601, Adair County, Iowa","B25017_008",118,39
"9","19001960100","Census Tract 9601, Adair County, Iowa","B25017_009",123,43
"10","19001960100","Census Tract 9601, Adair County, Iowa","B25017_010",262,67
"11","19001960200","Census Tract 9602, Adair County, Iowa","B25017_001",831,67
"12","19001960200","Census Tract 9602, Adair County, Iowa","B25017_002",0,10
"13","19001960200","Census Tract 9602, Adair County, Iowa","B25017_003",17,21
"14","19001960200","Census Tract 9602, Adair County, Iowa","B25017_004",33,24
"15","19001960200","Census Tract 9602, Adair County, Iowa","B25017_005",93,33
"16","19001960200","Census Tract 9602, Adair County, Iowa","B25017_006",90,34
"17","19001960200","Census Tract 9602, Adair County, Iowa","B25017_007",146,51
"18","19001960200","Census Tract 9602, Adair County, Iowa","B25017_008",171,41
"19","19001960200","Census Tract 9602, Adair County, Iowa","B25017_009",130,46
"20","19001960200","Census Tract 9602, Adair County, Iowa","B25017_010",151,45
"21","19001960300","Census Tract 9603, Adair County, Iowa","B25017_001",1457,82
"22","19001960300","Census Tract 9603, Adair County, Iowa","B25017_002",16,26
"23","19001960300","Census Tract 9603, Adair County, Iowa","B25017_003",29,29
"24","19001960300","Census Tract 9603, Adair County, Iowa","B25017_004",144,61
"25","19001960300","Census Tract 9603, Adair County, Iowa","B25017_005",164,50
"26","19001960300","Census Tract 9603, Adair County, Iowa","B25017_006",277,73
"27","19001960300","Census Tract 9603, Adair County, Iowa","B25017_007",233,56
"28","19001960300","Census Tract 9603, Adair County, Iowa","B25017_008",192,67
"29","19001960300","Census Tract 9603, Adair County, Iowa","B25017_009",208,66
"30","19001960300","Census Tract 9603, Adair County, Iowa","B25017_010",194,43
"31","19003950100","Census Tract 9501, Adams County, Iowa","B25017_001",819,54
"32","19003950100","Census Tract 9501, Adams County, Iowa","B25017_002",0,10
"33","19003950100","Census Tract 9501, Adams County, Iowa","B25017_003",8,10
"34","19003950100","Census Tract 9501, Adams County, Iowa","B25017_004",27,17
"35","19003950100","Census Tract 9501, Adams County, Iowa","B25017_005",39,28
"36","19003950100","Census Tract 9501, Adams County, Iowa","B25017_006",141,45
"37","19003950100","Census Tract 9501, Adams County, Iowa","B25017_007",224,52
"38","19003950100","Census Tract 9501, Adams County, Iowa","B25017_008",125,47
"39","19003950100","Census Tract 9501, Adams County, Iowa","B25017_009",100,42
"40","19003950100","Census Tract 9501, Adams County, Iowa","B25017_010",155,51
"41","19003950200","Census Tract 9502, Adams County, Iowa","B25017_001",1075,60
"42","19003950200","Census Tract 9502, Adams County, Iowa","B25017_002",4,6
"43","19003950200","Census Tract 9502, Adams County, Iowa","B25017_003",15,13
"44","19003950200","Census Tract 9502, Adams County, Iowa","B25017_004",48,21
"45","19003950200","Census Tract 9502, Adams County, Iowa","B25017_005",132,41
"46","19003950200","Census Tract 9502, Adams County, Iowa","B25017_006",166,72
"47","19003950200","Census Tract 9502, Adams County, Iowa","B25017_007",189,44
"48","19003950200","Census Tract 9502, Adams County, Iowa","B25017_008",217,57
"49","19003950200","Census Tract 9502, Adams County, Iowa","B25017_009",143,54
"50","19003950200","Census Tract 9502, Adams County, Iowa","B25017_010",161,47
"51","19005960100","Census Tract 9601, Allamakee County, Iowa","B25017_001",1382,126
"52","19005960100","Census Tract 9601, Allamakee County, Iowa","B25017_002",0,10
"53","19005960100","Census Tract 9601, Allamakee County, Iowa","B25017_003",9,15
"54","19005960100","Census Tract 9601, Allamakee County, Iowa","B25017_004",179,83
"55","19005960100","Census Tract 9601, Allamakee County, Iowa","B25017_005",155,63
"56","19005960100","Census Tract 9601, Allamakee County, Iowa","B25017_006",204,70
"57","19005960100","Census Tract 9601, Allamakee County, Iowa","B25017_007",301,89
"58","19005960100","Census Tract 9601, Allamakee County, Iowa","B25017_008",198,60
"59","19005960100","Census Tract 9601, Allamakee County, Iowa","B25017_009",167,65
"60","19005960100","Census Tract 9601, Allamakee County, Iowa","B25017_010",169,53
"61","19005960200","Census Tract 9602, Allamakee County, Iowa","B25017_001",1096,105
"62","19005960200","Census Tract 9602, Allamakee County, Iowa","B25017_002",0,10
"63","19005960200","Census Tract 9602, Allamakee County, Iowa","B25017_003",9,12
"64","19005960200","Census Tract 9602, Allamakee County, Iowa","B25017_004",36,43
"65","19005960200","Census Tract 9602, Allamakee County, Iowa","B25017_005",93,43
"66","19005960200","Census Tract 9602, Allamakee County, Iowa","B25017_006",243,88
"67","19005960200","Census Tract 9602, Allamakee County, Iowa","B25017_007",157,69
"68","19005960200","Census Tract 9602, Allamakee County, Iowa","B25017_008",106,44
"69","19005960200","Census Tract 9602, Allamakee County, Iowa","B25017_009",176,91
"70","19005960200","Census Tract 9602, Allamakee County, Iowa","B25017_010",276,92
"71","19005960300","Census Tract 9603, Allamakee County, Iowa","B25017_001",2025,137
"72","19005960300","Census Tract 9603, Allamakee County, Iowa","B25017_002",8,12
"73","19005960300","Census Tract 9603, Allamakee County, Iowa","B25017_003",14,22
"74","19005960300","Census Tract 9603, Allamakee County, Iowa","B25017_004",69,44
"75","19005960300","Census Tract 9603, Allamakee County, Iowa","B25017_005",303,89
"76","19005960300","Census Tract 9603, Allamakee County, Iowa","B25017_006",505,120
"77","19005960300","Census Tract 9603, Allamakee County, Iowa","B25017_007",233,90
"78","19005960300","Census Tract 9603, Allamakee County, Iowa","B25017_008",324,120
"79","19005960300","Census Tract 9603, Allamakee County, Iowa","B25017_009",223,83
"80","19005960300","Census Tract 9603, Allamakee County, Iowa","B25017_010",346,105
"81","19005960400","Census Tract 9604, Allamakee County, Iowa","B25017_001",1874,135
"82","19005960400","Census Tract 9604, Allamakee County, Iowa","B25017_002",1,3
"83","19005960400","Census Tract 9604, Allamakee County, Iowa","B25017_003",13,16
"84","19005960400","Census Tract 9604, Allamakee County, Iowa","B25017_004",185,77
"85","19005960400","Census Tract 9604, Allamakee County, Iowa","B25017_005",485,111
"86","19005960400","Census Tract 9604, Allamakee County, Iowa","B25017_006",421,85
"87","19005960400","Census Tract 9604, Allamakee County, Iowa","B25017_007",263,79
"88","19005960400","Census Tract 9604, Allamakee County, Iowa","B25017_008",137,39
"89","19005960400","Census Tract 9604, Allamakee County, Iowa","B25017_009",161,52
"90","19005960400","Census Tract 9604, Allamakee County, Iowa","B25017_010",208,90
"91","19005960500","Census Tract 9605, Allamakee County, Iowa","B25017_001",1285,89
"92","19005960500","Census Tract 9605, Allamakee County, Iowa","B25017_002",3,4
"93","19005960500","Census Tract 9605, Allamakee County, Iowa","B25017_003",28,31
"94","19005960500","Census Tract 9605, Allamakee County, Iowa","B25017_004",29,24
"95","19005960500","Census Tract 9605, Allamakee County, Iowa","B25017_005",196,75
"96","19005960500","Census Tract 9605, Allamakee County, Iowa","B25017_006",184,60
"97","19005960500","Census Tract 9605, Allamakee County, Iowa","B25017_007",200,73
"98","19005960500","Census Tract 9605, Allamakee County, Iowa","B25017_008",217,74
"99","19005960500","Census Tract 9605, Allamakee County, Iowa","B25017_009",138,50
"100","19005960500","Census Tract 9605, Allamakee County, Iowa","B25017_010",290,67
"101","19007950100","Census Tract 9501, Appanoose County, Iowa","B25017_001",1156,102
"102","19007950100","Census Tract 9501, Appanoose County, Iowa","B25017_002",17,16
"103","19007950100","Census Tract 9501, Appanoose County, Iowa","B25017_003",13,11
"104","19007950100","Census Tract 9501, Appanoose County, Iowa","B25017_004",101,66
"105","19007950100","Census Tract 9501, Appanoose County, Iowa","B25017_005",182,48
"106","19007950100","Census Tract 9501, Appanoose County, Iowa","B25017_006",243,59
"107","19007950100","Census Tract 9501, Appanoose County, Iowa","B25017_007",197,52
"108","19007950100","Census Tract 9501, Appanoose County, Iowa","B25017_008",138,43
"109","19007950100","Census Tract 9501, Appanoose County, Iowa","B25017_009",118,33
"110","19007950100","Census Tract 9501, Appanoose County, Iowa","B25017_010",147,34
"111","19007950200","Census Tract 9502, Appanoose County, Iowa","B25017_001",1020,105
"112","19007950200","Census Tract 9502, Appanoose County, Iowa","B25017_002",0,10
"113","19007950200","Census Tract 9502, Appanoose County, Iowa","B25017_003",87,57
"114","19007950200","Census Tract 9502, Appanoose County, Iowa","B25017_004",38,30
"115","19007950200","Census Tract 9502, Appanoose County, Iowa","B25017_005",169,49
"116","19007950200","Census Tract 9502, Appanoose County, Iowa","B25017_006",198,56
"117","19007950200","Census Tract 9502, Appanoose County, Iowa","B25017_007",160,45
