"","GEOID","NAME","variable","estimate","moe"
"1","19001960100","Census Tract 9601, Adair County, Iowa","B25036_001",1145,71
"2","19001960100","Census Tract 9601, Adair County, Iowa","B25036_002",831,72
"3","19001960100","Census Tract 9601, Adair County, Iowa","B25036_003",0,10
"4","19001960100","Census Tract 9601, Adair County, Iowa","B25036_004",82,42
"5","19001960100","Census Tract 9601, Adair County, Iowa","B25036_005",62,29
"6","19001960100","Census Tract 9601, Adair County, Iowa","B25036_006",88,40
"7","19001960100","Census Tract 9601, Adair County, Iowa","B25036_007",37,19
"8","19001960100","Census Tract 9601, Adair County, Iowa","B25036_008",153,43
"9","19001960100","Census Tract 9601, Adair County, Iowa","B25036_009",63,32
"10","19001960100","Census Tract 9601, Adair County, Iowa","B25036_010",27,17
"11","19001960100","Census Tract 9601, Adair County, Iowa","B25036_011",28,18
"12","19001960100","Census Tract 9601, Adair County, Iowa","B25036_012",291,66
"13","19001960100","Census Tract 9601, Adair County, Iowa","B25036_013",314,68
"14","19001960100","Census Tract 9601, Adair County, Iowa","B25036_014",0,10
"15","19001960100","Census Tract 9601, Adair County, Iowa","B25036_015",8,8
"16","19001960100","Census Tract 9601, Adair County, Iowa","B25036_016",12,11
"17","19001960100","Census Tract 9601, Adair County, Iowa","B25036_017",66,31
"18","19001960100","Census Tract 9601, Adair County, Iowa","B25036_018",32,29
"19","19001960100","Census Tract 9601, Adair County, Iowa","B25036_019",80,52
"20","19001960100","Census Tract 9601, Adair County, Iowa","B25036_020",38,41
"21","19001960100","Census Tract 9601, Adair County, Iowa","B25036_021",52,24
"22","19001960100","Census Tract 9601, Adair County, Iowa","B25036_022",11,7
"23","19001960100","Census Tract 9601, Adair County, Iowa","B25036_023",15,11
"24","19001960200","Census Tract 9602, Adair County, Iowa","B25036_001",711,69
"25","19001960200","Census Tract 9602, Adair County, Iowa","B25036_002",551,62
"26","19001960200","Census Tract 9602, Adair County, Iowa","B25036_003",0,10
"27","19001960200","Census Tract 9602, Adair County, Iowa","B25036_004",11,10
"28","19001960200","Census Tract 9602, Adair County, Iowa","B25036_005",50,26
"29","19001960200","Census Tract 9602, Adair County, Iowa","B25036_006",31,17
"30","19001960200","Census Tract 9602, Adair County, Iowa","B25036_007",54,21
"31","19001960200","Census Tract 9602, Adair County, Iowa","B25036_008",56,26
"32","19001960200","Census Tract 9602, Adair County, Iowa","B25036_009",22,16
"33","19001960200","Census Tract 9602, Adair County, Iowa","B25036_010",50,22
"34","19001960200","Census Tract 9602, Adair County, Iowa","B25036_011",37,26
"35","19001960200","Census Tract 9602, Adair County, Iowa","B25036_012",240,49
"36","19001960200","Census Tract 9602, Adair County, Iowa","B25036_013",160,47
"37","19001960200","Census Tract 9602, Adair County, Iowa","B25036_014",0,10
"38","19001960200","Census Tract 9602, Adair County, Iowa","B25036_015",3,5
"39","19001960200","Census Tract 9602, Adair County, Iowa","B25036_016",0,10
"40","19001960200","Census Tract 9602, Adair County, Iowa","B25036_017",30,23
"41","19001960200","Census Tract 9602, Adair County, Iowa","B25036_018",9,8
"42","19001960200","Census Tract 9602, Adair County, Iowa","B25036_019",9,8
"43","19001960200","Census Tract 9602, Adair County, Iowa","B25036_020",10,13
"44","19001960200","Census Tract 9602, Adair County, Iowa","B25036_021",30,20
"45","19001960200","Census Tract 9602, Adair County, Iowa","B25036_022",18,15
"46","19001960200","Census Tract 9602, Adair County, Iowa","B25036_023",51,40
"47","19001960300","Census Tract 9603, Adair County, Iowa","B25036_001",1324,96
"48","19001960300","Census Tract 9603, Adair County, Iowa","B25036_002",872,85
"49","19001960300","Census Tract 9603, Adair County, Iowa","B25036_003",0,10
"50","19001960300","Census Tract 9603, Adair County, Iowa","B25036_004",0,10
"51","19001960300","Census Tract 9603, Adair County, Iowa","B25036_005",38,19
"52","19001960300","Census Tract 9603, Adair County, Iowa","B25036_006",36,20
"53","19001960300","Census Tract 9603, Adair County, Iowa","B25036_007",27,16
"54","19001960300","Census Tract 9603, Adair County, Iowa","B25036_008",73,26
"55","19001960300","Census Tract 9603, Adair County, Iowa","B25036_009",111,37
"56","19001960300","Census Tract 9603, Adair County, Iowa","B25036_010",124,42
"57","19001960300","Census Tract 9603, Adair County, Iowa","B25036_011",71,30
"58","19001960300","Census Tract 9603, Adair County, Iowa","B25036_012",392,75
"59","19001960300","Census Tract 9603, Adair County, Iowa","B25036_013",452,89
"60","19001960300","Census Tract 9603, Adair County, Iowa","B25036_014",0,10
"61","19001960300","Census Tract 9603, Adair County, Iowa","B25036_015",3,5
"62","19001960300","Census Tract 9603, Adair County, Iowa","B25036_016",13,14
"63","19001960300","Census Tract 9603, Adair County, Iowa","B25036_017",23,22
"64","19001960300","Census Tract 9603, Adair County, Iowa","B25036_018",84,44
"65","19001960300","Census Tract 9603, Adair County, Iowa","B25036_019",83,40
"66","19001960300","Census Tract 9603, Adair County, Iowa","B25036_020",74,40
"67","19001960300","Census Tract 9603, Adair County, Iowa","B25036_021",19,16
"68","19001960300","Census Tract 9603, Adair County, Iowa","B25036_022",74,40
"69","19001960300","Census Tract 9603, Adair County, Iowa","B25036_023",79,38
"70","19003950100","Census Tract 9501, Adams County, Iowa","B25036_001",672,62
"71","19003950100","Census Tract 9501, Adams County, Iowa","B25036_002",584,58
"72","19003950100","Census Tract 9501, Adams County, Iowa","B25036_003",0,10
"73","19003950100","Census Tract 9501, Adams County, Iowa","B25036_004",50,31
"74","19003950100","Census Tract 9501, Adams County, Iowa","B25036_005",54,27
"75","19003950100","Census Tract 9501, Adams County, Iowa","B25036_006",31,17
"76","19003950100","Census Tract 9501, Adams County, Iowa","B25036_007",24,21
"77","19003950100","Census Tract 9501, Adams County, Iowa","B25036_008",40,32
"78","19003950100","Census Tract 9501, Adams County, Iowa","B25036_009",25,15
"79","19003950100","Census Tract 9501, Adams County, Iowa","B25036_010",27,16
"80","19003950100","Census Tract 9501, Adams County, Iowa","B25036_011",38,26
"81","19003950100","Census Tract 9501, Adams County, Iowa","B25036_012",295,54
"82","19003950100","Census Tract 9501, Adams County, Iowa","B25036_013",88,36
"83","19003950100","Census Tract 9501, Adams County, Iowa","B25036_014",0,10
"84","19003950100","Census Tract 9501, Adams County, Iowa","B25036_015",0,10
"85","19003950100","Census Tract 9501, Adams County, Iowa","B25036_016",0,10
"86","19003950100","Census Tract 9501, Adams County, Iowa","B25036_017",7,8
"87","19003950100","Census Tract 9501, Adams County, Iowa","B25036_018",0,10
"88","19003950100","Census Tract 9501, Adams County, Iowa","B25036_019",2,7
"89","19003950100","Census Tract 9501, Adams County, Iowa","B25036_020",1,2
"90","19003950100","Census Tract 9501, Adams County, Iowa","B25036_021",12,11
"91","19003950100","Census Tract 9501, Adams County, Iowa","B25036_022",19,19
"92","19003950100","Census Tract 9501, Adams County, Iowa","B25036_023",47,25
"93","19003950200","Census Tract 9502, Adams County, Iowa","B25036_001",857,73
"94","19003950200","Census Tract 9502, Adams County, Iowa","B25036_002",671,68
"95","19003950200","Census Tract 9502, Adams County, Iowa","B25036_003",3,6
"96","19003950200","Census Tract 9502, Adams County, Iowa","B25036_004",25,17
"97","19003950200","Census Tract 9502, Adams County, Iowa","B25036_005",43,23
"98","19003950200","Census Tract 9502, Adams County, Iowa","B25036_006",44,27
"99","19003950200","Census Tract 9502, Adams County, Iowa","B25036_007",69,30
"100","19003950200","Census Tract 9502, Adams County, Iowa","B25036_008",50,28
"101","19003950200","Census Tract 9502, Adams County, Iowa","B25036_009",61,34
"102","19003950200","Census Tract 9502, Adams County, Iowa","B25036_010",41,17
"103","19003950200","Census Tract 9502, Adams County, Iowa","B25036_011",50,23
"104","19003950200","Census Tract 9502, Adams County, Iowa","B25036_012",285,54
"105","19003950200","Census Tract 9502, Adams County, Iowa","B25036_013",186,47
"106","19003950200","Census Tract 9502, Adams County, Iowa","B25036_014",0,10
"107","19003950200","Census Tract 9502, Adams County, Iowa","B25036_015",18,25
"108","19003950200","Census Tract 9502, Adams County, Iowa","B25036_016",9,10
"109","19003950200","Census Tract 9502, Adams County, Iowa","B25036_017",4,6
"110","19003950200","Census Tract 9502, Adams County, Iowa","B25036_018",4,5
"111","19003950200","Census Tract 9502, Adams County, Iowa","B25036_019",12,15
"112","19003950200","Census Tract 9502, Adams County, Iowa","B25036_020",36,19
"113","19003950200","Census Tract 9502, Adams County, Iowa","B25036_021",29,21
"114","19003950200","Census Tract 9502, Adams County, Iowa","B25036_022",12,10
"115","19003950200","Census Tract 9502, Adams County, Iowa","B25036_023",62,32
"116","19005960100","Census Tract 9601, Allamakee County, Iowa","B25036_001",909,120
"117","19005960100","Census Tract 9601, Allamakee County, Iowa","B25036_002",734,101
"118","19005960100","Census Tract 9601, Allamakee County, Iowa","B25036_003",0,10
"119","19005960100","Census Tract 9601, Allamakee County, Iowa","B25036_004",77,63
"120","19005960100","Census Tract 9601, Allamakee County, Iowa","B25036_005",96,40
"121","19005960100","Census Tract 9601, Allamakee County, Iowa","B25036_006",91,60
"122","19005960100","Census Tract 9601, Allamakee County, Iowa","B25036_007",62,40
"123","19005960100","Census Tract 9601, Allamakee County, Iowa","B25036_008",72,30
"124","19005960100","Census Tract 9601, Allamakee County, Iowa","B25036_009",53,23
"125","19005960100","Census Tract 9601, Allamakee County, Iowa","B25036_010",23,16
"126","19005960100","Census Tract 9601, Allamakee County, Iowa","B25036_011",11,12
"127","19005960100","Census Tract 9601, Allamakee County, Iowa","B25036_012",249,59
"128","19005960100","Census Tract 9601, Allamakee County, Iowa","B25036_013",175,71
"129","19005960100","Census Tract 9601, Allamakee County, Iowa","B25036_014",0,10
"130","19005960100","Census Tract 9601, Allamakee County, Iowa","B25036_015",0,10
"131","19005960100","Census Tract 9601, Allamakee County, Iowa","B25036_016",24,22
