"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","B25037_001",1959,3
"2","19001","Adair County, Iowa","B25037_002",1953,5
"3","19001","Adair County, Iowa","B25037_003",1969,5
"4","19003","Adams County, Iowa","B25037_001",1946,7
"5","19003","Adams County, Iowa","B25037_002",1945,8
"6","19003","Adams County, Iowa","B25037_003",1949,8
"7","19005","Allamakee County, Iowa","B25037_001",1968,4
"8","19005","Allamakee County, Iowa","B25037_002",1969,4
"9","19005","Allamakee County, Iowa","B25037_003",1964,11
"10","19007","Appanoose County, Iowa","B25037_001",1967,3
"11","19007","Appanoose County, Iowa","B25037_002",1966,4
"12","19007","Appanoose County, Iowa","B25037_003",1970,5
"13","19009","Audubon County, Iowa","B25037_001",1950,6
"14","19009","Audubon County, Iowa","B25037_002",1951,5
"15","19009","Audubon County, Iowa","B25037_003",1945,13
"16","19011","Benton County, Iowa","B25037_001",1966,3
"17","19011","Benton County, Iowa","B25037_002",1968,4
"18","19011","Benton County, Iowa","B25037_003",1958,3
"19","19013","Black Hawk County, Iowa","B25037_001",1966,2
"20","19013","Black Hawk County, Iowa","B25037_002",1965,2
"21","19013","Black Hawk County, Iowa","B25037_003",1970,2
"22","19015","Boone County, Iowa","B25037_001",1957,4
"23","19015","Boone County, Iowa","B25037_002",1950,6
"24","19015","Boone County, Iowa","B25037_003",1972,6
"25","19017","Bremer County, Iowa","B25037_001",1968,3
"26","19017","Bremer County, Iowa","B25037_002",1968,3
"27","19017","Bremer County, Iowa","B25037_003",1968,5
"28","19019","Buchanan County, Iowa","B25037_001",1971,2
"29","19019","Buchanan County, Iowa","B25037_002",1972,2
"30","19019","Buchanan County, Iowa","B25037_003",1966,6
"31","19021","Buena Vista County, Iowa","B25037_001",1962,4
"32","19021","Buena Vista County, Iowa","B25037_002",1956,2
"33","19021","Buena Vista County, Iowa","B25037_003",1977,3
"34","19023","Butler County, Iowa","B25037_001",1957,3
"35","19023","Butler County, Iowa","B25037_002",1956,3
"36","19023","Butler County, Iowa","B25037_003",1961,6
"37","19025","Calhoun County, Iowa","B25037_001",1959,3
