"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","B25085_001",44,35
"2","19001","Adair County, Iowa","B25085_002",20,24
"3","19001","Adair County, Iowa","B25085_003",0,15
"4","19001","Adair County, Iowa","B25085_004",0,15
"5","19001","Adair County, Iowa","B25085_005",0,15
"6","19001","Adair County, Iowa","B25085_006",0,15
"7","19001","Adair County, Iowa","B25085_007",0,15
"8","19001","Adair County, Iowa","B25085_008",0,15
"9","19001","Adair County, Iowa","B25085_009",0,15
"10","19001","Adair County, Iowa","B25085_010",0,15
"11","19001","Adair County, Iowa","B25085_011",0,15
"12","19001","Adair County, Iowa","B25085_012",0,15
"13","19001","Adair County, Iowa","B25085_013",0,15
"14","19001","Adair County, Iowa","B25085_014",24,26
"15","19001","Adair County, Iowa","B25085_015",0,15
"16","19001","Adair County, Iowa","B25085_016",0,15
"17","19001","Adair County, Iowa","B25085_017",0,15
"18","19001","Adair County, Iowa","B25085_018",0,15
"19","19001","Adair County, Iowa","B25085_019",0,15
"20","19001","Adair County, Iowa","B25085_020",0,15
"21","19001","Adair County, Iowa","B25085_021",0,15
"22","19001","Adair County, Iowa","B25085_022",0,15
"23","19001","Adair County, Iowa","B25085_023",0,15
"24","19001","Adair County, Iowa","B25085_024",0,15
"25","19001","Adair County, Iowa","B25085_025",0,15
"26","19001","Adair County, Iowa","B25085_026",0,15
"27","19001","Adair County, Iowa","B25085_027",0,15
"28","19003","Adams County, Iowa","B25085_001",114,58
"29","19003","Adams County, Iowa","B25085_002",0,10
"30","19003","Adams County, Iowa","B25085_003",0,10
"31","19003","Adams County, Iowa","B25085_004",0,10
"32","19003","Adams County, Iowa","B25085_005",13,21
"33","19003","Adams County, Iowa","B25085_006",3,4
"34","19003","Adams County, Iowa","B25085_007",11,16
"35","19003","Adams County, Iowa","B25085_008",0,10
"36","19003","Adams County, Iowa","B25085_009",0,10
"37","19003","Adams County, Iowa","B25085_010",7,10
"38","19003","Adams County, Iowa","B25085_011",0,10
"39","19003","Adams County, Iowa","B25085_012",0,10
"40","19003","Adams County, Iowa","B25085_013",0,10
"41","19003","Adams County, Iowa","B25085_014",0,10
"42","19003","Adams County, Iowa","B25085_015",0,10
"43","19003","Adams County, Iowa","B25085_016",36,33
"44","19003","Adams County, Iowa","B25085_017",0,10
"45","19003","Adams County, Iowa","B25085_018",0,10
"46","19003","Adams County, Iowa","B25085_019",44,39
"47","19003","Adams County, Iowa","B25085_020",0,10
"48","19003","Adams County, Iowa","B25085_021",0,10
"49","19003","Adams County, Iowa","B25085_022",0,10
"50","19003","Adams County, Iowa","B25085_023",0,10
"51","19003","Adams County, Iowa","B25085_024",0,10
"52","19003","Adams County, Iowa","B25085_025",0,10
"53","19003","Adams County, Iowa","B25085_026",0,10
"54","19003","Adams County, Iowa","B25085_027",0,10
"55","19005","Allamakee County, Iowa","B25085_001",160,91
"56","19005","Allamakee County, Iowa","B25085_002",5,8
"57","19005","Allamakee County, Iowa","B25085_003",0,16
"58","19005","Allamakee County, Iowa","B25085_004",36,54
"59","19005","Allamakee County, Iowa","B25085_005",24,36
"60","19005","Allamakee County, Iowa","B25085_006",0,16
"61","19005","Allamakee County, Iowa","B25085_007",0,16
"62","19005","Allamakee County, Iowa","B25085_008",0,16
"63","19005","Allamakee County, Iowa","B25085_009",0,16
"64","19005","Allamakee County, Iowa","B25085_010",10,15
"65","19005","Allamakee County, Iowa","B25085_011",0,16
"66","19005","Allamakee County, Iowa","B25085_012",4,10
"67","19005","Allamakee County, Iowa","B25085_013",0,16
"68","19005","Allamakee County, Iowa","B25085_014",55,47
"69","19005","Allamakee County, Iowa","B25085_015",20,32
"70","19005","Allamakee County, Iowa","B25085_016",6,11
"71","19005","Allamakee County, Iowa","B25085_017",0,16
"72","19005","Allamakee County, Iowa","B25085_018",0,16
"73","19005","Allamakee County, Iowa","B25085_019",0,16
"74","19005","Allamakee County, Iowa","B25085_020",0,16
"75","19005","Allamakee County, Iowa","B25085_021",0,16
"76","19005","Allamakee County, Iowa","B25085_022",0,16
"77","19005","Allamakee County, Iowa","B25085_023",0,16
"78","19005","Allamakee County, Iowa","B25085_024",0,16
"79","19005","Allamakee County, Iowa","B25085_025",0,16
"80","19005","Allamakee County, Iowa","B25085_026",0,16
"81","19005","Allamakee County, Iowa","B25085_027",0,16
"82","19007","Appanoose County, Iowa","B25085_001",83,59
"83","19007","Appanoose County, Iowa","B25085_002",5,8
"84","19007","Appanoose County, Iowa","B25085_003",5,7
"85","19007","Appanoose County, Iowa","B25085_004",4,8
"86","19007","Appanoose County, Iowa","B25085_005",0,16
"87","19007","Appanoose County, Iowa","B25085_006",0,16
"88","19007","Appanoose County, Iowa","B25085_007",0,16
"89","19007","Appanoose County, Iowa","B25085_008",0,16
"90","19007","Appanoose County, Iowa","B25085_009",9,14
"91","19007","Appanoose County, Iowa","B25085_010",0,16
"92","19007","Appanoose County, Iowa","B25085_011",0,16
"93","19007","Appanoose County, Iowa","B25085_012",0,16
"94","19007","Appanoose County, Iowa","B25085_013",29,46
"95","19007","Appanoose County, Iowa","B25085_014",0,16
"96","19007","Appanoose County, Iowa","B25085_015",21,22
"97","19007","Appanoose County, Iowa","B25085_016",0,16
"98","19007","Appanoose County, Iowa","B25085_017",0,16
"99","19007","Appanoose County, Iowa","B25085_018",0,16
"100","19007","Appanoose County, Iowa","B25085_019",0,16
"101","19007","Appanoose County, Iowa","B25085_020",0,16
"102","19007","Appanoose County, Iowa","B25085_021",0,16
"103","19007","Appanoose County, Iowa","B25085_022",10,16
"104","19007","Appanoose County, Iowa","B25085_023",0,16
"105","19007","Appanoose County, Iowa","B25085_024",0,16
"106","19007","Appanoose County, Iowa","B25085_025",0,16
"107","19007","Appanoose County, Iowa","B25085_026",0,16
"108","19007","Appanoose County, Iowa","B25085_027",0,16
"109","19009","Audubon County, Iowa","B25085_001",54,45
"110","19009","Audubon County, Iowa","B25085_002",14,23
"111","19009","Audubon County, Iowa","B25085_003",0,15
"112","19009","Audubon County, Iowa","B25085_004",0,15
"113","19009","Audubon County, Iowa","B25085_005",0,15
"114","19009","Audubon County, Iowa","B25085_006",0,15
"115","19009","Audubon County, Iowa","B25085_007",0,15
"116","19009","Audubon County, Iowa","B25085_008",0,15
"117","19009","Audubon County, Iowa","B25085_009",16,25
"118","19009","Audubon County, Iowa","B25085_010",0,15
"119","19009","Audubon County, Iowa","B25085_011",0,15
"120","19009","Audubon County, Iowa","B25085_012",0,15
"121","19009","Audubon County, Iowa","B25085_013",0,15
"122","19009","Audubon County, Iowa","B25085_014",0,15
"123","19009","Audubon County, Iowa","B25085_015",0,15
"124","19009","Audubon County, Iowa","B25085_016",0,15
"125","19009","Audubon County, Iowa","B25085_017",0,15
"126","19009","Audubon County, Iowa","B25085_018",0,15
"127","19009","Audubon County, Iowa","B25085_019",0,15
"128","19009","Audubon County, Iowa","B25085_020",24,32
"129","19009","Audubon County, Iowa","B25085_021",0,15
"130","19009","Audubon County, Iowa","B25085_022",0,15
"131","19009","Audubon County, Iowa","B25085_023",0,15
"132","19009","Audubon County, Iowa","B25085_024",0,15
"133","19009","Audubon County, Iowa","B25085_025",0,15
"134","19009","Audubon County, Iowa","B25085_026",0,15
"135","19009","Audubon County, Iowa","B25085_027",0,15
"136","19011","Benton County, Iowa","B25085_001",182,82
"137","19011","Benton County, Iowa","B25085_002",0,19
"138","19011","Benton County, Iowa","B25085_003",0,19
"139","19011","Benton County, Iowa","B25085_004",0,19
"140","19011","Benton County, Iowa","B25085_005",0,19
"141","19011","Benton County, Iowa","B25085_006",0,19
"142","19011","Benton County, Iowa","B25085_007",0,19
"143","19011","Benton County, Iowa","B25085_008",0,19
"144","19011","Benton County, Iowa","B25085_009",33,47
"145","19011","Benton County, Iowa","B25085_010",3,5
"146","19011","Benton County, Iowa","B25085_011",14,20
"147","19011","Benton County, Iowa","B25085_012",9,10
"148","19011","Benton County, Iowa","B25085_013",0,19
"149","19011","Benton County, Iowa","B25085_014",13,15
"150","19011","Benton County, Iowa","B25085_015",17,21
"151","19011","Benton County, Iowa","B25085_016",35,29
"152","19011","Benton County, Iowa","B25085_017",0,19
"153","19011","Benton County, Iowa","B25085_018",0,19
"154","19011","Benton County, Iowa","B25085_019",47,51
"155","19011","Benton County, Iowa","B25085_020",9,14
"156","19011","Benton County, Iowa","B25085_021",0,19
"157","19011","Benton County, Iowa","B25085_022",0,19
"158","19011","Benton County, Iowa","B25085_023",0,19
"159","19011","Benton County, Iowa","B25085_024",2,4
"160","19011","Benton County, Iowa","B25085_025",0,19
"161","19011","Benton County, Iowa","B25085_026",0,19
"162","19011","Benton County, Iowa","B25085_027",0,19
"163","19013","Black Hawk County, Iowa","B25085_001",795,223
"164","19013","Black Hawk County, Iowa","B25085_002",42,59
"165","19013","Black Hawk County, Iowa","B25085_003",0,24
"166","19013","Black Hawk County, Iowa","B25085_004",13,21
"167","19013","Black Hawk County, Iowa","B25085_005",86,68
"168","19013","Black Hawk County, Iowa","B25085_006",0,24
"169","19013","Black Hawk County, Iowa","B25085_007",13,20
"170","19013","Black Hawk County, Iowa","B25085_008",0,24
"171","19013","Black Hawk County, Iowa","B25085_009",36,43
"172","19013","Black Hawk County, Iowa","B25085_010",186,104
"173","19013","Black Hawk County, Iowa","B25085_011",56,67
"174","19013","Black Hawk County, Iowa","B25085_012",0,24
"175","19013","Black Hawk County, Iowa","B25085_013",120,93
"176","19013","Black Hawk County, Iowa","B25085_014",50,62
"177","19013","Black Hawk County, Iowa","B25085_015",34,44
"178","19013","Black Hawk County, Iowa","B25085_016",48,39
"179","19013","Black Hawk County, Iowa","B25085_017",0,24
"180","19013","Black Hawk County, Iowa","B25085_018",0,24
"181","19013","Black Hawk County, Iowa","B25085_019",8,14
"182","19013","Black Hawk County, Iowa","B25085_020",78,94
"183","19013","Black Hawk County, Iowa","B25085_021",25,40
"184","19013","Black Hawk County, Iowa","B25085_022",0,24
"185","19013","Black Hawk County, Iowa","B25085_023",0,24
"186","19013","Black Hawk County, Iowa","B25085_024",0,24
"187","19013","Black Hawk County, Iowa","B25085_025",0,24
"188","19013","Black Hawk County, Iowa","B25085_026",0,24
"189","19013","Black Hawk County, Iowa","B25085_027",0,24
"190","19015","Boone County, Iowa","B25085_001",130,87
"191","19015","Boone County, Iowa","B25085_002",0,19
"192","19015","Boone County, Iowa","B25085_003",0,19
"193","19015","Boone County, Iowa","B25085_004",0,19
"194","19015","Boone County, Iowa","B25085_005",17,24
"195","19015","Boone County, Iowa","B25085_006",25,30
"196","19015","Boone County, Iowa","B25085_007",3,5
"197","19015","Boone County, Iowa","B25085_008",0,19
"198","19015","Boone County, Iowa","B25085_009",0,19
"199","19015","Boone County, Iowa","B25085_010",0,19
"200","19015","Boone County, Iowa","B25085_011",0,19
"201","19015","Boone County, Iowa","B25085_012",3,6
"202","19015","Boone County, Iowa","B25085_013",0,19
"203","19015","Boone County, Iowa","B25085_014",0,19
"204","19015","Boone County, Iowa","B25085_015",5,7
"205","19015","Boone County, Iowa","B25085_016",0,19
"206","19015","Boone County, Iowa","B25085_017",0,19
"207","19015","Boone County, Iowa","B25085_018",0,19
"208","19015","Boone County, Iowa","B25085_019",28,41
"209","19015","Boone County, Iowa","B25085_020",3,6
"210","19015","Boone County, Iowa","B25085_021",46,67
"211","19015","Boone County, Iowa","B25085_022",0,19
"212","19015","Boone County, Iowa","B25085_023",0,19
"213","19015","Boone County, Iowa","B25085_024",0,19
"214","19015","Boone County, Iowa","B25085_025",0,19
"215","19015","Boone County, Iowa","B25085_026",0,19
"216","19015","Boone County, Iowa","B25085_027",0,19
"217","19017","Bremer County, Iowa","B25085_001",51,32
"218","19017","Bremer County, Iowa","B25085_002",3,4
"219","19017","Bremer County, Iowa","B25085_003",0,19
"220","19017","Bremer County, Iowa","B25085_004",3,5
"221","19017","Bremer County, Iowa","B25085_005",0,19
"222","19017","Bremer County, Iowa","B25085_006",0,19
"223","19017","Bremer County, Iowa","B25085_007",0,19
"224","19017","Bremer County, Iowa","B25085_008",0,19
"225","19017","Bremer County, Iowa","B25085_009",0,19
"226","19017","Bremer County, Iowa","B25085_010",0,19
"227","19017","Bremer County, Iowa","B25085_011",5,8
"228","19017","Bremer County, Iowa","B25085_012",22,23
"229","19017","Bremer County, Iowa","B25085_013",0,19
"230","19017","Bremer County, Iowa","B25085_014",0,19
"231","19017","Bremer County, Iowa","B25085_015",4,7
"232","19017","Bremer County, Iowa","B25085_016",0,19
"233","19017","Bremer County, Iowa","B25085_017",0,19
"234","19017","Bremer County, Iowa","B25085_018",0,19
"235","19017","Bremer County, Iowa","B25085_019",0,19
