"","GEOID","NAME","variable","estimate","moe"
"1","19001960100","Census Tract 9601, Adair County, Iowa","B25107_001",133500,16490
"2","19001960100","Census Tract 9601, Adair County, Iowa","B25107_002",NA,NA
"3","19001960100","Census Tract 9601, Adair County, Iowa","B25107_003",NA,NA
"4","19001960100","Census Tract 9601, Adair County, Iowa","B25107_004",262500,110834
"5","19001960100","Census Tract 9601, Adair County, Iowa","B25107_005",175000,96468
"6","19001960100","Census Tract 9601, Adair County, Iowa","B25107_006",145200,64639
"7","19001960100","Census Tract 9601, Adair County, Iowa","B25107_007",154200,58351
"8","19001960100","Census Tract 9601, Adair County, Iowa","B25107_008",89500,58568
"9","19001960100","Census Tract 9601, Adair County, Iowa","B25107_009",NA,NA
"10","19001960100","Census Tract 9601, Adair County, Iowa","B25107_010",125000,54702
"11","19001960100","Census Tract 9601, Adair County, Iowa","B25107_011",115500,11244
"12","19001960200","Census Tract 9602, Adair County, Iowa","B25107_001",113400,9984
"13","19001960200","Census Tract 9602, Adair County, Iowa","B25107_002",NA,NA
"14","19001960200","Census Tract 9602, Adair County, Iowa","B25107_003",NA,NA
"15","19001960200","Census Tract 9602, Adair County, Iowa","B25107_004",173500,73068
"16","19001960200","Census Tract 9602, Adair County, Iowa","B25107_005",141100,44204
"17","19001960200","Census Tract 9602, Adair County, Iowa","B25107_006",NA,NA
"18","19001960200","Census Tract 9602, Adair County, Iowa","B25107_007",172500,87872
"19","19001960200","Census Tract 9602, Adair County, Iowa","B25107_008",117500,82174
"20","19001960200","Census Tract 9602, Adair County, Iowa","B25107_009",88300,77595
"21","19001960200","Census Tract 9602, Adair County, Iowa","B25107_010",106900,29765
"22","19001960200","Census Tract 9602, Adair County, Iowa","B25107_011",77700,24320
"23","19001960300","Census Tract 9603, Adair County, Iowa","B25107_001",97800,10375
"24","19001960300","Census Tract 9603, Adair County, Iowa","B25107_002",NA,NA
"25","19001960300","Census Tract 9603, Adair County, Iowa","B25107_003",NA,NA
"26","19001960300","Census Tract 9603, Adair County, Iowa","B25107_004",143800,36057
"27","19001960300","Census Tract 9603, Adair County, Iowa","B25107_005",112500,100452
"28","19001960300","Census Tract 9603, Adair County, Iowa","B25107_006",102100,36069
"29","19001960300","Census Tract 9603, Adair County, Iowa","B25107_007",150800,31408
"30","19001960300","Census Tract 9603, Adair County, Iowa","B25107_008",111100,11689
"31","19001960300","Census Tract 9603, Adair County, Iowa","B25107_009",80900,18343
"32","19001960300","Census Tract 9603, Adair County, Iowa","B25107_010",81900,24405
"33","19001960300","Census Tract 9603, Adair County, Iowa","B25107_011",89500,10628
"34","19003950100","Census Tract 9501, Adams County, Iowa","B25107_001",138000,39258
"35","19003950100","Census Tract 9501, Adams County, Iowa","B25107_002",NA,NA
"36","19003950100","Census Tract 9501, Adams County, Iowa","B25107_003",330000,42747
"37","19003950100","Census Tract 9501, Adams County, Iowa","B25107_004",228600,114858
"38","19003950100","Census Tract 9501, Adams County, Iowa","B25107_005",NA,NA
"39","19003950100","Census Tract 9501, Adams County, Iowa","B25107_006",NA,NA
