"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","B25108_001",352939000,42403046
"2","19001","Adair County, Iowa","B25108_002",NA,NA
"3","19001","Adair County, Iowa","B25108_003",25437000,16262576
"4","19001","Adair County, Iowa","B25108_004",37777500,13856794
"5","19001","Adair County, Iowa","B25108_005",25520000,9579666
"6","19001","Adair County, Iowa","B25108_006",18175000,7483629
"7","19001","Adair County, Iowa","B25108_007",54478000,17340439
"8","19001","Adair County, Iowa","B25108_008",23902200,6302655
"9","19001","Adair County, Iowa","B25108_009",25657000,9947021
"10","19001","Adair County, Iowa","B25108_010",13885500,4799070
"11","19001","Adair County, Iowa","B25108_011",128106900,35015592
"12","19003","Adams County, Iowa","B25108_001",NA,NA
"13","19003","Adams County, Iowa","B25108_002",NA,NA
"14","19003","Adams County, Iowa","B25108_003",NA,NA
"15","19003","Adams County, Iowa","B25108_004",NA,NA
"16","19003","Adams County, Iowa","B25108_005",NA,NA
"17","19003","Adams County, Iowa","B25108_006",NA,NA
"18","19003","Adams County, Iowa","B25108_007",NA,NA
"19","19003","Adams County, Iowa","B25108_008",NA,NA
"20","19003","Adams County, Iowa","B25108_009",NA,NA
"21","19003","Adams County, Iowa","B25108_010",NA,NA
"22","19003","Adams County, Iowa","B25108_011",NA,NA
"23","19005","Allamakee County, Iowa","B25108_001",NA,NA
"24","19005","Allamakee County, Iowa","B25108_002",NA,NA
"25","19005","Allamakee County, Iowa","B25108_003",NA,NA
"26","19005","Allamakee County, Iowa","B25108_004",NA,NA
"27","19005","Allamakee County, Iowa","B25108_005",NA,NA
"28","19005","Allamakee County, Iowa","B25108_006",NA,NA
"29","19005","Allamakee County, Iowa","B25108_007",NA,NA
"30","19005","Allamakee County, Iowa","B25108_008",NA,NA
"31","19005","Allamakee County, Iowa","B25108_009",NA,NA
"32","19005","Allamakee County, Iowa","B25108_010",NA,NA
"33","19005","Allamakee County, Iowa","B25108_011",NA,NA
"34","19007","Appanoose County, Iowa","B25108_001",436649000,35163343
"35","19007","Appanoose County, Iowa","B25108_002",NA,NA
"36","19007","Appanoose County, Iowa","B25108_003",42860000,15101207
"37","19007","Appanoose County, Iowa","B25108_004",50462500,14401207
"38","19007","Appanoose County, Iowa","B25108_005",50163000,16192425
"39","19007","Appanoose County, Iowa","B25108_006",30625900,11660291
"40","19007","Appanoose County, Iowa","B25108_007",74871800,15037863
"41","19007","Appanoose County, Iowa","B25108_008",39358700,17676653
"42","19007","Appanoose County, Iowa","B25108_009",20352500,7939151
"43","19007","Appanoose County, Iowa","B25108_010",15644300,8015892
"44","19007","Appanoose County, Iowa","B25108_011",112310300,24389796
"45","19009","Audubon County, Iowa","B25108_001",265927300,30026383
"46","19009","Audubon County, Iowa","B25108_002",NA,NA
"47","19009","Audubon County, Iowa","B25108_003",16570000,10299864
"48","19009","Audubon County, Iowa","B25108_004",23062000,11369394
"49","19009","Audubon County, Iowa","B25108_005",13580000,6293080
"50","19009","Audubon County, Iowa","B25108_006",7903000,4934998
"51","19009","Audubon County, Iowa","B25108_007",22216500,6640236
"52","19009","Audubon County, Iowa","B25108_008",27458400,7822571
"53","19009","Audubon County, Iowa","B25108_009",19821900,5973327
"54","19009","Audubon County, Iowa","B25108_010",24032500,15251588
"55","19009","Audubon County, Iowa","B25108_011",111283000,24271655
"56","19011","Benton County, Iowa","B25108_001",NA,NA
"57","19011","Benton County, Iowa","B25108_002",NA,NA
"58","19011","Benton County, Iowa","B25108_003",NA,NA
"59","19011","Benton County, Iowa","B25108_004",NA,NA
"60","19011","Benton County, Iowa","B25108_005",NA,NA
"61","19011","Benton County, Iowa","B25108_006",NA,NA
"62","19011","Benton County, Iowa","B25108_007",NA,NA
"63","19011","Benton County, Iowa","B25108_008",NA,NA
"64","19011","Benton County, Iowa","B25108_009",NA,NA
"65","19011","Benton County, Iowa","B25108_010",NA,NA
"66","19011","Benton County, Iowa","B25108_011",NA,NA
"67","19013","Black Hawk County, Iowa","B25108_001",NA,NA
"68","19013","Black Hawk County, Iowa","B25108_002",NA,NA
"69","19013","Black Hawk County, Iowa","B25108_003",NA,NA
"70","19013","Black Hawk County, Iowa","B25108_004",NA,NA
"71","19013","Black Hawk County, Iowa","B25108_005",NA,NA
"72","19013","Black Hawk County, Iowa","B25108_006",NA,NA
"73","19013","Black Hawk County, Iowa","B25108_007",NA,NA
"74","19013","Black Hawk County, Iowa","B25108_008",NA,NA
"75","19013","Black Hawk County, Iowa","B25108_009",NA,NA
"76","19013","Black Hawk County, Iowa","B25108_010",NA,NA
"77","19013","Black Hawk County, Iowa","B25108_011",NA,NA
"78","19015","Boone County, Iowa","B25108_001",1608529100,112964611
"79","19015","Boone County, Iowa","B25108_002",NA,NA
"80","19015","Boone County, Iowa","B25108_003",132649000,43805988
"81","19015","Boone County, Iowa","B25108_004",203258400,51474241
"82","19015","Boone County, Iowa","B25108_005",185278800,52725200
"83","19015","Boone County, Iowa","B25108_006",76171000,28059549
"84","19015","Boone County, Iowa","B25108_007",188234100,38931725
"85","19015","Boone County, Iowa","B25108_008",86577000,22599327
"86","19015","Boone County, Iowa","B25108_009",91294200,23338183
"87","19015","Boone County, Iowa","B25108_010",51289500,17178504
"88","19015","Boone County, Iowa","B25108_011",593777300,96388799
"89","19017","Bremer County, Iowa","B25108_001",1612714700,75784639
"90","19017","Bremer County, Iowa","B25108_002",NA,NA
"91","19017","Bremer County, Iowa","B25108_003",158714000,37004399
"92","19017","Bremer County, Iowa","B25108_004",239464400,46389367
"93","19017","Bremer County, Iowa","B25108_005",214699000,46295940
"94","19017","Bremer County, Iowa","B25108_006",82508400,27063697
"95","19017","Bremer County, Iowa","B25108_007",270906500,39868715
"96","19017","Bremer County, Iowa","B25108_008",1.25e+08,30797312
"97","19017","Bremer County, Iowa","B25108_009",91575600,20281750
"98","19017","Bremer County, Iowa","B25108_010",58020200,23290114
"99","19017","Bremer County, Iowa","B25108_011",371826700,36723312
"100","19019","Buchanan County, Iowa","B25108_001",NA,NA
"101","19019","Buchanan County, Iowa","B25108_002",NA,NA
"102","19019","Buchanan County, Iowa","B25108_003",NA,NA
"103","19019","Buchanan County, Iowa","B25108_004",NA,NA
"104","19019","Buchanan County, Iowa","B25108_005",NA,NA
"105","19019","Buchanan County, Iowa","B25108_006",NA,NA
"106","19019","Buchanan County, Iowa","B25108_007",NA,NA
"107","19019","Buchanan County, Iowa","B25108_008",NA,NA
"108","19019","Buchanan County, Iowa","B25108_009",NA,NA
"109","19019","Buchanan County, Iowa","B25108_010",NA,NA
"110","19019","Buchanan County, Iowa","B25108_011",NA,NA
"111","19021","Buena Vista County, Iowa","B25108_001",795871000,66161675
"112","19021","Buena Vista County, Iowa","B25108_002",NA,NA
"113","19021","Buena Vista County, Iowa","B25108_003",53780000,19498478
"114","19021","Buena Vista County, Iowa","B25108_004",30899900,11214358
"115","19021","Buena Vista County, Iowa","B25108_005",58773000,18640927
"116","19021","Buena Vista County, Iowa","B25108_006",65481500,31984597
"117","19021","Buena Vista County, Iowa","B25108_007",113519200,23951506
"118","19021","Buena Vista County, Iowa","B25108_008",105274700,32399867
"119","19021","Buena Vista County, Iowa","B25108_009",96185300,20198447
"120","19021","Buena Vista County, Iowa","B25108_010",23516800,7563450
"121","19021","Buena Vista County, Iowa","B25108_011",248440700,42245479
"122","19023","Butler County, Iowa","B25108_001",NA,NA
"123","19023","Butler County, Iowa","B25108_002",NA,NA
"124","19023","Butler County, Iowa","B25108_003",NA,NA
"125","19023","Butler County, Iowa","B25108_004",NA,NA
"126","19023","Butler County, Iowa","B25108_005",NA,NA
"127","19023","Butler County, Iowa","B25108_006",NA,NA
"128","19023","Butler County, Iowa","B25108_007",NA,NA
"129","19023","Butler County, Iowa","B25108_008",NA,NA
"130","19023","Butler County, Iowa","B25108_009",NA,NA
"131","19023","Butler County, Iowa","B25108_010",NA,NA
"132","19023","Butler County, Iowa","B25108_011",NA,NA
"133","19025","Calhoun County, Iowa","B25108_001",438271100,36097009
"134","19025","Calhoun County, Iowa","B25108_002",NA,NA
"135","19025","Calhoun County, Iowa","B25108_003",48905000,19607426
"136","19025","Calhoun County, Iowa","B25108_004",52769100,23418906
"137","19025","Calhoun County, Iowa","B25108_005",51803000,25271829
"138","19025","Calhoun County, Iowa","B25108_006",17912100,6909789
"139","19025","Calhoun County, Iowa","B25108_007",67004000,19852471
"140","19025","Calhoun County, Iowa","B25108_008",56470000,15844884
"141","19025","Calhoun County, Iowa","B25108_009",42260600,9341312
"142","19025","Calhoun County, Iowa","B25108_010",13730000,4935502
"143","19025","Calhoun County, Iowa","B25108_011",87417300,12368053
"144","19027","Carroll County, Iowa","B25108_001",NA,NA
"145","19027","Carroll County, Iowa","B25108_002",NA,NA
"146","19027","Carroll County, Iowa","B25108_003",NA,NA
"147","19027","Carroll County, Iowa","B25108_004",NA,NA
"148","19027","Carroll County, Iowa","B25108_005",NA,NA
"149","19027","Carroll County, Iowa","B25108_006",NA,NA
"150","19027","Carroll County, Iowa","B25108_007",NA,NA
"151","19027","Carroll County, Iowa","B25108_008",NA,NA
"152","19027","Carroll County, Iowa","B25108_009",NA,NA
"153","19027","Carroll County, Iowa","B25108_010",NA,NA
"154","19027","Carroll County, Iowa","B25108_011",NA,NA
"155","19029","Cass County, Iowa","B25108_001",625970500,48859065
"156","19029","Cass County, Iowa","B25108_002",NA,NA
"157","19029","Cass County, Iowa","B25108_003",40070500,19409302
"158","19029","Cass County, Iowa","B25108_004",92912000,35155501
"159","19029","Cass County, Iowa","B25108_005",37100400,17454329
"160","19029","Cass County, Iowa","B25108_006",47635000,16874033
"161","19029","Cass County, Iowa","B25108_007",77607000,20715916
"162","19029","Cass County, Iowa","B25108_008",57061700,16946857
"163","19029","Cass County, Iowa","B25108_009",65605000,18033343
"164","19029","Cass County, Iowa","B25108_010",21256000,9774878
"165","19029","Cass County, Iowa","B25108_011",186722900,29253893
"166","19031","Cedar County, Iowa","B25108_001",1157595100,104965719
"167","19031","Cedar County, Iowa","B25108_002",5330000,5160540
"168","19031","Cedar County, Iowa","B25108_003",89686000,24057982
"169","19031","Cedar County, Iowa","B25108_004",234267000,47555319
"170","19031","Cedar County, Iowa","B25108_005",135445000,41723297
"171","19031","Cedar County, Iowa","B25108_006",43456000,15864372
"172","19031","Cedar County, Iowa","B25108_007",135035000,23546560
"173","19031","Cedar County, Iowa","B25108_008",45307300,13879711
"174","19031","Cedar County, Iowa","B25108_009",47386500,11247039
"175","19031","Cedar County, Iowa","B25108_010",32961000,9825748
"176","19031","Cedar County, Iowa","B25108_011",388721300,96646651
"177","19033","Cerro Gordo County, Iowa","B25108_001",NA,NA
"178","19033","Cerro Gordo County, Iowa","B25108_002",NA,NA
"179","19033","Cerro Gordo County, Iowa","B25108_003",NA,NA
"180","19033","Cerro Gordo County, Iowa","B25108_004",NA,NA
"181","19033","Cerro Gordo County, Iowa","B25108_005",NA,NA
"182","19033","Cerro Gordo County, Iowa","B25108_006",NA,NA
"183","19033","Cerro Gordo County, Iowa","B25108_007",NA,NA
"184","19033","Cerro Gordo County, Iowa","B25108_008",NA,NA
"185","19033","Cerro Gordo County, Iowa","B25108_009",NA,NA
"186","19033","Cerro Gordo County, Iowa","B25108_010",NA,NA
"187","19033","Cerro Gordo County, Iowa","B25108_011",NA,NA
"188","19035","Cherokee County, Iowa","B25108_001",549841300,46532450
"189","19035","Cherokee County, Iowa","B25108_002",NA,NA
"190","19035","Cherokee County, Iowa","B25108_003",40625000,26451495
"191","19035","Cherokee County, Iowa","B25108_004",38695000,19991837
"192","19035","Cherokee County, Iowa","B25108_005",22008000,11090289
"193","19035","Cherokee County, Iowa","B25108_006",29406000,14977467
"194","19035","Cherokee County, Iowa","B25108_007",82787800,29375893
"195","19035","Cherokee County, Iowa","B25108_008",81969000,21775594
"196","19035","Cherokee County, Iowa","B25108_009",39809000,12345213
"197","19035","Cherokee County, Iowa","B25108_010",23596500,8550893
"198","19035","Cherokee County, Iowa","B25108_011",190945000,33704607
"199","19037","Chickasaw County, Iowa","B25108_001",731460100,132036107
"200","19037","Chickasaw County, Iowa","B25108_002",NA,NA
"201","19037","Chickasaw County, Iowa","B25108_003",51477500,29142718
"202","19037","Chickasaw County, Iowa","B25108_004",63177500,22185679
"203","19037","Chickasaw County, Iowa","B25108_005",149823300,123801972
"204","19037","Chickasaw County, Iowa","B25108_006",45278000,11852752
"205","19037","Chickasaw County, Iowa","B25108_007",109304900,24841272
"206","19037","Chickasaw County, Iowa","B25108_008",58354300,14735933
"207","19037","Chickasaw County, Iowa","B25108_009",71904200,39145933
"208","19037","Chickasaw County, Iowa","B25108_010",21422000,9028697
"209","19037","Chickasaw County, Iowa","B25108_011",160718500,27511515
"210","19039","Clarke County, Iowa","B25108_001",NA,NA
"211","19039","Clarke County, Iowa","B25108_002",NA,NA
"212","19039","Clarke County, Iowa","B25108_003",NA,NA
"213","19039","Clarke County, Iowa","B25108_004",NA,NA
"214","19039","Clarke County, Iowa","B25108_005",NA,NA
"215","19039","Clarke County, Iowa","B25108_006",NA,NA
"216","19039","Clarke County, Iowa","B25108_007",NA,NA
"217","19039","Clarke County, Iowa","B25108_008",NA,NA
"218","19039","Clarke County, Iowa","B25108_009",NA,NA
