"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","B25110_001",352939000,42403046
"2","19001","Adair County, Iowa","B25110_002",12005500,5031713
"3","19001","Adair County, Iowa","B25110_003",56852000,15587988
"4","19001","Adair County, Iowa","B25110_004",54319000,15719087
"5","19001","Adair County, Iowa","B25110_005",76678100,18327221
"6","19001","Adair County, Iowa","B25110_006",46162200,14050909
"7","19001","Adair County, Iowa","B25110_007",106922300,31365967
"8","19003","Adams County, Iowa","B25110_001",233613100,69228683
"9","19003","Adams County, Iowa","B25110_002",31798600,61763828
"10","19003","Adams County, Iowa","B25110_003",29918000,14869288
"11","19003","Adams County, Iowa","B25110_004",57647000,32949189
"12","19003","Adams County, Iowa","B25110_005",42354500,12221462
"13","19003","Adams County, Iowa","B25110_006",34517000,13420390
"14","19003","Adams County, Iowa","B25110_007",37378000,11000123
"15","19005","Allamakee County, Iowa","B25110_001",977160100,190265313
"16","19005","Allamakee County, Iowa","B25110_002",28564700,15306654
"17","19005","Allamakee County, Iowa","B25110_003",274212500,160837625
"18","19005","Allamakee County, Iowa","B25110_004",72614200,23804756
"19","19005","Allamakee County, Iowa","B25110_005",188691600,39118855
"20","19005","Allamakee County, Iowa","B25110_006",215878000,91685488
"21","19005","Allamakee County, Iowa","B25110_007",197199100,61718069
"22","19007","Appanoose County, Iowa","B25110_001",436649000,35163343
"23","19007","Appanoose County, Iowa","B25110_002",21238100,10160124
"24","19007","Appanoose County, Iowa","B25110_003",69716800,15145081
"25","19007","Appanoose County, Iowa","B25110_004",61582000,16585208
"26","19007","Appanoose County, Iowa","B25110_005",114896800,29482246
"27","19007","Appanoose County, Iowa","B25110_006",76732000,19516444
"28","19007","Appanoose County, Iowa","B25110_007",92483200,20454777
"29","19009","Audubon County, Iowa","B25110_001",265927300,30026383
"30","19009","Audubon County, Iowa","B25110_002",16442000,8983557
"31","19009","Audubon County, Iowa","B25110_003",35527000,8972744
"32","19009","Audubon County, Iowa","B25110_004",37696000,11645293
"33","19009","Audubon County, Iowa","B25110_005",59392500,13675899
"34","19009","Audubon County, Iowa","B25110_006",35664900,14374225
"35","19009","Audubon County, Iowa","B25110_007",81204900,23958461
"36","19011","Benton County, Iowa","B25110_001",1564967300,73856536
"37","19011","Benton County, Iowa","B25110_002",76816400,19367209
"38","19011","Benton County, Iowa","B25110_003",306138400,42068199
"39","19011","Benton County, Iowa","B25110_004",282967000,50784286
"40","19011","Benton County, Iowa","B25110_005",428357500,58807388
"41","19011","Benton County, Iowa","B25110_006",204324100,36613443
"42","19011","Benton County, Iowa","B25110_007",266363900,48317330
"43","19013","Black Hawk County, Iowa","B25110_001",6462750300,286437761
"44","19013","Black Hawk County, Iowa","B25110_002",384004900,73782025
"45","19013","Black Hawk County, Iowa","B25110_003",1301157700,158974586
"46","19013","Black Hawk County, Iowa","B25110_004",1222292400,137411067
"47","19013","Black Hawk County, Iowa","B25110_005",1354647400,91132043
"48","19013","Black Hawk County, Iowa","B25110_006",1030990700,204131947
"49","19013","Black Hawk County, Iowa","B25110_007",1169657200,127795338
"50","19015","Boone County, Iowa","B25110_001",1608529100,112964611
"51","19015","Boone County, Iowa","B25110_002",71196900,20714957
"52","19015","Boone County, Iowa","B25110_003",268379700,55023422
"53","19015","Boone County, Iowa","B25110_004",289790100,62144280
"54","19015","Boone County, Iowa","B25110_005",379323800,55939169
"55","19015","Boone County, Iowa","B25110_006",252692900,39778334
"56","19015","Boone County, Iowa","B25110_007",347145700,82457915
"57","19017","Bremer County, Iowa","B25110_001",1612714700,75784639
"58","19017","Bremer County, Iowa","B25110_002",68432100,21961503
"59","19017","Bremer County, Iowa","B25110_003",266148800,46141965
"60","19017","Bremer County, Iowa","B25110_004",321442000,43743902
"61","19017","Bremer County, Iowa","B25110_005",410611400,48672907
"62","19017","Bremer County, Iowa","B25110_006",261216700,44334779
"63","19017","Bremer County, Iowa","B25110_007",284863700,33137411
"64","19019","Buchanan County, Iowa","B25110_001",1042494900,47695781
"65","19019","Buchanan County, Iowa","B25110_002",58877000,15789519
"66","19019","Buchanan County, Iowa","B25110_003",197034100,36141575
"67","19019","Buchanan County, Iowa","B25110_004",181996700,30575865
"68","19019","Buchanan County, Iowa","B25110_005",223223000,29805854
"69","19019","Buchanan County, Iowa","B25110_006",195230900,25249173
"70","19019","Buchanan County, Iowa","B25110_007",186133200,25164321
"71","19021","Buena Vista County, Iowa","B25110_001",795871000,66161675
"72","19021","Buena Vista County, Iowa","B25110_002",18828700,10015405
"73","19021","Buena Vista County, Iowa","B25110_003",234374300,55078765
"74","19021","Buena Vista County, Iowa","B25110_004",118385700,31221731
"75","19021","Buena Vista County, Iowa","B25110_005",178862900,45728457
"76","19021","Buena Vista County, Iowa","B25110_006",99578800,20894792
"77","19021","Buena Vista County, Iowa","B25110_007",145840600,23993986
"78","19023","Butler County, Iowa","B25110_001",688665500,44258393
"79","19023","Butler County, Iowa","B25110_002",25141500,7947662
"80","19023","Butler County, Iowa","B25110_003",97514200,19424487
"81","19023","Butler County, Iowa","B25110_004",92287500,18278339
"82","19023","Butler County, Iowa","B25110_005",197371900,27004289
"83","19023","Butler County, Iowa","B25110_006",110046800,17897739
"84","19023","Butler County, Iowa","B25110_007",166303700,27084251
"85","19025","Calhoun County, Iowa","B25110_001",438271100,36097009
"86","19025","Calhoun County, Iowa","B25110_002",37208100,20844271
"87","19025","Calhoun County, Iowa","B25110_003",55634000,17081898
"88","19025","Calhoun County, Iowa","B25110_004",82711100,15904726
"89","19025","Calhoun County, Iowa","B25110_005",126881100,29045358
"90","19025","Calhoun County, Iowa","B25110_006",43387000,8010437
"91","19025","Calhoun County, Iowa","B25110_007",92449800,15235807
"92","19027","Carroll County, Iowa","B25110_001",1142645400,64790398
"93","19027","Carroll County, Iowa","B25110_002",50995600,21719782
"94","19027","Carroll County, Iowa","B25110_003",173632500,41163701
"95","19027","Carroll County, Iowa","B25110_004",159914100,42711082
"96","19027","Carroll County, Iowa","B25110_005",327599800,42449643
"97","19027","Carroll County, Iowa","B25110_006",154560000,32739623
"98","19027","Carroll County, Iowa","B25110_007",275943400,37611500
"99","19029","Cass County, Iowa","B25110_001",625970500,48859065
"100","19029","Cass County, Iowa","B25110_002",18062500,9587412
"101","19029","Cass County, Iowa","B25110_003",111273000,25724097
"102","19029","Cass County, Iowa","B25110_004",102413200,19514137
"103","19029","Cass County, Iowa","B25110_005",172988300,41005189
"104","19029","Cass County, Iowa","B25110_006",85915400,19867318
"105","19029","Cass County, Iowa","B25110_007",135318200,23496126
"106","19031","Cedar County, Iowa","B25110_001",1157595100,104965719
"107","19031","Cedar County, Iowa","B25110_002",79804400,29749148
"108","19031","Cedar County, Iowa","B25110_003",198632000,35285814
"109","19031","Cedar County, Iowa","B25110_004",245650300,92009583
"110","19031","Cedar County, Iowa","B25110_005",345177500,55324918
"111","19031","Cedar County, Iowa","B25110_006",149055400,23681237
"112","19031","Cedar County, Iowa","B25110_007",139275500,21898313
"113","19033","Cerro Gordo County, Iowa","B25110_001",2563961300,167558734
"114","19033","Cerro Gordo County, Iowa","B25110_002",208812100,72810441
"115","19033","Cerro Gordo County, Iowa","B25110_003",454845800,85220631
"116","19033","Cerro Gordo County, Iowa","B25110_004",422328300,62499303
"117","19033","Cerro Gordo County, Iowa","B25110_005",661034400,135804557
"118","19033","Cerro Gordo County, Iowa","B25110_006",414699800,104666406
"119","19033","Cerro Gordo County, Iowa","B25110_007",402240900,68116723
"120","19035","Cherokee County, Iowa","B25110_001",549841300,46532450
"121","19035","Cherokee County, Iowa","B25110_002",44135000,25772693
"122","19035","Cherokee County, Iowa","B25110_003",85283000,25491095
"123","19035","Cherokee County, Iowa","B25110_004",81265300,28348782
"124","19035","Cherokee County, Iowa","B25110_005",115385500,27777199
"125","19035","Cherokee County, Iowa","B25110_006",80999900,17326723
"126","19035","Cherokee County, Iowa","B25110_007",142772600,28696718
"127","19037","Chickasaw County, Iowa","B25110_001",731460100,132036107
"128","19037","Chickasaw County, Iowa","B25110_002",37297000,16600047
"129","19037","Chickasaw County, Iowa","B25110_003",190026000,127332618
"130","19037","Chickasaw County, Iowa","B25110_004",100900400,26529401
"131","19037","Chickasaw County, Iowa","B25110_005",172346300,45584668
"132","19037","Chickasaw County, Iowa","B25110_006",99710400,19017355
"133","19037","Chickasaw County, Iowa","B25110_007",131180000,17985113
"134","19039","Clarke County, Iowa","B25110_001",419044100,53621900
"135","19039","Clarke County, Iowa","B25110_002",12504000,6673122
"136","19039","Clarke County, Iowa","B25110_003",75365100,24462319
"137","19039","Clarke County, Iowa","B25110_004",53606000,19191771
"138","19039","Clarke County, Iowa","B25110_005",109601000,28575313
"139","19039","Clarke County, Iowa","B25110_006",53857000,20413628
"140","19039","Clarke County, Iowa","B25110_007",114111000,41152493
"141","19041","Clay County, Iowa","B25110_001",812929000,64705472
"142","19041","Clay County, Iowa","B25110_002",37353000,18190889
"143","19041","Clay County, Iowa","B25110_003",116280600,30067498
"144","19041","Clay County, Iowa","B25110_004",99101000,26783216
"145","19041","Clay County, Iowa","B25110_005",238712200,38441370
"146","19041","Clay County, Iowa","B25110_006",131404000,24888223
"147","19041","Clay County, Iowa","B25110_007",190078200,42649483
"148","19043","Clayton County, Iowa","B25110_001",908418000,68264657
"149","19043","Clayton County, Iowa","B25110_002",38689000,19583740
"150","19043","Clayton County, Iowa","B25110_003",138446100,29242611
"151","19043","Clayton County, Iowa","B25110_004",116903500,18504808
"152","19043","Clayton County, Iowa","B25110_005",234536600,36813318
"153","19043","Clayton County, Iowa","B25110_006",153832800,48942159
"154","19043","Clayton County, Iowa","B25110_007",226010000,35466826
"155","19045","Clinton County, Iowa","B25110_001",2372821900,210421474
"156","19045","Clinton County, Iowa","B25110_002",68831000,19874061
"157","19045","Clinton County, Iowa","B25110_003",468024700,76989467
"158","19045","Clinton County, Iowa","B25110_004",342860600,52893115
"159","19045","Clinton County, Iowa","B25110_005",694450500,201803240
"160","19045","Clinton County, Iowa","B25110_006",391009000,90274188
"161","19045","Clinton County, Iowa","B25110_007",407646000,42789163
"162","19047","Crawford County, Iowa","B25110_001",578902000,64559670
"163","19047","Crawford County, Iowa","B25110_002",30408500,13303723
"164","19047","Crawford County, Iowa","B25110_003",84156000,24861746
"165","19047","Crawford County, Iowa","B25110_004",113030600,52514297
"166","19047","Crawford County, Iowa","B25110_005",143571000,26624983
"167","19047","Crawford County, Iowa","B25110_006",79543000,18436282
"168","19047","Crawford County, Iowa","B25110_007",128192900,20717334
"169","19049","Dallas County, Iowa","B25110_001",8160699000,274020591
"170","19049","Dallas County, Iowa","B25110_002",732278700,136817879
"171","19049","Dallas County, Iowa","B25110_003",2456345700,223604526
"172","19049","Dallas County, Iowa","B25110_004",1829788900,171362490
"173","19049","Dallas County, Iowa","B25110_005",2098506200,208773585
"174","19049","Dallas County, Iowa","B25110_006",641020300,180427159
"175","19049","Dallas County, Iowa","B25110_007",402759100,105522766
"176","19051","Davis County, Iowa","B25110_001",423161200,38998761
"177","19051","Davis County, Iowa","B25110_002",25217000,12250162
"178","19051","Davis County, Iowa","B25110_003",79357100,22926116
"179","19051","Davis County, Iowa","B25110_004",71252500,21190321
"180","19051","Davis County, Iowa","B25110_005",96077500,27137867
"181","19051","Davis County, Iowa","B25110_006",77245600,24799808
"182","19051","Davis County, Iowa","B25110_007",74011500,21684476
"183","19053","Decatur County, Iowa","B25110_001",267086600,30796864
"184","19053","Decatur County, Iowa","B25110_002",21611300,9897390
"185","19053","Decatur County, Iowa","B25110_003",38245800,10313522
"186","19053","Decatur County, Iowa","B25110_004",61329000,20701870
"187","19053","Decatur County, Iowa","B25110_005",65360600,15009153
"188","19053","Decatur County, Iowa","B25110_006",29009000,9516949
"189","19053","Decatur County, Iowa","B25110_007",51530900,16659454
"190","19055","Delaware County, Iowa","B25110_001",997154500,62082371
"191","19055","Delaware County, Iowa","B25110_002",36848500,15921644
"192","19055","Delaware County, Iowa","B25110_003",108512500,25581467
"193","19055","Delaware County, Iowa","B25110_004",196896000,46890984
"194","19055","Delaware County, Iowa","B25110_005",271343900,59386827
"195","19055","Delaware County, Iowa","B25110_006",204907900,33656099
"196","19055","Delaware County, Iowa","B25110_007",178645800,31202430
"197","19057","Des Moines County, Iowa","B25110_001",1781098800,89702034
"198","19057","Des Moines County, Iowa","B25110_002",114134200,32924571
"199","19057","Des Moines County, Iowa","B25110_003",360052000,53666972
"200","19057","Des Moines County, Iowa","B25110_004",254756900,54521973
"201","19057","Des Moines County, Iowa","B25110_005",438336700,54879266
"202","19057","Des Moines County, Iowa","B25110_006",296054300,50557506
"203","19057","Des Moines County, Iowa","B25110_007",317764700,48058285
"204","19059","Dickinson County, Iowa","B25110_001",1878061500,158704053
"205","19059","Dickinson County, Iowa","B25110_002",202092000,108924107
"206","19059","Dickinson County, Iowa","B25110_003",389001800,75086353
"207","19059","Dickinson County, Iowa","B25110_004",380779000,75946093
"208","19059","Dickinson County, Iowa","B25110_005",356257900,63186681
"209","19059","Dickinson County, Iowa","B25110_006",297386900,57716511
"210","19059","Dickinson County, Iowa","B25110_007",252543900,46541451
"211","19061","Dubuque County, Iowa","B25110_001",6541762000,469648787
"212","19061","Dubuque County, Iowa","B25110_002",503791800,330374235
"213","19061","Dubuque County, Iowa","B25110_003",1090602000,104044681
"214","19061","Dubuque County, Iowa","B25110_004",1363910600,122584621
"215","19061","Dubuque County, Iowa","B25110_005",1876127000,165559393
"216","19061","Dubuque County, Iowa","B25110_006",704353600,73014867
"217","19061","Dubuque County, Iowa","B25110_007",1002977100,222503382
"218","19063","Emmet County, Iowa","B25110_001",372844800,45080922
"219","19063","Emmet County, Iowa","B25110_002",29295000,38821809
"220","19063","Emmet County, Iowa","B25110_003",69661000,19092642
"221","19063","Emmet County, Iowa","B25110_004",58156200,13461315
"222","19063","Emmet County, Iowa","B25110_005",69816800,13112787
"223","19063","Emmet County, Iowa","B25110_006",64430700,15280725
"224","19063","Emmet County, Iowa","B25110_007",81485100,12509635
"225","19065","Fayette County, Iowa","B25110_001",898105500,76155452
"226","19065","Fayette County, Iowa","B25110_002",36300100,12636965
"227","19065","Fayette County, Iowa","B25110_003",138219000,58596794
"228","19065","Fayette County, Iowa","B25110_004",152128900,22934036
"229","19065","Fayette County, Iowa","B25110_005",197327000,31666271
"230","19065","Fayette County, Iowa","B25110_006",158479900,22370218
"231","19065","Fayette County, Iowa","B25110_007",215650500,34933253
"232","19067","Floyd County, Iowa","B25110_001",689483800,49456419
"233","19067","Floyd County, Iowa","B25110_002",26831000,12233127
"234","19067","Floyd County, Iowa","B25110_003",102758500,26957291
"235","19067","Floyd County, Iowa","B25110_004",93407300,26031214
"236","19067","Floyd County, Iowa","B25110_005",213665100,38819279
"237","19067","Floyd County, Iowa","B25110_006",105187700,24461428
"238","19067","Floyd County, Iowa","B25110_007",147634200,32982036
"239","19069","Franklin County, Iowa","B25110_001",334720000,26481472
"240","19069","Franklin County, Iowa","B25110_002",10601200,7251934
"241","19069","Franklin County, Iowa","B25110_003",55414800,14136311
"242","19069","Franklin County, Iowa","B25110_004",34241000,9472422
"243","19069","Franklin County, Iowa","B25110_005",84979800,18325505
"244","19069","Franklin County, Iowa","B25110_006",59108000,11717405
"245","19069","Franklin County, Iowa","B25110_007",90375200,17808722
"246","19071","Fremont County, Iowa","B25110_001",338969200,38240561
"247","19071","Fremont County, Iowa","B25110_002",25804000,9863089
"248","19071","Fremont County, Iowa","B25110_003",32630800,9036449
"249","19071","Fremont County, Iowa","B25110_004",52014500,13307263
"250","19071","Fremont County, Iowa","B25110_005",92831200,23416728
"251","19071","Fremont County, Iowa","B25110_006",73910700,29312048
"252","19071","Fremont County, Iowa","B25110_007",61778000,15486064
"253","19073","Greene County, Iowa","B25110_001",378608500,34558624
"254","19073","Greene County, Iowa","B25110_002",14807000,7298548
"255","19073","Greene County, Iowa","B25110_003",58328900,15276958
"256","19073","Greene County, Iowa","B25110_004",53940600,19070916
"257","19073","Greene County, Iowa","B25110_005",100719000,22945300
"258","19073","Greene County, Iowa","B25110_006",61863500,22240923
"259","19073","Greene County, Iowa","B25110_007",88949500,22547612
"260","19075","Grundy County, Iowa","B25110_001",714406300,44605107
