"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","B25111_001",646,51
"2","19001","Adair County, Iowa","B25111_002",NA,NA
"3","19001","Adair County, Iowa","B25111_003",950,144
"4","19001","Adair County, Iowa","B25111_004",704,192
"5","19001","Adair County, Iowa","B25111_005",711,140
"6","19001","Adair County, Iowa","B25111_006",606,62
"7","19001","Adair County, Iowa","B25111_007",521,308
"8","19001","Adair County, Iowa","B25111_008",706,376
"9","19001","Adair County, Iowa","B25111_009",798,79
"10","19001","Adair County, Iowa","B25111_010",700,216
"11","19001","Adair County, Iowa","B25111_011",670,258
"12","19003","Adams County, Iowa","B25111_001",704,69
"13","19003","Adams County, Iowa","B25111_002",NA,NA
"14","19003","Adams County, Iowa","B25111_003",NA,NA
"15","19003","Adams County, Iowa","B25111_004",NA,NA
"16","19003","Adams County, Iowa","B25111_005",NA,NA
"17","19003","Adams County, Iowa","B25111_006",NA,NA
"18","19003","Adams County, Iowa","B25111_007",417,315
"19","19003","Adams County, Iowa","B25111_008",414,147
"20","19003","Adams County, Iowa","B25111_009",819,119
"21","19003","Adams County, Iowa","B25111_010",425,16
"22","19003","Adams County, Iowa","B25111_011",752,76
"23","19005","Allamakee County, Iowa","B25111_001",670,41
"24","19005","Allamakee County, Iowa","B25111_002",NA,NA
"25","19005","Allamakee County, Iowa","B25111_003",NA,NA
"26","19005","Allamakee County, Iowa","B25111_004",593,180
"27","19005","Allamakee County, Iowa","B25111_005",547,221
"28","19005","Allamakee County, Iowa","B25111_006",845,120
"29","19005","Allamakee County, Iowa","B25111_007",517,144
"30","19005","Allamakee County, Iowa","B25111_008",587,399
"31","19005","Allamakee County, Iowa","B25111_009",603,133
"32","19005","Allamakee County, Iowa","B25111_010",811,452
"33","19005","Allamakee County, Iowa","B25111_011",744,109
"34","19007","Appanoose County, Iowa","B25111_001",703,45
"35","19007","Appanoose County, Iowa","B25111_002",NA,NA
"36","19007","Appanoose County, Iowa","B25111_003",685,386
"37","19007","Appanoose County, Iowa","B25111_004",3501,NA
"38","19007","Appanoose County, Iowa","B25111_005",890,343
"39","19007","Appanoose County, Iowa","B25111_006",NA,NA
"40","19007","Appanoose County, Iowa","B25111_007",532,226
"41","19007","Appanoose County, Iowa","B25111_008",604,131
"42","19007","Appanoose County, Iowa","B25111_009",836,161
"43","19007","Appanoose County, Iowa","B25111_010",777,110
"44","19007","Appanoose County, Iowa","B25111_011",719,46
"45","19009","Audubon County, Iowa","B25111_001",659,90
"46","19009","Audubon County, Iowa","B25111_002",NA,NA
"47","19009","Audubon County, Iowa","B25111_003",NA,NA
"48","19009","Audubon County, Iowa","B25111_004",NA,NA
