"","GEOID","NAME","variable","estimate","moe"
"1","01001","Autauga County, Alabama","B19051_001",21856,424
"2","01001","Autauga County, Alabama","B19051_002",15851,567
"3","01001","Autauga County, Alabama","B19051_003",6005,428
"4","01003","Baldwin County, Alabama","B19051_001",87190,1307
"5","01003","Baldwin County, Alabama","B19051_002",61928,1801
"6","01003","Baldwin County, Alabama","B19051_003",25262,1201
"7","01005","Barbour County, Alabama","B19051_001",9088,301
"8","01005","Barbour County, Alabama","B19051_002",5834,320
"9","01005","Barbour County, Alabama","B19051_003",3254,286
"10","01007","Bibb County, Alabama","B19051_001",7083,289
"11","01007","Bibb County, Alabama","B19051_002",4636,378
"12","01007","Bibb County, Alabama","B19051_003",2447,292
"13","01009","Blount County, Alabama","B19051_001",21300,411
"14","01009","Blount County, Alabama","B19051_002",14787,578
"15","01009","Blount County, Alabama","B19051_003",6513,492
"16","01011","Bullock County, Alabama","B19051_001",3419,222
"17","01011","Bullock County, Alabama","B19051_002",1983,284
"18","01011","Bullock County, Alabama","B19051_003",1436,300
"19","01013","Butler County, Alabama","B19051_001",6531,290
"20","01013","Butler County, Alabama","B19051_002",4438,285
"21","01013","Butler County, Alabama","B19051_003",2093,189
"22","01015","Calhoun County, Alabama","B19051_001",44295,619
"23","01015","Calhoun County, Alabama","B19051_002",31025,810
"24","01015","Calhoun County, Alabama","B19051_003",13270,668
"25","01017","Chambers County, Alabama","B19051_001",13123,445
"26","01017","Chambers County, Alabama","B19051_002",9281,425
"27","01017","Chambers County, Alabama","B19051_003",3842,321
"28","01019","Cherokee County, Alabama","B19051_001",9692,442
"29","01019","Cherokee County, Alabama","B19051_002",5950,398
"30","01019","Cherokee County, Alabama","B19051_003",3742,324
"31","01021","Chilton County, Alabama","B19051_001",16562,453
"32","01021","Chilton County, Alabama","B19051_002",11319,603
"33","01021","Chilton County, Alabama","B19051_003",5243,442
"34","01023","Choctaw County, Alabama","B19051_001",5211,218
"35","01023","Choctaw County, Alabama","B19051_002",2867,234
"36","01023","Choctaw County, Alabama","B19051_003",2344,210
"37","01025","Clarke County, Alabama","B19051_001",8250,333
"38","01025","Clarke County, Alabama","B19051_002",5127,366
"39","01025","Clarke County, Alabama","B19051_003",3123,339
"40","01027","Clay County, Alabama","B19051_001",5399,251
"41","01027","Clay County, Alabama","B19051_002",3471,236
"42","01027","Clay County, Alabama","B19051_003",1928,233
"43","01029","Cleburne County, Alabama","B19051_001",5598,193
"44","01029","Cleburne County, Alabama","B19051_002",3466,282
"45","01029","Cleburne County, Alabama","B19051_003",2132,245
"46","01031","Coffee County, Alabama","B19051_001",20478,414
"47","01031","Coffee County, Alabama","B19051_002",14975,471
"48","01031","Coffee County, Alabama","B19051_003",5503,375
"49","01033","Colbert County, Alabama","B19051_001",22640,528
"50","01033","Colbert County, Alabama","B19051_002",15230,698
"51","01033","Colbert County, Alabama","B19051_003",7410,504
"52","01035","Conecuh County, Alabama","B19051_001",4187,265
"53","01035","Conecuh County, Alabama","B19051_002",2158,275
"54","01035","Conecuh County, Alabama","B19051_003",2029,226
"55","01037","Coosa County, Alabama","B19051_001",3824,206
"56","01037","Coosa County, Alabama","B19051_002",2656,222
"57","01037","Coosa County, Alabama","B19051_003",1168,146
"58","01039","Covington County, Alabama","B19051_001",14296,347
"59","01039","Covington County, Alabama","B19051_002",9074,416
"60","01039","Covington County, Alabama","B19051_003",5222,313
"61","01041","Crenshaw County, Alabama","B19051_001",4653,162
"62","01041","Crenshaw County, Alabama","B19051_002",2937,185
"63","01041","Crenshaw County, Alabama","B19051_003",1716,169
"64","01043","Cullman County, Alabama","B19051_001",32939,529
"65","01043","Cullman County, Alabama","B19051_002",23723,692
"66","01043","Cullman County, Alabama","B19051_003",9216,554
"67","01045","Dale County, Alabama","B19051_001",19470,374
"68","01045","Dale County, Alabama","B19051_002",13633,454
"69","01045","Dale County, Alabama","B19051_003",5837,430
"70","01047","Dallas County, Alabama","B19051_001",14385,422
"71","01047","Dallas County, Alabama","B19051_002",9137,429
"72","01047","Dallas County, Alabama","B19051_003",5248,483
"73","01049","DeKalb County, Alabama","B19051_001",25601,548
"74","01049","DeKalb County, Alabama","B19051_002",17772,622
"75","01049","DeKalb County, Alabama","B19051_003",7829,520
"76","01051","Elmore County, Alabama","B19051_001",31630,647
"77","01051","Elmore County, Alabama","B19051_002",23964,726
"78","01051","Elmore County, Alabama","B19051_003",7666,512
"79","01053","Escambia County, Alabama","B19051_001",12878,566
"80","01053","Escambia County, Alabama","B19051_002",8035,571
"81","01053","Escambia County, Alabama","B19051_003",4843,414
