"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","B19051_001",3180,114
"2","19001","Adair County, Iowa","B19051_002",2357,116
"3","19001","Adair County, Iowa","B19051_003",823,97
"4","19003","Adams County, Iowa","B19051_001",1529,94
"5","19003","Adams County, Iowa","B19051_002",1122,95
"6","19003","Adams County, Iowa","B19051_003",407,56
"7","19005","Allamakee County, Iowa","B19051_001",5814,178
"8","19005","Allamakee County, Iowa","B19051_002",4484,213
"9","19005","Allamakee County, Iowa","B19051_003",1330,144
"10","19007","Appanoose County, Iowa","B19051_001",4920,207
"11","19007","Appanoose County, Iowa","B19051_002",3205,234
"12","19007","Appanoose County, Iowa","B19051_003",1715,173
"13","19009","Audubon County, Iowa","B19051_001",2498,80
"14","19009","Audubon County, Iowa","B19051_002",1913,96
"15","19009","Audubon County, Iowa","B19051_003",585,83
"16","19011","Benton County, Iowa","B19051_001",10075,224
"17","19011","Benton County, Iowa","B19051_002",7739,235
"18","19011","Benton County, Iowa","B19051_003",2336,182
"19","19013","Black Hawk County, Iowa","B19051_001",53465,505
"20","19013","Black Hawk County, Iowa","B19051_002",40945,668
"21","19013","Black Hawk County, Iowa","B19051_003",12520,589
"22","19015","Boone County, Iowa","B19051_001",10720,232
"23","19015","Boone County, Iowa","B19051_002",8124,277
"24","19015","Boone County, Iowa","B19051_003",2596,222
"25","19017","Bremer County, Iowa","B19051_001",9638,191
"26","19017","Bremer County, Iowa","B19051_002",7515,227
"27","19017","Bremer County, Iowa","B19051_003",2123,156
"28","19019","Buchanan County, Iowa","B19051_001",7787,210
"29","19019","Buchanan County, Iowa","B19051_002",6054,215
"30","19019","Buchanan County, Iowa","B19051_003",1733,157
"31","19021","Buena Vista County, Iowa","B19051_001",7506,174
"32","19021","Buena Vista County, Iowa","B19051_002",6186,221
"33","19021","Buena Vista County, Iowa","B19051_003",1320,142
"34","19023","Butler County, Iowa","B19051_001",5860,140
"35","19023","Butler County, Iowa","B19051_002",4356,131
"36","19023","Butler County, Iowa","B19051_003",1504,125
"37","19025","Calhoun County, Iowa","B19051_001",3932,134
"38","19025","Calhoun County, Iowa","B19051_002",2775,127
"39","19025","Calhoun County, Iowa","B19051_003",1157,86
"40","19027","Carroll County, Iowa","B19051_001",8761,225
"41","19027","Carroll County, Iowa","B19051_002",6655,277
"42","19027","Carroll County, Iowa","B19051_003",2106,193
"43","19029","Cass County, Iowa","B19051_001",5777,176
"44","19029","Cass County, Iowa","B19051_002",4210,206
