"","GEOID","NAME","variable","estimate","moe"
"1","01001","Autauga County, Alabama","B19113_001",72441,5190
"2","01003","Baldwin County, Alabama","B19113_001",82801,3436
"3","01005","Barbour County, Alabama","B19113_001",48768,4527
"4","01007","Bibb County, Alabama","B19113_001",67979,5341
"5","01009","Blount County, Alabama","B19113_001",68945,3348
"6","01011","Bullock County, Alabama","B19113_001",46563,13995
"7","01013","Butler County, Alabama","B19113_001",62762,5925
"8","01015","Calhoun County, Alabama","B19113_001",63358,2328
"9","01017","Chambers County, Alabama","B19113_001",54851,5910
"10","01019","Cherokee County, Alabama","B19113_001",60494,4708
"11","01021","Chilton County, Alabama","B19113_001",63189,5831
"12","01023","Choctaw County, Alabama","B19113_001",59762,10631
"13","01025","Clarke County, Alabama","B19113_001",59648,8405
"14","01027","Clay County, Alabama","B19113_001",56180,4000
"15","01029","Cleburne County, Alabama","B19113_001",63295,8696
"16","01031","Coffee County, Alabama","B19113_001",70885,3457
"17","01033","Colbert County, Alabama","B19113_001",64296,2866
"18","01035","Conecuh County, Alabama","B19113_001",52230,5795
"19","01037","Coosa County, Alabama","B19113_001",58052,5924
"20","01039","Covington County, Alabama","B19113_001",62652,5144
"21","01041","Crenshaw County, Alabama","B19113_001",63636,5906
"22","01043","Cullman County, Alabama","B19113_001",66258,1857
"23","01045","Dale County, Alabama","B19113_001",62594,3077
"24","01047","Dallas County, Alabama","B19113_001",53127,3421
"25","01049","DeKalb County, Alabama","B19113_001",54358,2389
"26","01051","Elmore County, Alabama","B19113_001",78881,4583
"27","01053","Escambia County, Alabama","B19113_001",50258,5189
"28","01055","Etowah County, Alabama","B19113_001",63456,2899
"29","01057","Fayette County, Alabama","B19113_001",59148,5824
"30","01059","Franklin County, Alabama","B19113_001",54578,4520
"31","01061","Geneva County, Alabama","B19113_001",52450,4967
"32","01063","Greene County, Alabama","B19113_001",48281,18210
"33","01065","Hale County, Alabama","B19113_001",58114,7328
"34","01067","Henry County, Alabama","B19113_001",68781,7455
"35","01069","Houston County, Alabama","B19113_001",65905,1830
"36","01071","Jackson County, Alabama","B19113_001",55696,3839
"37","01073","Jefferson County, Alabama","B19113_001",76043,1498
"38","01075","Lamar County, Alabama","B19113_001",58434,3877
"39","01077","Lauderdale County, Alabama","B19113_001",68998,3800
"40","01079","Lawrence County, Alabama","B19113_001",65864,5671
"41","01081","Lee County, Alabama","B19113_001",80635,4832
"42","01083","Limestone County, Alabama","B19113_001",85127,3380
"43","01085","Lowndes County, Alabama","B19113_001",47132,6931
"44","01087","Macon County, Alabama","B19113_001",52421,3602
"45","01089","Madison County, Alabama","B19113_001",92039,2640
"46","01091","Marengo County, Alabama","B19113_001",61146,3886
"47","01093","Marion County, Alabama","B19113_001",57637,4527
"48","01095","Marshall County, Alabama","B19113_001",64724,2289
"49","01097","Mobile County, Alabama","B19113_001",64739,1302
"50","01099","Monroe County, Alabama","B19113_001",55982,4202
"51","01101","Montgomery County, Alabama","B19113_001",65958,2597
"52","01103","Morgan County, Alabama","B19113_001",70829,3748
"53","01105","Perry County, Alabama","B19113_001",38508,12421
"54","01107","Pickens County, Alabama","B19113_001",54544,4890
"55","01109","Pike County, Alabama","B19113_001",64172,3693
"56","01111","Randolph County, Alabama","B19113_001",56972,4633
"57","01113","Russell County, Alabama","B19113_001",56172,1799
"58","01115","St. Clair County, Alabama","B19113_001",76701,2417
"59","01117","Shelby County, Alabama","B19113_001",103507,2575
"60","01119","Sumter County, Alabama","B19113_001",43402,5718
"61","01121","Talladega County, Alabama","B19113_001",60218,4626
"62","01123","Tallapoosa County, Alabama","B19113_001",59854,4853
"63","01125","Tuscaloosa County, Alabama","B19113_001",75548,3430
"64","01127","Walker County, Alabama","B19113_001",62398,3781
"65","01129","Washington County, Alabama","B19113_001",61742,14599
"66","01131","Wilcox County, Alabama","B19113_001",46916,5953
"67","01133","Winston County, Alabama","B19113_001",57550,4405
"68","02013","Aleutians East Borough, Alaska","B19113_001",80313,16611
"69","02016","Aleutians West Census Area, Alaska","B19113_001",102083,12689
"70","02020","Anchorage Municipality, Alaska","B19113_001",106497,2266
"71","02050","Bethel Census Area, Alaska","B19113_001",57294,5008
"72","02060","Bristol Bay Borough, Alaska","B19113_001",91563,13202
"73","02063","Chugach Census Area, Alaska","B19113_001",99627,10187
"74","02066","Copper River Census Area, Alaska","B19113_001",90739,17824
"75","02068","Denali Borough, Alaska","B19113_001",119605,8192
"76","02070","Dillingham Census Area, Alaska","B19113_001",67250,8708
"77","02090","Fairbanks North Star Borough, Alaska","B19113_001",93030,5419
"78","02100","Haines Borough, Alaska","B19113_001",88125,29887
"79","02105","Hoonah-Angoon Census Area, Alaska","B19113_001",69583,11483
"80","02110","Juneau City and Borough, Alaska","B19113_001",108904,7267
"81","02122","Kenai Peninsula Borough, Alaska","B19113_001",94066,3046
"82","02130","Ketchikan Gateway Borough, Alaska","B19113_001",97802,6717
"83","02150","Kodiak Island Borough, Alaska","B19113_001",97521,7451
"84","02158","Kusilvak Census Area, Alaska","B19113_001",38005,4648
"85","02164","Lake and Peninsula Borough, Alaska","B19113_001",56250,5667
"86","02170","Matanuska-Susitna Borough, Alaska","B19113_001",93428,2666
"87","02180","Nome Census Area, Alaska","B19113_001",62987,2567
"88","02185","North Slope Borough, Alaska","B19113_001",93165,7069
