"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","B19113_001",79621,8622
"2","19003","Adams County, Iowa","B19113_001",73446,4547
"3","19005","Allamakee County, Iowa","B19113_001",73782,3287
"4","19007","Appanoose County, Iowa","B19113_001",56479,7185
"5","19009","Audubon County, Iowa","B19113_001",68269,5190
"6","19011","Benton County, Iowa","B19113_001",87317,4284
"7","19013","Black Hawk County, Iowa","B19113_001",77231,2200
"8","19015","Boone County, Iowa","B19113_001",91222,2435
"9","19017","Bremer County, Iowa","B19113_001",87896,5589
"10","19019","Buchanan County, Iowa","B19113_001",82009,3392
"11","19021","Buena Vista County, Iowa","B19113_001",80250,6425
"12","19023","Butler County, Iowa","B19113_001",74754,5957
"13","19025","Calhoun County, Iowa","B19113_001",77056,3599
"14","19027","Carroll County, Iowa","B19113_001",80214,6073
"15","19029","Cass County, Iowa","B19113_001",76008,5360
"16","19031","Cedar County, Iowa","B19113_001",89375,3709
"17","19033","Cerro Gordo County, Iowa","B19113_001",76875,6403
"18","19035","Cherokee County, Iowa","B19113_001",83801,7038
"19","19037","Chickasaw County, Iowa","B19113_001",80491,6043
"20","19039","Clarke County, Iowa","B19113_001",64902,5578
"21","19041","Clay County, Iowa","B19113_001",70989,7284
"22","19043","Clayton County, Iowa","B19113_001",74931,3599
"23","19045","Clinton County, Iowa","B19113_001",76477,3687
"24","19047","Crawford County, Iowa","B19113_001",64340,7665
"25","19049","Dallas County, Iowa","B19113_001",119760,3589
"26","19051","Davis County, Iowa","B19113_001",86398,2432
"27","19053","Decatur County, Iowa","B19113_001",62075,5732
"28","19055","Delaware County, Iowa","B19113_001",84088,3516
"29","19057","Des Moines County, Iowa","B19113_001",73239,3776
"30","19059","Dickinson County, Iowa","B19113_001",81152,7213
"31","19061","Dubuque County, Iowa","B19113_001",85862,1963
"32","19063","Emmet County, Iowa","B19113_001",72750,6797
"33","19065","Fayette County, Iowa","B19113_001",65975,4626
"34","19067","Floyd County, Iowa","B19113_001",81099,4131
"35","19069","Franklin County, Iowa","B19113_001",66929,3500
"36","19071","Fremont County, Iowa","B19113_001",78523,4920
"37","19073","Greene County, Iowa","B19113_001",72937,6037
"38","19075","Grundy County, Iowa","B19113_001",87236,4831
"39","19077","Guthrie County, Iowa","B19113_001",83417,2891
"40","19079","Hamilton County, Iowa","B19113_001",75806,6994
"41","19081","Hancock County, Iowa","B19113_001",77622,8272
"42","19083","Hardin County, Iowa","B19113_001",75729,3035
"43","19085","Harrison County, Iowa","B19113_001",81698,6622
"44","19087","Henry County, Iowa","B19113_001",76621,4534
"45","19089","Howard County, Iowa","B19113_001",71551,4665
"46","19091","Humboldt County, Iowa","B19113_001",76516,5795
"47","19093","Ida County, Iowa","B19113_001",72917,7039
"48","19095","Iowa County, Iowa","B19113_001",83199,5793
"49","19097","Jackson County, Iowa","B19113_001",81225,4955
"50","19099","Jasper County, Iowa","B19113_001",74298,3471
"51","19101","Jefferson County, Iowa","B19113_001",62021,11134
"52","19103","Johnson County, Iowa","B19113_001",105652,3098
"53","19105","Jones County, Iowa","B19113_001",79221,4366
"54","19107","Keokuk County, Iowa","B19113_001",72795,6073
"55","19109","Kossuth County, Iowa","B19113_001",74270,4232
"56","19111","Lee County, Iowa","B19113_001",68578,1881
"57","19113","Linn County, Iowa","B19113_001",89876,2019
"58","19115","Louisa County, Iowa","B19113_001",78383,4192
"59","19117","Lucas County, Iowa","B19113_001",71427,3110
"60","19119","Lyon County, Iowa","B19113_001",80335,4589
"61","19121","Madison County, Iowa","B19113_001",94601,5511
"62","19123","Mahaska County, Iowa","B19113_001",77069,4274
"63","19125","Marion County, Iowa","B19113_001",82662,3921
"64","19127","Marshall County, Iowa","B19113_001",76022,5556
"65","19129","Mills County, Iowa","B19113_001",94429,5966
"66","19131","Mitchell County, Iowa","B19113_001",76981,5954
"67","19133","Monona County, Iowa","B19113_001",71688,4948
"68","19135","Monroe County, Iowa","B19113_001",82406,5427
"69","19137","Montgomery County, Iowa","B19113_001",69237,6918
"70","19139","Muscatine County, Iowa","B19113_001",74433,5702
"71","19141","O'Brien County, Iowa","B19113_001",84637,3455
"72","19143","Osceola County, Iowa","B19113_001",74194,4551
"73","19145","Page County, Iowa","B19113_001",65709,3950
"74","19147","Palo Alto County, Iowa","B19113_001",81250,6585
"75","19149","Plymouth County, Iowa","B19113_001",88505,4645
"76","19151","Pocahontas County, Iowa","B19113_001",73214,5361
"77","19153","Polk County, Iowa","B19113_001",90550,2157
"78","19155","Pottawattamie County, Iowa","B19113_001",78840,2757
"79","19157","Poweshiek County, Iowa","B19113_001",83257,4054
"80","19159","Ringgold County, Iowa","B19113_001",76250,4560
"81","19161","Sac County, Iowa","B19113_001",75953,5019
"82","19163","Scott County, Iowa","B19113_001",87190,2918
"83","19165","Shelby County, Iowa","B19113_001",87147,7026
"84","19167","Sioux County, Iowa","B19113_001",89314,3296
"85","19169","Story County, Iowa","B19113_001",101971,3779
"86","19171","Tama County, Iowa","B19113_001",72589,3748
"87","19173","Taylor County, Iowa","B19113_001",70357,2753
"88","19175","Union County, Iowa","B19113_001",76534,7234
"89","19177","Van Buren County, Iowa","B19113_001",64940,4842
"90","19179","Wapello County, Iowa","B19113_001",61098,5088
"91","19181","Warren County, Iowa","B19113_001",99688,3040
"92","19183","Washington County, Iowa","B19113_001",80038,5468
"93","19185","Wayne County, Iowa","B19113_001",68030,5661
"94","19187","Webster County, Iowa","B19113_001",74152,3078
"95","19189","Winnebago County, Iowa","B19113_001",78250,9158
"96","19191","Winneshiek County, Iowa","B19113_001",81250,6927
"97","19193","Woodbury County, Iowa","B19113_001",76827,4837
"98","19195","Worth County, Iowa","B19113_001",82108,4433
"99","19197","Wright County, Iowa","B19113_001",69362,4280
