"","GEOID","NAME","variable","estimate","moe"
"1","01001","Autauga County, Alabama","B19013_001",62660,4834
"2","01003","Baldwin County, Alabama","B19013_001",64346,2377
"3","01005","Barbour County, Alabama","B19013_001",36422,3282
"4","01007","Bibb County, Alabama","B19013_001",54277,7325
"5","01009","Blount County, Alabama","B19013_001",52830,3197
"6","01011","Bullock County, Alabama","B19013_001",29063,7174
"7","01013","Butler County, Alabama","B19013_001",45236,3880
"8","01015","Calhoun County, Alabama","B19013_001",50977,1889
"9","01017","Chambers County, Alabama","B19013_001",47232,5252
"10","01019","Cherokee County, Alabama","B19013_001",43475,3643
"11","01021","Chilton County, Alabama","B19013_001",56243,3474
"12","01023","Choctaw County, Alabama","B19013_001",38581,3918
"13","01025","Clarke County, Alabama","B19013_001",44108,4738
"14","01027","Clay County, Alabama","B19013_001",45163,4394
"15","01029","Cleburne County, Alabama","B19013_001",48333,4083
"16","01031","Coffee County, Alabama","B19013_001",59034,3382
"17","01033","Colbert County, Alabama","B19013_001",52017,2817
"18","01035","Conecuh County, Alabama","B19013_001",37986,4649
"19","01037","Coosa County, Alabama","B19013_001",50013,5841
"20","01039","Covington County, Alabama","B19013_001",46186,3584
"21","01041","Crenshaw County, Alabama","B19013_001",43103,2584
"22","01043","Cullman County, Alabama","B19013_001",52690,2074
"23","01045","Dale County, Alabama","B19013_001",50052,2907
"24","01047","Dallas County, Alabama","B19013_001",34957,2379
"25","01049","DeKalb County, Alabama","B19013_001",44037,2276
"26","01051","Elmore County, Alabama","B19013_001",67597,3373
"27","01053","Escambia County, Alabama","B19013_001",38464,2175
"28","01055","Etowah County, Alabama","B19013_001",46984,1870
"29","01057","Fayette County, Alabama","B19013_001",43960,5706
"30","01059","Franklin County, Alabama","B19013_001",43633,3161
"31","01061","Geneva County, Alabama","B19013_001",43581,2843
"32","01063","Greene County, Alabama","B19013_001",28826,6091
"33","01065","Hale County, Alabama","B19013_001",32294,8930
"34","01067","Henry County, Alabama","B19013_001",55870,4033
"35","01069","Houston County, Alabama","B19013_001",50222,1195
"36","01071","Jackson County, Alabama","B19013_001",43785,1904
"37","01073","Jefferson County, Alabama","B19013_001",58330,1211
"38","01075","Lamar County, Alabama","B19013_001",43324,5795
"39","01077","Lauderdale County, Alabama","B19013_001",50000,2876
"40","01079","Lawrence County, Alabama","B19013_001",51712,4020
"41","01081","Lee County, Alabama","B19013_001",57191,3176
"42","01083","Limestone County, Alabama","B19013_001",70736,3369
"43","01085","Lowndes County, Alabama","B19013_001",31961,3878
"44","01087","Macon County, Alabama","B19013_001",39303,3004
"45","01089","Madison County, Alabama","B19013_001",71153,2063
"46","01091","Marengo County, Alabama","B19013_001",35379,4747
"47","01093","Marion County, Alabama","B19013_001",44551,3330
"48","01095","Marshall County, Alabama","B19013_001",52938,1990
"49","01097","Mobile County, Alabama","B19013_001",51169,1068
"50","01099","Monroe County, Alabama","B19013_001",32631,6324
"51","01101","Montgomery County, Alabama","B19013_001",52511,1657
"52","01103","Morgan County, Alabama","B19013_001",56128,2252
"53","01105","Perry County, Alabama","B19013_001",27057,4282
"54","01107","Pickens County, Alabama","B19013_001",43389,2350
"55","01109","Pike County, Alabama","B19013_001",40106,4007
"56","01111","Randolph County, Alabama","B19013_001",47081,4388
"57","01113","Russell County, Alabama","B19013_001",44065,1973
"58","01115","St. Clair County, Alabama","B19013_001",65070,3279
"59","01117","Shelby County, Alabama","B19013_001",82592,2846
"60","01119","Sumter County, Alabama","B19013_001",27099,2878
"61","01121","Talladega County, Alabama","B19013_001",45400,2867
"62","01123","Tallapoosa County, Alabama","B19013_001",50652,3460
"63","01125","Tuscaloosa County, Alabama","B19013_001",57508,2243
"64","01127","Walker County, Alabama","B19013_001",47442,4101
"65","01129","Washington County, Alabama","B19013_001",44512,6039
"66","01131","Wilcox County, Alabama","B19013_001",36385,5440
"67","01133","Winston County, Alabama","B19013_001",46096,3419
"68","02013","Aleutians East Borough, Alaska","B19013_001",72258,5076
"69","02016","Aleutians West Census Area, Alaska","B19013_001",90708,2916
"70","02020","Anchorage Municipality, Alaska","B19013_001",88871,1996
"71","02050","Bethel Census Area, Alaska","B19013_001",57460,5482
"72","02060","Bristol Bay Borough, Alaska","B19013_001",81563,15609
"73","02063","Chugach Census Area, Alaska","B19013_001",87868,28526
"74","02066","Copper River Census Area, Alaska","B19013_001",67439,11414
"75","02068","Denali Borough, Alaska","B19013_001",78750,6681
"76","02070","Dillingham Census Area, Alaska","B19013_001",62115,5186
"77","02090","Fairbanks North Star Borough, Alaska","B19013_001",78321,3174
"78","02100","Haines Borough, Alaska","B19013_001",63355,17459
"79","02105","Hoonah-Angoon Census Area, Alaska","B19013_001",55990,8378
"80","02110","Juneau City and Borough, Alaska","B19013_001",90126,5629
"81","02122","Kenai Peninsula Borough, Alaska","B19013_001",70609,2701
"82","02130","Ketchikan Gateway Borough, Alaska","B19013_001",77820,3365
"83","02150","Kodiak Island Borough, Alaska","B19013_001",83765,11023
"84","02158","Kusilvak Census Area, Alaska","B19013_001",37975,5870
"85","02164","Lake and Peninsula Borough, Alaska","B19013_001",49688,9631
"86","02170","Matanuska-Susitna Borough, Alaska","B19013_001",79300,2041
"87","02180","Nome Census Area, Alaska","B19013_001",63977,2566
"88","02185","North Slope Borough, Alaska","B19013_001",83992,11961
"89","02188","Northwest Arctic Borough, Alaska","B19013_001",68654,8044
"90","02195","Petersburg Borough, Alaska","B19013_001",71696,12444
"91","02198","Prince of Wales-Hyder Census Area, Alaska","B19013_001",55857,3645
"92","02220","Sitka City and Borough, Alaska","B19013_001",82083,7116
"93","02230","Skagway Municipality, Alaska","B19013_001",75000,8569
"94","02240","Southeast Fairbanks Census Area, Alaska","B19013_001",68634,7549
"95","02275","Wrangell City and Borough, Alaska","B19013_001",54891,7158
"96","02282","Yakutat City and Borough, Alaska","B19013_001",72083,21868
"97","02290","Yukon-Koyukuk Census Area, Alaska","B19013_001",43405,4555
"98","04001","Apache County, Arizona","B19013_001",34788,2289
"99","04003","Cochise County, Arizona","B19013_001",55077,1773
"100","04005","Coconino County, Arizona","B19013_001",61888,1657
"101","04007","Gila County, Arizona","B19013_001",51406,3633
"102","04009","Graham County, Arizona","B19013_001",57105,3762
"103","04011","Greenlee County, Arizona","B19013_001",67723,4122
"104","04012","La Paz County, Arizona","B19013_001",39732,2828
"105","04013","Maricopa County, Arizona","B19013_001",72944,519
"106","04015","Mohave County, Arizona","B19013_001",49738,1355
"107","04017","Navajo County, Arizona","B19013_001",46126,1874
"108","04019","Pima County, Arizona","B19013_001",59215,923
"109","04021","Pinal County, Arizona","B19013_001",65488,1480
"110","04023","Santa Cruz County, Arizona","B19013_001",45089,3117
"111","04025","Yavapai County, Arizona","B19013_001",56170,1530
"112","04027","Yuma County, Arizona","B19013_001",52563,1436
"113","05001","Arkansas County, Arkansas","B19013_001",55022,5169
"114","05003","Ashley County, Arkansas","B19013_001",42683,5176
"115","05005","Baxter County, Arkansas","B19013_001",43530,2018
"116","05007","Benton County, Arkansas","B19013_001",76887,2240
"117","05009","Boone County, Arkansas","B19013_001",48625,2399
"118","05011","Bradley County, Arkansas","B19013_001",41972,4012
"119","05013","Calhoun County, Arkansas","B19013_001",55904,5799
"120","05015","Carroll County, Arkansas","B19013_001",53366,5237
"121","05017","Chicot County, Arkansas","B19013_001",33770,3679
"122","05019","Clark County, Arkansas","B19013_001",45351,4449
"123","05021","Clay County, Arkansas","B19013_001",39817,3349
"124","05023","Cleburne County, Arkansas","B19013_001",48400,1962
"125","05025","Cleveland County, Arkansas","B19013_001",48183,7376
"126","05027","Columbia County, Arkansas","B19013_001",41115,3843
"127","05029","Conway County, Arkansas","B19013_001",45812,3603
"128","05031","Craighead County, Arkansas","B19013_001",51788,2796
"129","05033","Crawford County, Arkansas","B19013_001",52057,2867
"130","05035","Crittenden County, Arkansas","B19013_001",46452,3696
"131","05037","Cross County, Arkansas","B19013_001",45247,4141
"132","05039","Dallas County, Arkansas","B19013_001",34337,6191
"133","05041","Desha County, Arkansas","B19013_001",33295,5289
"134","05043","Drew County, Arkansas","B19013_001",42891,4598
"135","05045","Faulkner County, Arkansas","B19013_001",54845,2997
"136","05047","Franklin County, Arkansas","B19013_001",42128,5828
"137","05049","Fulton County, Arkansas","B19013_001",36950,4250
"138","05051","Garland County, Arkansas","B19013_001",49985,2983
"139","05053","Grant County, Arkansas","B19013_001",62479,6021
"140","05055","Greene County, Arkansas","B19013_001",51367,2949
"141","05057","Hempstead County, Arkansas","B19013_001",43592,3513
"142","05059","Hot Spring County, Arkansas","B19013_001",46724,4035
"143","05061","Howard County, Arkansas","B19013_001",39558,6774
"144","05063","Independence County, Arkansas","B19013_001",50028,4317
"145","05065","Izard County, Arkansas","B19013_001",45318,4530
"146","05067","Jackson County, Arkansas","B19013_001",39154,2575
"147","05069","Jefferson County, Arkansas","B19013_001",43720,2167
"148","05071","Johnson County, Arkansas","B19013_001",40628,3779
"149","05073","Lafayette County, Arkansas","B19013_001",36083,5530
"150","05075","Lawrence County, Arkansas","B19013_001",40746,2887
"151","05077","Lee County, Arkansas","B19013_001",29082,6062
"152","05079","Lincoln County, Arkansas","B19013_001",49474,5817
"153","05081","Little River County, Arkansas","B19013_001",57614,12011
"154","05083","Logan County, Arkansas","B19013_001",46570,2693
"155","05085","Lonoke County, Arkansas","B19013_001",62561,2754
"156","05087","Madison County, Arkansas","B19013_001",47862,4693
"157","05089","Marion County, Arkansas","B19013_001",41038,3012
"158","05091","Miller County, Arkansas","B19013_001",46610,3693
"159","05093","Mississippi County, Arkansas","B19013_001",45740,2670
"160","05095","Monroe County, Arkansas","B19013_001",41667,7271
"161","05097","Montgomery County, Arkansas","B19013_001",41032,3772
"162","05099","Nevada County, Arkansas","B19013_001",42670,5767
"163","05101","Newton County, Arkansas","B19013_001",42817,5434
"164","05103","Ouachita County, Arkansas","B19013_001",43338,4909
"165","05105","Perry County, Arkansas","B19013_001",47500,4852
"166","05107","Phillips County, Arkansas","B19013_001",32235,5634
"167","05109","Pike County, Arkansas","B19013_001",46672,2580
"168","05111","Poinsett County, Arkansas","B19013_001",42854,3926
"169","05113","Polk County, Arkansas","B19013_001",43444,3623
"170","05115","Pope County, Arkansas","B19013_001",47322,1992
"171","05117","Prairie County, Arkansas","B19013_001",47335,8228
"172","05119","Pulaski County, Arkansas","B19013_001",55235,1517
"173","05121","Randolph County, Arkansas","B19013_001",42225,4262
"174","05123","St. Francis County, Arkansas","B19013_001",34981,3619
"175","05125","Saline County, Arkansas","B19013_001",68605,2685
"176","05127","Scott County, Arkansas","B19013_001",43577,4074
"177","05129","Searcy County, Arkansas","B19013_001",39627,3177
"178","05131","Sebastian County, Arkansas","B19013_001",50226,2430
