"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","B19013_001",57944,4047
"2","19003","Adams County, Iowa","B19013_001",57981,7853
"3","19005","Allamakee County, Iowa","B19013_001",59461,2644
"4","19007","Appanoose County, Iowa","B19013_001",46900,5645
"5","19009","Audubon County, Iowa","B19013_001",54643,5861
"6","19011","Benton County, Iowa","B19013_001",72334,3626
"7","19013","Black Hawk County, Iowa","B19013_001",57191,1927
"8","19015","Boone County, Iowa","B19013_001",70984,5803
"9","19017","Bremer County, Iowa","B19013_001",76782,3437
"10","19019","Buchanan County, Iowa","B19013_001",71024,4210
"11","19021","Buena Vista County, Iowa","B19013_001",53645,5302
"12","19023","Butler County, Iowa","B19013_001",61109,3191
"13","19025","Calhoun County, Iowa","B19013_001",60434,3510
"14","19027","Carroll County, Iowa","B19013_001",61157,2852
"15","19029","Cass County, Iowa","B19013_001",55395,5027
"16","19031","Cedar County, Iowa","B19013_001",72714,3352
"17","19033","Cerro Gordo County, Iowa","B19013_001",58271,1662
"18","19035","Cherokee County, Iowa","B19013_001",59881,6203
"19","19037","Chickasaw County, Iowa","B19013_001",67146,5960
"20","19039","Clarke County, Iowa","B19013_001",58617,3706
"21","19041","Clay County, Iowa","B19013_001",52307,5309
"22","19043","Clayton County, Iowa","B19013_001",58148,4135
"23","19045","Clinton County, Iowa","B19013_001",56345,2149
"24","19047","Crawford County, Iowa","B19013_001",55552,2950
"25","19049","Dallas County, Iowa","B19013_001",93492,3396
"26","19051","Davis County, Iowa","B19013_001",76755,7680
"27","19053","Decatur County, Iowa","B19013_001",52753,4809
"28","19055","Delaware County, Iowa","B19013_001",69319,3324
"29","19057","Des Moines County, Iowa","B19013_001",54318,2361
"30","19059","Dickinson County, Iowa","B19013_001",65215,3703
"31","19061","Dubuque County, Iowa","B19013_001",68198,2351
"32","19063","Emmet County, Iowa","B19013_001",58357,4680
"33","19065","Fayette County, Iowa","B19013_001",50973,2783
"34","19067","Floyd County, Iowa","B19013_001",55827,3994
"35","19069","Franklin County, Iowa","B19013_001",59019,3115
"36","19071","Fremont County, Iowa","B19013_001",63611,4044
"37","19073","Greene County, Iowa","B19013_001",52768,3700
"38","19075","Grundy County, Iowa","B19013_001",74552,2920
"39","19077","Guthrie County, Iowa","B19013_001",67625,5396
"40","19079","Hamilton County, Iowa","B19013_001",62183,4054
"41","19081","Hancock County, Iowa","B19013_001",64730,3577
"42","19083","Hardin County, Iowa","B19013_001",58845,4580
"43","19085","Harrison County, Iowa","B19013_001",67950,3476
"44","19087","Henry County, Iowa","B19013_001",58767,3704
"45","19089","Howard County, Iowa","B19013_001",60387,4608
"46","19091","Humboldt County, Iowa","B19013_001",60008,2820
"47","19093","Ida County, Iowa","B19013_001",57266,7256
"48","19095","Iowa County, Iowa","B19013_001",64720,5483
"49","19097","Jackson County, Iowa","B19013_001",65541,5539
"50","19099","Jasper County, Iowa","B19013_001",63182,2022
"51","19101","Jefferson County, Iowa","B19013_001",47950,4468
"52","19103","Johnson County, Iowa","B19013_001",67414,2335
"53","19105","Jones County, Iowa","B19013_001",63279,3204
"54","19107","Keokuk County, Iowa","B19013_001",54233,3141
"55","19109","Kossuth County, Iowa","B19013_001",59878,3927
"56","19111","Lee County, Iowa","B19013_001",54258,2331
"57","19113","Linn County, Iowa","B19013_001",70360,1025
"58","19115","Louisa County, Iowa","B19013_001",65867,5205
"59","19117","Lucas County, Iowa","B19013_001",55297,5865
"60","19119","Lyon County, Iowa","B19013_001",69113,3940
"61","19121","Madison County, Iowa","B19013_001",79306,5477
"62","19123","Mahaska County, Iowa","B19013_001",60617,4002
"63","19125","Marion County, Iowa","B19013_001",66822,2331
"64","19127","Marshall County, Iowa","B19013_001",63591,3508
"65","19129","Mills County, Iowa","B19013_001",77926,4187
"66","19131","Mitchell County, Iowa","B19013_001",60991,4347
"67","19133","Monona County, Iowa","B19013_001",56107,4292
"68","19135","Monroe County, Iowa","B19013_001",69929,6738
"69","19137","Montgomery County, Iowa","B19013_001",56971,3766
"70","19139","Muscatine County, Iowa","B19013_001",61547,3144
