"","GEOID","NAME","variable","estimate","moe"
"1","01001","Autauga County, Alabama","B19202_001",31338,6131
"2","01003","Baldwin County, Alabama","B19202_001",35140,2387
"3","01005","Barbour County, Alabama","B19202_001",20704,1977
"4","01007","Bibb County, Alabama","B19202_001",22535,5359
"5","01009","Blount County, Alabama","B19202_001",23818,2885
"6","01011","Bullock County, Alabama","B19202_001",16055,2993
"7","01013","Butler County, Alabama","B19202_001",25511,2925
"8","01015","Calhoun County, Alabama","B19202_001",27968,2232
"9","01017","Chambers County, Alabama","B19202_001",25646,3373
"10","01019","Cherokee County, Alabama","B19202_001",25471,3138
"11","01021","Chilton County, Alabama","B19202_001",27986,1788
"12","01023","Choctaw County, Alabama","B19202_001",21239,4300
"13","01025","Clarke County, Alabama","B19202_001",21915,4274
"14","01027","Clay County, Alabama","B19202_001",18947,8017
"15","01029","Cleburne County, Alabama","B19202_001",21331,3514
"16","01031","Coffee County, Alabama","B19202_001",37445,3792
"17","01033","Colbert County, Alabama","B19202_001",28726,3123
"18","01035","Conecuh County, Alabama","B19202_001",28821,4291
"19","01037","Coosa County, Alabama","B19202_001",30392,8837
"20","01039","Covington County, Alabama","B19202_001",23573,2955
"21","01041","Crenshaw County, Alabama","B19202_001",16398,2070
"22","01043","Cullman County, Alabama","B19202_001",26199,1519
"23","01045","Dale County, Alabama","B19202_001",28489,3525
"24","01047","Dallas County, Alabama","B19202_001",19542,1920
"25","01049","DeKalb County, Alabama","B19202_001",22421,2008
"26","01051","Elmore County, Alabama","B19202_001",38455,2863
"27","01053","Escambia County, Alabama","B19202_001",23997,3156
"28","01055","Etowah County, Alabama","B19202_001",25883,1950
"29","01057","Fayette County, Alabama","B19202_001",21416,2481
"30","01059","Franklin County, Alabama","B19202_001",26577,1791
"31","01061","Geneva County, Alabama","B19202_001",23129,4304
"32","01063","Greene County, Alabama","B19202_001",18068,4923
"33","01065","Hale County, Alabama","B19202_001",19205,5591
"34","01067","Henry County, Alabama","B19202_001",26549,6404
"35","01069","Houston County, Alabama","B19202_001",28700,912
"36","01071","Jackson County, Alabama","B19202_001",23948,1709
"37","01073","Jefferson County, Alabama","B19202_001",35390,1195
"38","01075","Lamar County, Alabama","B19202_001",17168,2290
"39","01077","Lauderdale County, Alabama","B19202_001",27321,1477
"40","01079","Lawrence County, Alabama","B19202_001",27097,2879
"41","01081","Lee County, Alabama","B19202_001",25381,2617
"42","01083","Limestone County, Alabama","B19202_001",39196,5226
"43","01085","Lowndes County, Alabama","B19202_001",16926,2214
"44","01087","Macon County, Alabama","B19202_001",26273,2389
"45","01089","Madison County, Alabama","B19202_001",41793,1498
"46","01091","Marengo County, Alabama","B19202_001",17792,2279
"47","01093","Marion County, Alabama","B19202_001",19176,1837
"48","01095","Marshall County, Alabama","B19202_001",27374,2719
"49","01097","Mobile County, Alabama","B19202_001",29089,1299
"50","01099","Monroe County, Alabama","B19202_001",19668,2095
"51","01101","Montgomery County, Alabama","B19202_001",35448,2267
"52","01103","Morgan County, Alabama","B19202_001",30858,1566
"53","01105","Perry County, Alabama","B19202_001",20445,6193
"54","01107","Pickens County, Alabama","B19202_001",25300,5407
"55","01109","Pike County, Alabama","B19202_001",20533,3328
"56","01111","Randolph County, Alabama","B19202_001",21662,1674
"57","01113","Russell County, Alabama","B19202_001",25667,2870
"58","01115","St. Clair County, Alabama","B19202_001",38844,5218
"59","01117","Shelby County, Alabama","B19202_001",42971,3243
"60","01119","Sumter County, Alabama","B19202_001",17961,2881
"61","01121","Talladega County, Alabama","B19202_001",23956,1817
"62","01123","Tallapoosa County, Alabama","B19202_001",24426,3233
"63","01125","Tuscaloosa County, Alabama","B19202_001",31932,1185
"64","01127","Walker County, Alabama","B19202_001",22681,1956
"65","01129","Washington County, Alabama","B19202_001",16939,4807
"66","01131","Wilcox County, Alabama","B19202_001",21579,4157
"67","01133","Winston County, Alabama","B19202_001",24265,2077
"68","02013","Aleutians East Borough, Alaska","B19202_001",53200,3822
"69","02016","Aleutians West Census Area, Alaska","B19202_001",77969,8242
"70","02020","Anchorage Municipality, Alaska","B19202_001",57574,2638
"71","02050","Bethel Census Area, Alaska","B19202_001",53368,23373
"72","02060","Bristol Bay Borough, Alaska","B19202_001",53750,9430
"73","02063","Chugach Census Area, Alaska","B19202_001",54792,19071
"74","02066","Copper River Census Area, Alaska","B19202_001",34861,22243
"75","02068","Denali Borough, Alaska","B19202_001",45625,10471
"76","02070","Dillingham Census Area, Alaska","B19202_001",37813,5897
"77","02090","Fairbanks North Star Borough, Alaska","B19202_001",53473,3988
"78","02100","Haines Borough, Alaska","B19202_001",44167,25377
"79","02105","Hoonah-Angoon Census Area, Alaska","B19202_001",45319,4467
"80","02110","Juneau City and Borough, Alaska","B19202_001",65471,6221
"81","02122","Kenai Peninsula Borough, Alaska","B19202_001",38631,2736
"82","02130","Ketchikan Gateway Borough, Alaska","B19202_001",43345,3235
"83","02150","Kodiak Island Borough, Alaska","B19202_001",42730,16607
"84","02158","Kusilvak Census Area, Alaska","B19202_001",23553,11167
"85","02164","Lake and Peninsula Borough, Alaska","B19202_001",28125,5659
"86","02170","Matanuska-Susitna Borough, Alaska","B19202_001",42976,2796
"87","02180","Nome Census Area, Alaska","B19202_001",42321,8065
"88","02185","North Slope Borough, Alaska","B19202_001",55231,23431
"89","02188","Northwest Arctic Borough, Alaska","B19202_001",55625,16450
"90","02195","Petersburg Borough, Alaska","B19202_001",37500,8922
"91","02198","Prince of Wales-Hyder Census Area, Alaska","B19202_001",39609,4980
"92","02220","Sitka City and Borough, Alaska","B19202_001",46794,4142
"93","02230","Skagway Municipality, Alaska","B19202_001",48500,23396
"94","02240","Southeast Fairbanks Census Area, Alaska","B19202_001",35331,8856
"95","02275","Wrangell City and Borough, Alaska","B19202_001",33056,8008
"96","02282","Yakutat City and Borough, Alaska","B19202_001",57000,18147
"97","02290","Yukon-Koyukuk Census Area, Alaska","B19202_001",21597,4078
"98","04001","Apache County, Arizona","B19202_001",16582,1567
"99","04003","Cochise County, Arizona","B19202_001",34155,2220
"100","04005","Coconino County, Arizona","B19202_001",36592,3615
"101","04007","Gila County, Arizona","B19202_001",32051,3856
"102","04009","Graham County, Arizona","B19202_001",35495,7740
"103","04011","Greenlee County, Arizona","B19202_001",39828,7717
"104","04012","La Paz County, Arizona","B19202_001",23057,2528
"105","04013","Maricopa County, Arizona","B19202_001",47619,652
"106","04015","Mohave County, Arizona","B19202_001",30054,1728
"107","04017","Navajo County, Arizona","B19202_001",27280,2672
"108","04019","Pima County, Arizona","B19202_001",37629,830
"109","04021","Pinal County, Arizona","B19202_001",37383,1562
"110","04023","Santa Cruz County, Arizona","B19202_001",25183,2135
"111","04025","Yavapai County, Arizona","B19202_001",36484,1827
"112","04027","Yuma County, Arizona","B19202_001",31317,2033
"113","05001","Arkansas County, Arkansas","B19202_001",24505,12042
"114","05003","Ashley County, Arkansas","B19202_001",22334,3244
"115","05005","Baxter County, Arkansas","B19202_001",29152,2747
"116","05007","Benton County, Arkansas","B19202_001",44624,2960
"117","05009","Boone County, Arkansas","B19202_001",27152,3122
"118","05011","Bradley County, Arkansas","B19202_001",21004,4463
"119","05013","Calhoun County, Arkansas","B19202_001",18882,5824
"120","05015","Carroll County, Arkansas","B19202_001",21430,2166
"121","05017","Chicot County, Arkansas","B19202_001",17174,3919
"122","05019","Clark County, Arkansas","B19202_001",24960,2496
"123","05021","Clay County, Arkansas","B19202_001",22568,3303
"124","05023","Cleburne County, Arkansas","B19202_001",29767,3468
"125","05025","Cleveland County, Arkansas","B19202_001",19679,1813
"126","05027","Columbia County, Arkansas","B19202_001",23027,6362
"127","05029","Conway County, Arkansas","B19202_001",24006,4702
"128","05031","Craighead County, Arkansas","B19202_001",29900,2109
"129","05033","Crawford County, Arkansas","B19202_001",30723,2331
"130","05035","Crittenden County, Arkansas","B19202_001",28994,2828
"131","05037","Cross County, Arkansas","B19202_001",26401,6843
"132","05039","Dallas County, Arkansas","B19202_001",17128,3176
"133","05041","Desha County, Arkansas","B19202_001",21183,5293
"134","05043","Drew County, Arkansas","B19202_001",23544,5242
"135","05045","Faulkner County, Arkansas","B19202_001",31468,2084
"136","05047","Franklin County, Arkansas","B19202_001",17176,2737
"137","05049","Fulton County, Arkansas","B19202_001",27000,8026
"138","05051","Garland County, Arkansas","B19202_001",27504,3263
"139","05053","Grant County, Arkansas","B19202_001",23922,6893
"140","05055","Greene County, Arkansas","B19202_001",25977,2696
"141","05057","Hempstead County, Arkansas","B19202_001",23671,4085
"142","05059","Hot Spring County, Arkansas","B19202_001",27887,2339
"143","05061","Howard County, Arkansas","B19202_001",25103,2887
"144","05063","Independence County, Arkansas","B19202_001",26084,3160
"145","05065","Izard County, Arkansas","B19202_001",21583,5359
"146","05067","Jackson County, Arkansas","B19202_001",20320,2900
"147","05069","Jefferson County, Arkansas","B19202_001",26033,2344
"148","05071","Johnson County, Arkansas","B19202_001",24615,3375
"149","05073","Lafayette County, Arkansas","B19202_001",20929,2587
"150","05075","Lawrence County, Arkansas","B19202_001",21815,2608
"151","05077","Lee County, Arkansas","B19202_001",15250,1259
"152","05079","Lincoln County, Arkansas","B19202_001",23977,8354
"153","05081","Little River County, Arkansas","B19202_001",26827,4749
"154","05083","Logan County, Arkansas","B19202_001",25070,2716
"155","05085","Lonoke County, Arkansas","B19202_001",32866,4957
"156","05087","Madison County, Arkansas","B19202_001",22706,3126
"157","05089","Marion County, Arkansas","B19202_001",22101,2314
"158","05091","Miller County, Arkansas","B19202_001",25558,3274
"159","05093","Mississippi County, Arkansas","B19202_001",23857,2380
"160","05095","Monroe County, Arkansas","B19202_001",22067,5197
"161","05097","Montgomery County, Arkansas","B19202_001",19726,2576
"162","05099","Nevada County, Arkansas","B19202_001",23007,8621
"163","05101","Newton County, Arkansas","B19202_001",23553,6461
"164","05103","Ouachita County, Arkansas","B19202_001",25621,3330
"165","05105","Perry County, Arkansas","B19202_001",25014,2856
"166","05107","Phillips County, Arkansas","B19202_001",20037,3299
"167","05109","Pike County, Arkansas","B19202_001",23926,3342
"168","05111","Poinsett County, Arkansas","B19202_001",20500,3514
"169","05113","Polk County, Arkansas","B19202_001",24625,4397
"170","05115","Pope County, Arkansas","B19202_001",26178,2727
"171","05117","Prairie County, Arkansas","B19202_001",24848,3138
"172","05119","Pulaski County, Arkansas","B19202_001",35710,1731
"173","05121","Randolph County, Arkansas","B19202_001",18387,3837
"174","05123","St. Francis County, Arkansas","B19202_001",17269,2545
"175","05125","Saline County, Arkansas","B19202_001",38006,2505
"176","05127","Scott County, Arkansas","B19202_001",23705,6655
"177","05129","Searcy County, Arkansas","B19202_001",13846,1607
"178","05131","Sebastian County, Arkansas","B19202_001",30862,1500
"179","05133","Sevier County, Arkansas","B19202_001",20020,6558
"180","05135","Sharp County, Arkansas","B19202_001",21116,2000
"181","05137","Stone County, Arkansas","B19202_001",18087,1521
"182","05139","Union County, Arkansas","B19202_001",25395,3653
"183","05141","Van Buren County, Arkansas","B19202_001",23927,2954
"184","05143","Washington County, Arkansas","B19202_001",34189,1560
"185","05145","White County, Arkansas","B19202_001",25976,2117
"186","05147","Woodruff County, Arkansas","B19202_001",22682,4394
"187","05149","Yell County, Arkansas","B19202_001",25872,3337
"188","06001","Alameda County, California","B19202_001",68381,1907
"189","06003","Alpine County, California","B19202_001",54792,30535
"190","06005","Amador County, California","B19202_001",33041,5123
"191","06007","Butte County, California","B19202_001",35280,1980
"192","06009","Calaveras County, California","B19202_001",39684,6404
"193","06011","Colusa County, California","B19202_001",29846,8344
"194","06013","Contra Costa County, California","B19202_001",66644,1802
"195","06015","Del Norte County, California","B19202_001",32923,6838
"196","06017","El Dorado County, California","B19202_001",45205,3206
"197","06019","Fresno County, California","B19202_001",36418,1518
"198","06021","Glenn County, California","B19202_001",27075,3656
"199","06023","Humboldt County, California","B19202_001",31381,1483
"200","06025","Imperial County, California","B19202_001",24181,5233
"201","06027","Inyo County, California","B19202_001",40150,7721
"202","06029","Kern County, California","B19202_001",33442,1530
"203","06031","Kings County, California","B19202_001",42786,4570
"204","06033","Lake County, California","B19202_001",32370,4546
"205","06035","Lassen County, California","B19202_001",37316,4796
"206","06037","Los Angeles County, California","B19202_001",52364,512
"207","06039","Madera County, California","B19202_001",35363,4656
"208","06041","Marin County, California","B19202_001",72074,3854
"209","06043","Mariposa County, California","B19202_001",30590,5581
"210","06045","Mendocino County, California","B19202_001",34065,4037
"211","06047","Merced County, California","B19202_001",36048,3014
"212","06049","Modoc County, California","B19202_001",28750,4425
"213","06051","Mono County, California","B19202_001",52994,10487
"214","06053","Monterey County, California","B19202_001",55660,2802
"215","06055","Napa County, California","B19202_001",59220,4780
"216","06057","Nevada County, California","B19202_001",40809,3278
"217","06059","Orange County, California","B19202_001",64571,1066
"218","06061","Placer County, California","B19202_001",52822,2138
"219","06063","Plumas County, California","B19202_001",35982,2919
"220","06065","Riverside County, California","B19202_001",39822,1103
"221","06067","Sacramento County, California","B19202_001",51974,902
"222","06069","San Benito County, California","B19202_001",58208,7604
"223","06071","San Bernardino County, California","B19202_001",42028,1357
"224","06073","San Diego County, California","B19202_001",59055,1047
"225","06075","San Francisco County, California","B19202_001",101622,2171
"226","06077","San Joaquin County, California","B19202_001",42546,1886
"227","06079","San Luis Obispo County, California","B19202_001",47012,2693
"228","06081","San Mateo County, California","B19202_001",83521,1945
"229","06083","Santa Barbara County, California","B19202_001",56260,2889
"230","06085","Santa Clara County, California","B19202_001",88090,2127
"231","06087","Santa Cruz County, California","B19202_001",59288,4479
"232","06089","Shasta County, California","B19202_001",35529,2219
"233","06091","Sierra County, California","B19202_001",29323,11943
"234","06093","Siskiyou County, California","B19202_001",28388,3045
"235","06095","Solano County, California","B19202_001",56234,1893
"236","06097","Sonoma County, California","B19202_001",56647,1885
"237","06099","Stanislaus County, California","B19202_001",41637,2148
"238","06101","Sutter County, California","B19202_001",41989,2570
"239","06103","Tehama County, California","B19202_001",26683,2183
"240","06105","Trinity County, California","B19202_001",30514,4189
"241","06107","Tulare County, California","B19202_001",35248,1906
"242","06109","Tuolumne County, California","B19202_001",37594,4110
"243","06111","Ventura County, California","B19202_001",58121,2743
"244","06113","Yolo County, California","B19202_001",42608,3016
"245","06115","Yuba County, California","B19202_001",36160,7344
"246","08001","Adams County, Colorado","B19202_001",51926,1623
"247","08003","Alamosa County, Colorado","B19202_001",28624,7911
"248","08005","Arapahoe County, Colorado","B19202_001",53510,1154
"249","08007","Archuleta County, Colorado","B19202_001",41074,7132
"250","08009","Baca County, Colorado","B19202_001",22868,5448
"251","08011","Bent County, Colorado","B19202_001",23113,3283
"252","08013","Boulder County, Colorado","B19202_001",53712,1776
"253","08014","Broomfield County, Colorado","B19202_001",67204,2679
"254","08015","Chaffee County, Colorado","B19202_001",36226,8573
"255","08017","Cheyenne County, Colorado","B19202_001",37353,10785
"256","08019","Clear Creek County, Colorado","B19202_001",51667,9667
"257","08021","Conejos County, Colorado","B19202_001",30143,5635
"258","08023","Costilla County, Colorado","B19202_001",15324,6803
"259","08025","Crowley County, Colorado","B19202_001",24055,3227
"260","08027","Custer County, Colorado","B19202_001",52560,15885
"261","08029","Delta County, Colorado","B19202_001",31091,2340
"262","08031","Denver County, Colorado","B19202_001",61278,1122
"263","08033","Dolores County, Colorado","B19202_001",30054,9204
"264","08035","Douglas County, Colorado","B19202_001",67912,2847
"265","08037","Eagle County, Colorado","B19202_001",55102,6613
"266","08039","Elbert County, Colorado","B19202_001",49817,9651
"267","08041","El Paso County, Colorado","B19202_001",46431,1556
"268","08043","Fremont County, Colorado","B19202_001",27118,2641
"269","08045","Garfield County, Colorado","B19202_001",48785,6839
"270","08047","Gilpin County, Colorado","B19202_001",72222,23079
"271","08049","Grand County, Colorado","B19202_001",37446,6770
"272","08051","Gunnison County, Colorado","B19202_001",45513,6951
"273","08053","Hinsdale County, Colorado","B19202_001",25000,7896
"274","08055","Huerfano County, Colorado","B19202_001",25130,6168
"275","08057","Jackson County, Colorado","B19202_001",26970,7311
"276","08059","Jefferson County, Colorado","B19202_001",56369,1157
"277","08061","Kiowa County, Colorado","B19202_001",34044,4535
"278","08063","Kit Carson County, Colorado","B19202_001",31399,4776
"279","08065","Lake County, Colorado","B19202_001",52207,3194
"280","08067","La Plata County, Colorado","B19202_001",44458,3064
"281","08069","Larimer County, Colorado","B19202_001",46081,2049
"282","08071","Las Animas County, Colorado","B19202_001",27248,2903
"283","08073","Lincoln County, Colorado","B19202_001",22500,5706
"284","08075","Logan County, Colorado","B19202_001",32606,4419
"285","08077","Mesa County, Colorado","B19202_001",36993,2159
"286","08079","Mineral County, Colorado","B19202_001",45781,14881
"287","08081","Moffat County, Colorado","B19202_001",35513,5469
"288","08083","Montezuma County, Colorado","B19202_001",33020,3605
"289","08085","Montrose County, Colorado","B19202_001",29051,4490
"290","08087","Morgan County, Colorado","B19202_001",32912,5850
"291","08089","Otero County, Colorado","B19202_001",25771,4627
"292","08091","Ouray County, Colorado","B19202_001",46842,10846
"293","08093","Park County, Colorado","B19202_001",45273,16613
"294","08095","Phillips County, Colorado","B19202_001",38782,4346
"295","08097","Pitkin County, Colorado","B19202_001",68206,16206
"296","08099","Prowers County, Colorado","B19202_001",26526,2167
"297","08101","Pueblo County, Colorado","B19202_001",31340,2442
"298","08103","Rio Blanco County, Colorado","B19202_001",35357,15463
"299","08105","Rio Grande County, Colorado","B19202_001",29643,7669
"300","08107","Routt County, Colorado","B19202_001",56196,4309
"301","08109","Saguache County, Colorado","B19202_001",25810,3447
"302","08111","San Juan County, Colorado","B19202_001",42500,11444
"303","08113","San Miguel County, Colorado","B19202_001",49931,12521
"304","08115","Sedgwick County, Colorado","B19202_001",23750,6851
"305","08117","Summit County, Colorado","B19202_001",64160,3746
"306","08119","Teller County, Colorado","B19202_001",40023,3510
"307","08121","Washington County, Colorado","B19202_001",32266,5258
"308","08123","Weld County, Colorado","B19202_001",45362,2195
"309","08125","Yuma County, Colorado","B19202_001",40833,4323
"310","09001","Fairfield County, Connecticut","B19202_001",55584,1892
"311","09003","Hartford County, Connecticut","B19202_001",46291,1688
"312","09005","Litchfield County, Connecticut","B19202_001",49619,2635
"313","09007","Middlesex County, Connecticut","B19202_001",50417,2746
"314","09009","New Haven County, Connecticut","B19202_001",43547,1046
"315","09011","New London County, Connecticut","B19202_001",48054,2743
"316","09013","Tolland County, Connecticut","B19202_001",43469,2254
"317","09015","Windham County, Connecticut","B19202_001",41158,2726
"318","10001","Kent County, Delaware","B19202_001",40293,3817
"319","10003","New Castle County, Delaware","B19202_001",47990,1560
"320","10005","Sussex County, Delaware","B19202_001",38325,1666
"321","11001","District of Columbia, District of Columbia","B19202_001",78691,1641
"322","12001","Alachua County, Florida","B19202_001",33931,1582
"323","12003","Baker County, Florida","B19202_001",42765,10799
"324","12005","Bay County, Florida","B19202_001",40933,1996
"325","12007","Bradford County, Florida","B19202_001",23061,7852
"326","12009","Brevard County, Florida","B19202_001",39963,1351
"327","12011","Broward County, Florida","B19202_001",41930,910
"328","12013","Calhoun County, Florida","B19202_001",18990,2626
"329","12015","Charlotte County, Florida","B19202_001",34838,1628
"330","12017","Citrus County, Florida","B19202_001",28925,1485
"331","12019","Clay County, Florida","B19202_001",45311,3934
"332","12021","Collier County, Florida","B19202_001",46457,2950
"333","12023","Columbia County, Florida","B19202_001",29065,4011
"334","12027","DeSoto County, Florida","B19202_001",25328,3478
"335","12029","Dixie County, Florida","B19202_001",22063,10837
"336","12031","Duval County, Florida","B19202_001",40984,1039
"337","12033","Escambia County, Florida","B19202_001",38412,1402
"338","12035","Flagler County, Florida","B19202_001",38322,2977
"339","12037","Franklin County, Florida","B19202_001",34917,9940
"340","12039","Gadsden County, Florida","B19202_001",30036,3696
"341","12041","Gilchrist County, Florida","B19202_001",24894,8889
"342","12043","Glades County, Florida","B19202_001",25790,4951
"343","12045","Gulf County, Florida","B19202_001",38719,5443
"344","12047","Hamilton County, Florida","B19202_001",26889,4048
"345","12049","Hardee County, Florida","B19202_001",16809,6140
"346","12051","Hendry County, Florida","B19202_001",26421,3497
"347","12053","Hernando County, Florida","B19202_001",32006,1890
"348","12055","Highlands County, Florida","B19202_001",27830,3102
"349","12057","Hillsborough County, Florida","B19202_001",42266,899
"350","12059","Holmes County, Florida","B19202_001",25203,6653
"351","12061","Indian River County, Florida","B19202_001",38333,1863
"352","12063","Jackson County, Florida","B19202_001",24883,1943
"353","12065","Jefferson County, Florida","B19202_001",28125,4867
"354","12067","Lafayette County, Florida","B19202_001",35417,13581
"355","12069","Lake County, Florida","B19202_001",34845,1234
"356","12071","Lee County, Florida","B19202_001",39651,1460
"357","12073","Leon County, Florida","B19202_001",34821,1625
"358","12075","Levy County, Florida","B19202_001",22458,3743
"359","12077","Liberty County, Florida","B19202_001",24957,5859
"360","12079","Madison County, Florida","B19202_001",26531,5020
"361","12081","Manatee County, Florida","B19202_001",39036,1381
"362","12083","Marion County, Florida","B19202_001",30550,1442
"363","12085","Martin County, Florida","B19202_001",41407,2724
