"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","B19202_001",34167,3110
"2","19003","Adams County, Iowa","B19202_001",28899,3104
"3","19005","Allamakee County, Iowa","B19202_001",41091,3432
"4","19007","Appanoose County, Iowa","B19202_001",26780,4122
"5","19009","Audubon County, Iowa","B19202_001",34458,4168
"6","19011","Benton County, Iowa","B19202_001",36406,4760
"7","19013","Black Hawk County, Iowa","B19202_001",36036,1870
"8","19015","Boone County, Iowa","B19202_001",33800,3505
"9","19017","Bremer County, Iowa","B19202_001",43059,2510
"10","19019","Buchanan County, Iowa","B19202_001",30516,3224
"11","19021","Buena Vista County, Iowa","B19202_001",40960,8226
"12","19023","Butler County, Iowa","B19202_001",34757,3266
"13","19025","Calhoun County, Iowa","B19202_001",31228,2749
"14","19027","Carroll County, Iowa","B19202_001",33374,3328
"15","19029","Cass County, Iowa","B19202_001",28403,3848
"16","19031","Cedar County, Iowa","B19202_001",42390,7194
"17","19033","Cerro Gordo County, Iowa","B19202_001",35472,2089
"18","19035","Cherokee County, Iowa","B19202_001",37724,8041
"19","19037","Chickasaw County, Iowa","B19202_001",35625,3681
"20","19039","Clarke County, Iowa","B19202_001",31549,12120
"21","19041","Clay County, Iowa","B19202_001",29980,3210
"22","19043","Clayton County, Iowa","B19202_001",35063,3200
"23","19045","Clinton County, Iowa","B19202_001",33296,2966
"24","19047","Crawford County, Iowa","B19202_001",31029,3087
"25","19049","Dallas County, Iowa","B19202_001",54664,5333
"26","19051","Davis County, Iowa","B19202_001",33024,4965
"27","19053","Decatur County, Iowa","B19202_001",26677,10470
"28","19055","Delaware County, Iowa","B19202_001",37317,4522
"29","19057","Des Moines County, Iowa","B19202_001",33796,2108
"30","19059","Dickinson County, Iowa","B19202_001",44808,4092
"31","19061","Dubuque County, Iowa","B19202_001",36841,2269
"32","19063","Emmet County, Iowa","B19202_001",37913,3724
"33","19065","Fayette County, Iowa","B19202_001",31353,2913
"34","19067","Floyd County, Iowa","B19202_001",32162,2008
"35","19069","Franklin County, Iowa","B19202_001",31350,12833
"36","19071","Fremont County, Iowa","B19202_001",37847,5013
"37","19073","Greene County, Iowa","B19202_001",35118,2834
"38","19075","Grundy County, Iowa","B19202_001",39162,3078
"39","19077","Guthrie County, Iowa","B19202_001",35602,5575
"40","19079","Hamilton County, Iowa","B19202_001",35983,5938
"41","19081","Hancock County, Iowa","B19202_001",41046,2756
"42","19083","Hardin County, Iowa","B19202_001",28973,5356
"43","19085","Harrison County, Iowa","B19202_001",31438,5204
"44","19087","Henry County, Iowa","B19202_001",29877,1973
"45","19089","Howard County, Iowa","B19202_001",34083,5901
"46","19091","Humboldt County, Iowa","B19202_001",34615,7915
"47","19093","Ida County, Iowa","B19202_001",36857,2928
"48","19095","Iowa County, Iowa","B19202_001",43183,3487
"49","19097","Jackson County, Iowa","B19202_001",32185,2749
"50","19099","Jasper County, Iowa","B19202_001",37079,3899
"51","19101","Jefferson County, Iowa","B19202_001",30900,4964
"52","19103","Johnson County, Iowa","B19202_001",37531,2396
"53","19105","Jones County, Iowa","B19202_001",41167,6661
"54","19107","Keokuk County, Iowa","B19202_001",32078,3532
"55","19109","Kossuth County, Iowa","B19202_001",37992,5231
"56","19111","Lee County, Iowa","B19202_001",29313,3209
"57","19113","Linn County, Iowa","B19202_001",41913,1394
"58","19115","Louisa County, Iowa","B19202_001",33750,6803
"59","19117","Lucas County, Iowa","B19202_001",29395,7553
"60","19119","Lyon County, Iowa","B19202_001",37206,5453
"61","19121","Madison County, Iowa","B19202_001",36875,8133
"62","19123","Mahaska County, Iowa","B19202_001",29313,5830
"63","19125","Marion County, Iowa","B19202_001",37403,4720
"64","19127","Marshall County, Iowa","B19202_001",38172,3985
"65","19129","Mills County, Iowa","B19202_001",48690,4378
"66","19131","Mitchell County, Iowa","B19202_001",31773,3577
"67","19133","Monona County, Iowa","B19202_001",31955,2159
"68","19135","Monroe County, Iowa","B19202_001",36923,12776
"69","19137","Montgomery County, Iowa","B19202_001",32288,4985
"70","19139","Muscatine County, Iowa","B19202_001",38584,3190
"71","19141","O'Brien County, Iowa","B19202_001",32955,4918
"72","19143","Osceola County, Iowa","B19202_001",45405,2236
"73","19145","Page County, Iowa","B19202_001",28387,4320
"74","19147","Palo Alto County, Iowa","B19202_001",35283,5130
"75","19149","Plymouth County, Iowa","B19202_001",35534,3340
"76","19151","Pocahontas County, Iowa","B19202_001",34792,6744
"77","19153","Polk County, Iowa","B19202_001",47758,1515
"78","19155","Pottawattamie County, Iowa","B19202_001",35625,2393
"79","19157","Poweshiek County, Iowa","B19202_001",33585,5810
"80","19159","Ringgold County, Iowa","B19202_001",30345,5580
"81","19161","Sac County, Iowa","B19202_001",33843,6330
"82","19163","Scott County, Iowa","B19202_001",41142,1818
"83","19165","Shelby County, Iowa","B19202_001",35864,1300
"84","19167","Sioux County, Iowa","B19202_001",35541,5932
"85","19169","Story County, Iowa","B19202_001",36758,3190
"86","19171","Tama County, Iowa","B19202_001",30992,2498
"87","19173","Taylor County, Iowa","B19202_001",37222,5878
"88","19175","Union County, Iowa","B19202_001",30444,5074
"89","19177","Van Buren County, Iowa","B19202_001",28125,5562
"90","19179","Wapello County, Iowa","B19202_001",35874,2813
"91","19181","Warren County, Iowa","B19202_001",39868,5071
"92","19183","Washington County, Iowa","B19202_001",36583,2007
"93","19185","Wayne County, Iowa","B19202_001",32167,2738
"94","19187","Webster County, Iowa","B19202_001",34800,2420
"95","19189","Winnebago County, Iowa","B19202_001",35132,6154
"96","19191","Winneshiek County, Iowa","B19202_001",40578,5330
"97","19193","Woodbury County, Iowa","B19202_001",34683,3628
"98","19195","Worth County, Iowa","B19202_001",33365,2888
"99","19197","Wright County, Iowa","B19202_001",36377,3335
