"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","B19122_001",1884,131
"2","19001","Adair County, Iowa","B19122_002",286,61
"3","19001","Adair County, Iowa","B19122_003",536,98
"4","19001","Adair County, Iowa","B19122_004",891,112
"5","19001","Adair County, Iowa","B19122_005",171,50
"6","19003","Adams County, Iowa","B19122_001",966,79
"7","19003","Adams County, Iowa","B19122_002",119,30
"8","19003","Adams County, Iowa","B19122_003",261,55
"9","19003","Adams County, Iowa","B19122_004",490,60
"10","19003","Adams County, Iowa","B19122_005",96,40
"11","19005","Allamakee County, Iowa","B19122_001",3607,200
"12","19005","Allamakee County, Iowa","B19122_002",656,111
"13","19005","Allamakee County, Iowa","B19122_003",971,150
"14","19005","Allamakee County, Iowa","B19122_004",1595,211
"15","19005","Allamakee County, Iowa","B19122_005",385,110
"16","19007","Appanoose County, Iowa","B19122_001",3141,206
"17","19007","Appanoose County, Iowa","B19122_002",804,141
"18","19007","Appanoose County, Iowa","B19122_003",1057,158
"19","19007","Appanoose County, Iowa","B19122_004",1032,166
"20","19007","Appanoose County, Iowa","B19122_005",248,60
"21","19009","Audubon County, Iowa","B19122_001",1552,101
"22","19009","Audubon County, Iowa","B19122_002",221,45
"23","19009","Audubon County, Iowa","B19122_003",401,72
"24","19009","Audubon County, Iowa","B19122_004",842,104
"25","19009","Audubon County, Iowa","B19122_005",88,37
"26","19011","Benton County, Iowa","B19122_001",7092,272
"27","19011","Benton County, Iowa","B19122_002",1087,138
"28","19011","Benton County, Iowa","B19122_003",1743,230
"29","19011","Benton County, Iowa","B19122_004",3587,252
"30","19011","Benton County, Iowa","B19122_005",675,123
"31","19013","Black Hawk County, Iowa","B19122_001",31459,737
"32","19013","Black Hawk County, Iowa","B19122_002",5440,462
"33","19013","Black Hawk County, Iowa","B19122_003",9360,607
"34","19013","Black Hawk County, Iowa","B19122_004",13366,701
"35","19013","Black Hawk County, Iowa","B19122_005",3293,371
"36","19015","Boone County, Iowa","B19122_001",7043,281
"37","19015","Boone County, Iowa","B19122_002",1044,147
"38","19015","Boone County, Iowa","B19122_003",1600,244
"39","19015","Boone County, Iowa","B19122_004",3438,266
"40","19015","Boone County, Iowa","B19122_005",961,201
"41","19017","Bremer County, Iowa","B19122_001",6704,223
"42","19017","Bremer County, Iowa","B19122_002",1033,124
"43","19017","Bremer County, Iowa","B19122_003",1714,203
"44","19017","Bremer County, Iowa","B19122_004",3326,271
"45","19017","Bremer County, Iowa","B19122_005",631,104
"46","19019","Buchanan County, Iowa","B19122_001",5479,202
