"","GEOID","NAME","variable","estimate","moe"
"1","01001","Autauga County, Alabama","B19058_001",21856,424
"2","01001","Autauga County, Alabama","B19058_002",2360,342
"3","01001","Autauga County, Alabama","B19058_003",19496,537
"4","01003","Baldwin County, Alabama","B19058_001",87190,1307
"5","01003","Baldwin County, Alabama","B19058_002",6215,651
"6","01003","Baldwin County, Alabama","B19058_003",80975,1441
"7","01005","Barbour County, Alabama","B19058_001",9088,301
"8","01005","Barbour County, Alabama","B19058_002",2361,278
"9","01005","Barbour County, Alabama","B19058_003",6727,346
"10","01007","Bibb County, Alabama","B19058_001",7083,289
"11","01007","Bibb County, Alabama","B19058_002",1272,272
"12","01007","Bibb County, Alabama","B19058_003",5811,367
"13","01009","Blount County, Alabama","B19058_001",21300,411
"14","01009","Blount County, Alabama","B19058_002",2323,436
"15","01009","Blount County, Alabama","B19058_003",18977,606
"16","01011","Bullock County, Alabama","B19058_001",3419,222
"17","01011","Bullock County, Alabama","B19058_002",972,279
"18","01011","Bullock County, Alabama","B19058_003",2447,233
"19","01013","Butler County, Alabama","B19058_001",6531,290
"20","01013","Butler County, Alabama","B19058_002",1098,187
"21","01013","Butler County, Alabama","B19058_003",5433,313
"22","01015","Calhoun County, Alabama","B19058_001",44295,619
"23","01015","Calhoun County, Alabama","B19058_002",8055,594
"24","01015","Calhoun County, Alabama","B19058_003",36240,757
"25","01017","Chambers County, Alabama","B19058_001",13123,445
"26","01017","Chambers County, Alabama","B19058_002",2001,361
"27","01017","Chambers County, Alabama","B19058_003",11122,513
"28","01019","Cherokee County, Alabama","B19058_001",9692,442
"29","01019","Cherokee County, Alabama","B19058_002",1269,225
"30","01019","Cherokee County, Alabama","B19058_003",8423,435
"31","01021","Chilton County, Alabama","B19058_001",16562,453
"32","01021","Chilton County, Alabama","B19058_002",2445,363
"33","01021","Chilton County, Alabama","B19058_003",14117,506
"34","01023","Choctaw County, Alabama","B19058_001",5211,218
"35","01023","Choctaw County, Alabama","B19058_002",1101,196
"36","01023","Choctaw County, Alabama","B19058_003",4110,210
"37","01025","Clarke County, Alabama","B19058_001",8250,333
"38","01025","Clarke County, Alabama","B19058_002",1684,273
"39","01025","Clarke County, Alabama","B19058_003",6566,362
"40","01027","Clay County, Alabama","B19058_001",5399,251
"41","01027","Clay County, Alabama","B19058_002",741,212
"42","01027","Clay County, Alabama","B19058_003",4658,277
"43","01029","Cleburne County, Alabama","B19058_001",5598,193
"44","01029","Cleburne County, Alabama","B19058_002",841,177
"45","01029","Cleburne County, Alabama","B19058_003",4757,263
"46","01031","Coffee County, Alabama","B19058_001",20478,414
"47","01031","Coffee County, Alabama","B19058_002",2538,280
"48","01031","Coffee County, Alabama","B19058_003",17940,464
"49","01033","Colbert County, Alabama","B19058_001",22640,528
"50","01033","Colbert County, Alabama","B19058_002",3403,446
"51","01033","Colbert County, Alabama","B19058_003",19237,615
"52","01035","Conecuh County, Alabama","B19058_001",4187,265
"53","01035","Conecuh County, Alabama","B19058_002",509,153
"54","01035","Conecuh County, Alabama","B19058_003",3678,270
"55","01037","Coosa County, Alabama","B19058_001",3824,206
"56","01037","Coosa County, Alabama","B19058_002",404,124
"57","01037","Coosa County, Alabama","B19058_003",3420,218
"58","01039","Covington County, Alabama","B19058_001",14296,347
"59","01039","Covington County, Alabama","B19058_002",1811,241
"60","01039","Covington County, Alabama","B19058_003",12485,378
"61","01041","Crenshaw County, Alabama","B19058_001",4653,162
"62","01041","Crenshaw County, Alabama","B19058_002",916,153
"63","01041","Crenshaw County, Alabama","B19058_003",3737,179
"64","01043","Cullman County, Alabama","B19058_001",32939,529
"65","01043","Cullman County, Alabama","B19058_002",3628,411
"66","01043","Cullman County, Alabama","B19058_003",29311,527
"67","01045","Dale County, Alabama","B19058_001",19470,374
"68","01045","Dale County, Alabama","B19058_002",3633,397
"69","01045","Dale County, Alabama","B19058_003",15837,416
"70","01047","Dallas County, Alabama","B19058_001",14385,422
"71","01047","Dallas County, Alabama","B19058_002",4128,496
"72","01047","Dallas County, Alabama","B19058_003",10257,449
"73","01049","DeKalb County, Alabama","B19058_001",25601,548
"74","01049","DeKalb County, Alabama","B19058_002",4189,471
"75","01049","DeKalb County, Alabama","B19058_003",21412,569
"76","01051","Elmore County, Alabama","B19058_001",31630,647
"77","01051","Elmore County, Alabama","B19058_002",3697,523
"78","01051","Elmore County, Alabama","B19058_003",27933,692
"79","01053","Escambia County, Alabama","B19058_001",12878,566
"80","01053","Escambia County, Alabama","B19058_002",2002,307
"81","01053","Escambia County, Alabama","B19058_003",10876,554
"82","01055","Etowah County, Alabama","B19058_001",38289,702
"83","01055","Etowah County, Alabama","B19058_002",5594,514
"84","01055","Etowah County, Alabama","B19058_003",32695,740
"85","01057","Fayette County, Alabama","B19058_001",6204,256
"86","01057","Fayette County, Alabama","B19058_002",1184,196
"87","01057","Fayette County, Alabama","B19058_003",5020,269
"88","01059","Franklin County, Alabama","B19058_001",10955,379
"89","01059","Franklin County, Alabama","B19058_002",2069,360
"90","01059","Franklin County, Alabama","B19058_003",8886,463
"91","01061","Geneva County, Alabama","B19058_001",10303,322
"92","01061","Geneva County, Alabama","B19058_002",1858,306
"93","01061","Geneva County, Alabama","B19058_003",8445,406
"94","01063","Greene County, Alabama","B19058_001",2849,191
"95","01063","Greene County, Alabama","B19058_002",738,186
"96","01063","Greene County, Alabama","B19058_003",2111,240
"97","01065","Hale County, Alabama","B19058_001",5133,251
"98","01065","Hale County, Alabama","B19058_002",1283,243
"99","01065","Hale County, Alabama","B19058_003",3850,247
"100","01067","Henry County, Alabama","B19058_001",6404,277
"101","01067","Henry County, Alabama","B19058_002",957,180
"102","01067","Henry County, Alabama","B19058_003",5447,254
"103","01069","Houston County, Alabama","B19058_001",41095,345
"104","01069","Houston County, Alabama","B19058_002",5925,293
"105","01069","Houston County, Alabama","B19058_003",35170,420
"106","01071","Jackson County, Alabama","B19058_001",20276,511
"107","01071","Jackson County, Alabama","B19058_002",2708,321
"108","01071","Jackson County, Alabama","B19058_003",17568,498
"109","01073","Jefferson County, Alabama","B19058_001",264105,1463
"110","01073","Jefferson County, Alabama","B19058_002",36521,1141
"111","01073","Jefferson County, Alabama","B19058_003",227584,1750
"112","01075","Lamar County, Alabama","B19058_001",5351,272
"113","01075","Lamar County, Alabama","B19058_002",1057,234
"114","01075","Lamar County, Alabama","B19058_003",4294,270
"115","01077","Lauderdale County, Alabama","B19058_001",37928,514
"116","01077","Lauderdale County, Alabama","B19058_002",4536,502
"117","01077","Lauderdale County, Alabama","B19058_003",33392,714
"118","01079","Lawrence County, Alabama","B19058_001",12469,325
"119","01079","Lawrence County, Alabama","B19058_002",1815,329
"120","01079","Lawrence County, Alabama","B19058_003",10654,409
"121","01081","Lee County, Alabama","B19058_001",63122,839
"122","01081","Lee County, Alabama","B19058_002",5922,647
"123","01081","Lee County, Alabama","B19058_003",57200,872
"124","01083","Limestone County, Alabama","B19058_001",37987,502
"125","01083","Limestone County, Alabama","B19058_002",3515,482
"126","01083","Limestone County, Alabama","B19058_003",34472,595
"127","01085","Lowndes County, Alabama","B19058_001",3878,154
"128","01085","Lowndes County, Alabama","B19058_002",1105,180
"129","01085","Lowndes County, Alabama","B19058_003",2773,213
"130","01087","Macon County, Alabama","B19058_001",7136,331
"131","01087","Macon County, Alabama","B19058_002",1547,240
"132","01087","Macon County, Alabama","B19058_003",5589,285
"133","01089","Madison County, Alabama","B19058_001",156305,1115
"134","01089","Madison County, Alabama","B19058_002",15438,1156
"135","01089","Madison County, Alabama","B19058_003",140867,1498
"136","01091","Marengo County, Alabama","B19058_001",7248,316
"137","01091","Marengo County, Alabama","B19058_002",1304,257
"138","01091","Marengo County, Alabama","B19058_003",5944,327
"139","01093","Marion County, Alabama","B19058_001",11131,404
"140","01093","Marion County, Alabama","B19058_002",1682,265
"141","01093","Marion County, Alabama","B19058_003",9449,433
"142","01095","Marshall County, Alabama","B19058_001",35439,490
"143","01095","Marshall County, Alabama","B19058_002",3959,379
"144","01095","Marshall County, Alabama","B19058_003",31480,517
"145","01097","Mobile County, Alabama","B19058_001",158045,1246
"146","01097","Mobile County, Alabama","B19058_002",26594,1296
