"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","B19058_001",3180,114
"2","19001","Adair County, Iowa","B19058_002",406,92
"3","19001","Adair County, Iowa","B19058_003",2774,120
"4","19003","Adams County, Iowa","B19058_001",1529,94
"5","19003","Adams County, Iowa","B19058_002",189,52
"6","19003","Adams County, Iowa","B19058_003",1340,95
"7","19005","Allamakee County, Iowa","B19058_001",5814,178
"8","19005","Allamakee County, Iowa","B19058_002",415,103
"9","19005","Allamakee County, Iowa","B19058_003",5399,219
"10","19007","Appanoose County, Iowa","B19058_001",4920,207
"11","19007","Appanoose County, Iowa","B19058_002",670,149
"12","19007","Appanoose County, Iowa","B19058_003",4250,238
"13","19009","Audubon County, Iowa","B19058_001",2498,80
"14","19009","Audubon County, Iowa","B19058_002",224,48
"15","19009","Audubon County, Iowa","B19058_003",2274,85
"16","19011","Benton County, Iowa","B19058_001",10075,224
"17","19011","Benton County, Iowa","B19058_002",736,145
"18","19011","Benton County, Iowa","B19058_003",9339,267
"19","19013","Black Hawk County, Iowa","B19058_001",53465,505
"20","19013","Black Hawk County, Iowa","B19058_002",7267,694
"21","19013","Black Hawk County, Iowa","B19058_003",46198,752
"22","19015","Boone County, Iowa","B19058_001",10720,232
"23","19015","Boone County, Iowa","B19058_002",838,180
"24","19015","Boone County, Iowa","B19058_003",9882,258
"25","19017","Bremer County, Iowa","B19058_001",9638,191
"26","19017","Bremer County, Iowa","B19058_002",530,125
"27","19017","Bremer County, Iowa","B19058_003",9108,241
"28","19019","Buchanan County, Iowa","B19058_001",7787,210
"29","19019","Buchanan County, Iowa","B19058_002",665,137
"30","19019","Buchanan County, Iowa","B19058_003",7122,221
"31","19021","Buena Vista County, Iowa","B19058_001",7506,174
"32","19021","Buena Vista County, Iowa","B19058_002",859,188
"33","19021","Buena Vista County, Iowa","B19058_003",6647,241
"34","19023","Butler County, Iowa","B19058_001",5860,140
"35","19023","Butler County, Iowa","B19058_002",547,109
"36","19023","Butler County, Iowa","B19058_003",5313,159
"37","19025","Calhoun County, Iowa","B19058_001",3932,134
"38","19025","Calhoun County, Iowa","B19058_002",432,82
"39","19025","Calhoun County, Iowa","B19058_003",3500,130
"40","19027","Carroll County, Iowa","B19058_001",8761,225
"41","19027","Carroll County, Iowa","B19058_002",723,145
"42","19027","Carroll County, Iowa","B19058_003",8038,246
