"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","B19055_001",3180,114
"2","19001","Adair County, Iowa","B19055_002",1260,83
"3","19001","Adair County, Iowa","B19055_003",1920,100
"4","19003","Adams County, Iowa","B19055_001",1529,94
"5","19003","Adams County, Iowa","B19055_002",583,60
"6","19003","Adams County, Iowa","B19055_003",946,87
"7","19005","Allamakee County, Iowa","B19055_001",5814,178
"8","19005","Allamakee County, Iowa","B19055_002",2257,115
"9","19005","Allamakee County, Iowa","B19055_003",3557,199
"10","19007","Appanoose County, Iowa","B19055_001",4920,207
"11","19007","Appanoose County, Iowa","B19055_002",2162,167
"12","19007","Appanoose County, Iowa","B19055_003",2758,197
"13","19009","Audubon County, Iowa","B19055_001",2498,80
"14","19009","Audubon County, Iowa","B19055_002",944,78
"15","19009","Audubon County, Iowa","B19055_003",1554,79
"16","19011","Benton County, Iowa","B19055_001",10075,224
"17","19011","Benton County, Iowa","B19055_002",3301,227
"18","19011","Benton County, Iowa","B19055_003",6774,253
"19","19013","Black Hawk County, Iowa","B19055_001",53465,505
"20","19013","Black Hawk County, Iowa","B19055_002",17557,620
"21","19013","Black Hawk County, Iowa","B19055_003",35908,725
"22","19015","Boone County, Iowa","B19055_001",10720,232
"23","19015","Boone County, Iowa","B19055_002",3658,184
"24","19015","Boone County, Iowa","B19055_003",7062,246
"25","19017","Bremer County, Iowa","B19055_001",9638,191
"26","19017","Bremer County, Iowa","B19055_002",3264,148
"27","19017","Bremer County, Iowa","B19055_003",6374,205
"28","19019","Buchanan County, Iowa","B19055_001",7787,210
"29","19019","Buchanan County, Iowa","B19055_002",2643,147
"30","19019","Buchanan County, Iowa","B19055_003",5144,203
"31","19021","Buena Vista County, Iowa","B19055_001",7506,174
"32","19021","Buena Vista County, Iowa","B19055_002",2118,122
"33","19021","Buena Vista County, Iowa","B19055_003",5388,209
"34","19023","Butler County, Iowa","B19055_001",5860,140
"35","19023","Butler County, Iowa","B19055_002",2221,126
"36","19023","Butler County, Iowa","B19055_003",3639,128
"37","19025","Calhoun County, Iowa","B19055_001",3932,134
"38","19025","Calhoun County, Iowa","B19055_002",1656,83
"39","19025","Calhoun County, Iowa","B19055_003",2276,127
"40","19027","Carroll County, Iowa","B19055_001",8761,225
"41","19027","Carroll County, Iowa","B19055_002",2737,168
"42","19027","Carroll County, Iowa","B19055_003",6024,251
"43","19029","Cass County, Iowa","B19055_001",5777,176
"44","19029","Cass County, Iowa","B19055_002",2354,120
"45","19029","Cass County, Iowa","B19055_003",3423,212
"46","19031","Cedar County, Iowa","B19055_001",7381,197
"47","19031","Cedar County, Iowa","B19055_002",2549,148
"48","19031","Cedar County, Iowa","B19055_003",4832,195
"49","19033","Cerro Gordo County, Iowa","B19055_001",19569,391
"50","19033","Cerro Gordo County, Iowa","B19055_002",6974,300
"51","19033","Cerro Gordo County, Iowa","B19055_003",12595,474
"52","19035","Cherokee County, Iowa","B19055_001",5126,163
"53","19035","Cherokee County, Iowa","B19055_002",2129,132
"54","19035","Cherokee County, Iowa","B19055_003",2997,185
"55","19037","Chickasaw County, Iowa","B19055_001",5005,143
"56","19037","Chickasaw County, Iowa","B19055_002",1723,122
"57","19037","Chickasaw County, Iowa","B19055_003",3282,140
"58","19039","Clarke County, Iowa","B19055_001",3740,185
"59","19039","Clarke County, Iowa","B19055_002",1296,169
"60","19039","Clarke County, Iowa","B19055_003",2444,234
"61","19041","Clay County, Iowa","B19055_001",7137,225
"62","19041","Clay County, Iowa","B19055_002",2726,202
"63","19041","Clay County, Iowa","B19055_003",4411,273
"64","19043","Clayton County, Iowa","B19055_001",7319,199
"65","19043","Clayton County, Iowa","B19055_002",2724,162
"66","19043","Clayton County, Iowa","B19055_003",4595,190
"67","19045","Clinton County, Iowa","B19055_001",19103,326
"68","19045","Clinton County, Iowa","B19055_002",7176,293
"69","19045","Clinton County, Iowa","B19055_003",11927,396
"70","19047","Crawford County, Iowa","B19055_001",6159,194
"71","19047","Crawford County, Iowa","B19055_002",2053,162
"72","19047","Crawford County, Iowa","B19055_003",4106,215
"73","19049","Dallas County, Iowa","B19055_001",37970,488
"74","19049","Dallas County, Iowa","B19055_002",8162,409
"75","19049","Dallas County, Iowa","B19055_003",29808,542
"76","19051","Davis County, Iowa","B19055_001",3150,129
"77","19051","Davis County, Iowa","B19055_002",1033,104
"78","19051","Davis County, Iowa","B19055_003",2117,148
"79","19053","Decatur County, Iowa","B19055_001",3053,130
"80","19053","Decatur County, Iowa","B19055_002",1230,94
"81","19053","Decatur County, Iowa","B19055_003",1823,156
"82","19055","Delaware County, Iowa","B19055_001",6944,232
"83","19055","Delaware County, Iowa","B19055_002",2453,133
"84","19055","Delaware County, Iowa","B19055_003",4491,240
"85","19057","Des Moines County, Iowa","B19055_001",17042,274
"86","19057","Des Moines County, Iowa","B19055_002",6532,330
"87","19057","Des Moines County, Iowa","B19055_003",10510,397
"88","19059","Dickinson County, Iowa","B19055_001",8096,252
"89","19059","Dickinson County, Iowa","B19055_002",3420,176
"90","19059","Dickinson County, Iowa","B19055_003",4676,265
"91","19061","Dubuque County, Iowa","B19055_001",39534,392
