"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","B17011_001",1242900,554100
"2","19001","Adair County, Iowa","B17011_002",577200,364781
"3","19001","Adair County, Iowa","B17011_003",665800,367439
"4","19001","Adair County, Iowa","B17011_004",72700,91161
"5","19001","Adair County, Iowa","B17011_005",593000,337725
"6","19003","Adams County, Iowa","B17011_001",NA,NA
"7","19003","Adams County, Iowa","B17011_002",NA,NA
"8","19003","Adams County, Iowa","B17011_003",NA,NA
"9","19003","Adams County, Iowa","B17011_004",NA,NA
"10","19003","Adams County, Iowa","B17011_005",NA,NA
"11","19005","Allamakee County, Iowa","B17011_001",NA,NA
"12","19005","Allamakee County, Iowa","B17011_002",NA,NA
"13","19005","Allamakee County, Iowa","B17011_003",NA,NA
"14","19005","Allamakee County, Iowa","B17011_004",NA,NA
"15","19005","Allamakee County, Iowa","B17011_005",NA,NA
"16","19007","Appanoose County, Iowa","B17011_001",4491900,2039761
"17","19007","Appanoose County, Iowa","B17011_002",2872800,1830281
"18","19007","Appanoose County, Iowa","B17011_003",1619100,776004
"19","19007","Appanoose County, Iowa","B17011_004",261800,204227
"20","19007","Appanoose County, Iowa","B17011_005",1357300,737884
"21","19009","Audubon County, Iowa","B17011_001",1176300,538164
"22","19009","Audubon County, Iowa","B17011_002",481300,315102
"23","19009","Audubon County, Iowa","B17011_003",695100,471439
"24","19009","Audubon County, Iowa","B17011_004",NA,NA
"25","19009","Audubon County, Iowa","B17011_005",695100,471439
"26","19011","Benton County, Iowa","B17011_001",3369600,1106458
"27","19011","Benton County, Iowa","B17011_002",1675200,794345
"28","19011","Benton County, Iowa","B17011_003",1694400,783129
"29","19011","Benton County, Iowa","B17011_004",141000,132755
"30","19011","Benton County, Iowa","B17011_005",1553300,736471
"31","19013","Black Hawk County, Iowa","B17011_001",26847000,4577558
"32","19013","Black Hawk County, Iowa","B17011_002",8313000,2177939
"33","19013","Black Hawk County, Iowa","B17011_003",18534000,3895448
"34","19013","Black Hawk County, Iowa","B17011_004",3261100,1647640
"35","19013","Black Hawk County, Iowa","B17011_005",15272800,3482169
"36","19015","Boone County, Iowa","B17011_001",2442700,934344
"37","19015","Boone County, Iowa","B17011_002",1261200,866883
"38","19015","Boone County, Iowa","B17011_003",1181600,516433
"39","19015","Boone County, Iowa","B17011_004",243800,237520
"40","19015","Boone County, Iowa","B17011_005",937800,479196
"41","19017","Bremer County, Iowa","B17011_001",3986700,1459952
"42","19017","Bremer County, Iowa","B17011_002",1335100,661201
"43","19017","Bremer County, Iowa","B17011_003",2651600,1341169
"44","19017","Bremer County, Iowa","B17011_004",462200,413132
"45","19017","Bremer County, Iowa","B17011_005",2189400,1237346
"46","19019","Buchanan County, Iowa","B17011_001",3110300,946388
"47","19019","Buchanan County, Iowa","B17011_002",402500,230818
"48","19019","Buchanan County, Iowa","B17011_003",2707800,933039
"49","19019","Buchanan County, Iowa","B17011_004",349800,295037
"50","19019","Buchanan County, Iowa","B17011_005",2358000,880953
"51","19021","Buena Vista County, Iowa","B17011_001",2084400,1105807
"52","19021","Buena Vista County, Iowa","B17011_002",1312400,1050592
"53","19021","Buena Vista County, Iowa","B17011_003",772000,347269
"54","19021","Buena Vista County, Iowa","B17011_004",175800,151485
"55","19021","Buena Vista County, Iowa","B17011_005",596300,308976
"56","19023","Butler County, Iowa","B17011_001",3259200,939833
"57","19023","Butler County, Iowa","B17011_002",1031900,423086
"58","19023","Butler County, Iowa","B17011_003",2227300,854194
"59","19023","Butler County, Iowa","B17011_004",1100800,873133
"60","19023","Butler County, Iowa","B17011_005",1126400,467706
"61","19025","Calhoun County, Iowa","B17011_001",NA,NA
"62","19025","Calhoun County, Iowa","B17011_002",NA,NA
"63","19025","Calhoun County, Iowa","B17011_003",NA,NA
"64","19025","Calhoun County, Iowa","B17011_004",NA,NA
"65","19025","Calhoun County, Iowa","B17011_005",NA,NA
"66","19027","Carroll County, Iowa","B17011_001",2642300,1132070
"67","19027","Carroll County, Iowa","B17011_002",1292400,555725
"68","19027","Carroll County, Iowa","B17011_003",1349900,867234
"69","19027","Carroll County, Iowa","B17011_004",203700,206028
"70","19027","Carroll County, Iowa","B17011_005",1146200,837413
"71","19029","Cass County, Iowa","B17011_001",3319600,1227646
"72","19029","Cass County, Iowa","B17011_002",917200,583935
"73","19029","Cass County, Iowa","B17011_003",2402400,1082130
"74","19029","Cass County, Iowa","B17011_004",782600,498920
"75","19029","Cass County, Iowa","B17011_005",1619800,1039310
"76","19031","Cedar County, Iowa","B17011_001",1740600,601300
"77","19031","Cedar County, Iowa","B17011_002",398300,252057
"78","19031","Cedar County, Iowa","B17011_003",1342300,537688
"79","19031","Cedar County, Iowa","B17011_004",83100,98039
"80","19031","Cedar County, Iowa","B17011_005",1259200,556852
"81","19033","Cerro Gordo County, Iowa","B17011_001",6856100,2034147
"82","19033","Cerro Gordo County, Iowa","B17011_002",1299700,516507
"83","19033","Cerro Gordo County, Iowa","B17011_003",5556400,2049136
"84","19033","Cerro Gordo County, Iowa","B17011_004",1062800,932644
"85","19033","Cerro Gordo County, Iowa","B17011_005",4493600,1821374
"86","19035","Cherokee County, Iowa","B17011_001",NA,NA
"87","19035","Cherokee County, Iowa","B17011_002",NA,NA
"88","19035","Cherokee County, Iowa","B17011_003",NA,NA
"89","19035","Cherokee County, Iowa","B17011_004",NA,NA
"90","19035","Cherokee County, Iowa","B17011_005",NA,NA
"91","19037","Chickasaw County, Iowa","B17011_001",1081000,532753
"92","19037","Chickasaw County, Iowa","B17011_002",506300,357014
"93","19037","Chickasaw County, Iowa","B17011_003",574700,367197
"94","19037","Chickasaw County, Iowa","B17011_004",416300,362175
"95","19037","Chickasaw County, Iowa","B17011_005",158400,153776
"96","19039","Clarke County, Iowa","B17011_001",4077900,2872944
"97","19039","Clarke County, Iowa","B17011_002",341300,219063
"98","19039","Clarke County, Iowa","B17011_003",3736600,2826788
"99","19039","Clarke County, Iowa","B17011_004",3508200,2750197
"100","19039","Clarke County, Iowa","B17011_005",228400,275097
"101","19041","Clay County, Iowa","B17011_001",2979100,1506286
"102","19041","Clay County, Iowa","B17011_002",800200,549646
"103","19041","Clay County, Iowa","B17011_003",2178900,1227236
"104","19041","Clay County, Iowa","B17011_004",NA,NA
"105","19041","Clay County, Iowa","B17011_005",2178900,1227236
"106","19043","Clayton County, Iowa","B17011_001",2631400,714839
