"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","B17008_001",2760500,808953
"2","19001","Adair County, Iowa","B17008_002",907200,500905
"3","19001","Adair County, Iowa","B17008_003",1853300,567684
"4","19003","Adams County, Iowa","B17008_001",1649500,431855
"5","19003","Adams County, Iowa","B17008_002",736400,460687
"6","19003","Adams County, Iowa","B17008_003",913100,460351
"7","19005","Allamakee County, Iowa","B17008_001",2967300,840405
"8","19005","Allamakee County, Iowa","B17008_002",1196800,467432
"9","19005","Allamakee County, Iowa","B17008_003",1770500,673150
"10","19007","Appanoose County, Iowa","B17008_001",6131000,1800963
"11","19007","Appanoose County, Iowa","B17008_002",2745700,1218617
"12","19007","Appanoose County, Iowa","B17008_003",3385300,1300701
"13","19009","Audubon County, Iowa","B17008_001",1473100,693432
"14","19009","Audubon County, Iowa","B17008_002",660600,489444
"15","19009","Audubon County, Iowa","B17008_003",812500,436794
"16","19011","Benton County, Iowa","B17008_001",7538400,1404896
"17","19011","Benton County, Iowa","B17008_002",2270300,642584
"18","19011","Benton County, Iowa","B17008_003",5268100,1335463
"19","19013","Black Hawk County, Iowa","B17008_001",74266400,8776247
"20","19013","Black Hawk County, Iowa","B17008_002",29554700,5899484
"21","19013","Black Hawk County, Iowa","B17008_003",44711700,5757548
"22","19015","Boone County, Iowa","B17008_001",6900700,1904967
"23","19015","Boone County, Iowa","B17008_002",2565200,1077453
"24","19015","Boone County, Iowa","B17008_003",4335400,1454229
"25","19017","Bremer County, Iowa","B17008_001",4907900,1411150
"26","19017","Bremer County, Iowa","B17008_002",2745600,1304704
"27","19017","Bremer County, Iowa","B17008_003",2162400,686096
"28","19019","Buchanan County, Iowa","B17008_001",4806800,1450108
"29","19019","Buchanan County, Iowa","B17008_002",1928700,863659
"30","19019","Buchanan County, Iowa","B17008_003",2878100,936025
"31","19021","Buena Vista County, Iowa","B17008_001",4193200,1350351
"32","19021","Buena Vista County, Iowa","B17008_002",2104800,940523
"33","19021","Buena Vista County, Iowa","B17008_003",2088400,931162
"34","19023","Butler County, Iowa","B17008_001",3931200,789694
"35","19023","Butler County, Iowa","B17008_002",2174500,622527
"36","19023","Butler County, Iowa","B17008_003",1756700,519978
"37","19025","Calhoun County, Iowa","B17008_001",3414600,851523
"38","19025","Calhoun County, Iowa","B17008_002",1634500,504562
"39","19025","Calhoun County, Iowa","B17008_003",1780100,638276
"40","19027","Carroll County, Iowa","B17008_001",4700300,1095201
"41","19027","Carroll County, Iowa","B17008_002",2788200,945861
"42","19027","Carroll County, Iowa","B17008_003",1912100,526494
"43","19029","Cass County, Iowa","B17008_001",4275000,1000689
"44","19029","Cass County, Iowa","B17008_002",1931000,621512
"45","19029","Cass County, Iowa","B17008_003",2344000,864567
"46","19031","Cedar County, Iowa","B17008_001",4725600,1058485
"47","19031","Cedar County, Iowa","B17008_002",2195100,760920
"48","19031","Cedar County, Iowa","B17008_003",2530500,779351
"49","19033","Cerro Gordo County, Iowa","B17008_001",12179100,2332428
"50","19033","Cerro Gordo County, Iowa","B17008_002",4711400,1656356
"51","19033","Cerro Gordo County, Iowa","B17008_003",7467700,1613323
"52","19035","Cherokee County, Iowa","B17008_001",4498100,1504132
"53","19035","Cherokee County, Iowa","B17008_002",2445800,1475013
"54","19035","Cherokee County, Iowa","B17008_003",2052300,889824
"55","19037","Chickasaw County, Iowa","B17008_001",2708100,749753
"56","19037","Chickasaw County, Iowa","B17008_002",1337000,538684
"57","19037","Chickasaw County, Iowa","B17008_003",1371100,583971
"58","19039","Clarke County, Iowa","B17008_001",5883600,1845618
"59","19039","Clarke County, Iowa","B17008_002",1092900,592852
"60","19039","Clarke County, Iowa","B17008_003",4790700,1655219
"61","19041","Clay County, Iowa","B17008_001",4920700,1549385
"62","19041","Clay County, Iowa","B17008_002",2883000,1149297
"63","19041","Clay County, Iowa","B17008_003",2037600,796721
"64","19043","Clayton County, Iowa","B17008_001",6222800,2516617
"65","19043","Clayton County, Iowa","B17008_002",3920500,2143991
"66","19043","Clayton County, Iowa","B17008_003",2302200,724270
"67","19045","Clinton County, Iowa","B17008_001",18444400,3459402
"68","19045","Clinton County, Iowa","B17008_002",7954900,2559107
"69","19045","Clinton County, Iowa","B17008_003",10489600,2422704
"70","19047","Crawford County, Iowa","B17008_001",6750700,2378650
"71","19047","Crawford County, Iowa","B17008_002",4245300,1819990
"72","19047","Crawford County, Iowa","B17008_003",2505400,724186
"73","19049","Dallas County, Iowa","B17008_001",14037500,3142988
"74","19049","Dallas County, Iowa","B17008_002",5988800,2391753
"75","19049","Dallas County, Iowa","B17008_003",8048700,2096595
"76","19051","Davis County, Iowa","B17008_001",844400,390702
"77","19051","Davis County, Iowa","B17008_002",114400,133019
"78","19051","Davis County, Iowa","B17008_003",730000,348507
"79","19053","Decatur County, Iowa","B17008_001",3417000,1113577
"80","19053","Decatur County, Iowa","B17008_002",1886000,775572
"81","19053","Decatur County, Iowa","B17008_003",1531000,786824
"82","19055","Delaware County, Iowa","B17008_001",3488400,1378693
"83","19055","Delaware County, Iowa","B17008_002",1279500,817922
"84","19055","Delaware County, Iowa","B17008_003",2208900,928562
"85","19057","Des Moines County, Iowa","B17008_001",14205400,2360391
"86","19057","Des Moines County, Iowa","B17008_002",5747000,1796172
"87","19057","Des Moines County, Iowa","B17008_003",8458400,1744727
"88","19059","Dickinson County, Iowa","B17008_001",3190200,943952
"89","19059","Dickinson County, Iowa","B17008_002",1550200,727375
"90","19059","Dickinson County, Iowa","B17008_003",1640000,610966
"91","19061","Dubuque County, Iowa","B17008_001",33434200,5554832
"92","19061","Dubuque County, Iowa","B17008_002",14049900,3310635
"93","19061","Dubuque County, Iowa","B17008_003",19384400,4513330
"94","19063","Emmet County, Iowa","B17008_001",2902200,944128
"95","19063","Emmet County, Iowa","B17008_002",815900,348558
"96","19063","Emmet County, Iowa","B17008_003",2086300,874696
"97","19065","Fayette County, Iowa","B17008_001",7444900,1585389
"98","19065","Fayette County, Iowa","B17008_002",3969200,1279147
"99","19065","Fayette County, Iowa","B17008_003",3475700,1179330
"100","19067","Floyd County, Iowa","B17008_001",4855600,1673865
"101","19067","Floyd County, Iowa","B17008_002",2739700,1493000
"102","19067","Floyd County, Iowa","B17008_003",2115900,690214
"103","19069","Franklin County, Iowa","B17008_001",3878400,1364314
"104","19069","Franklin County, Iowa","B17008_002",1497500,770085
"105","19069","Franklin County, Iowa","B17008_003",2380900,1108835
"106","19071","Fremont County, Iowa","B17008_001",1578800,463695
"107","19071","Fremont County, Iowa","B17008_002",569200,315891
"108","19071","Fremont County, Iowa","B17008_003",1009500,328926
"109","19073","Greene County, Iowa","B17008_001",3370400,918359
"110","19073","Greene County, Iowa","B17008_002",1084000,475153
"111","19073","Greene County, Iowa","B17008_003",2286500,715660
"112","19075","Grundy County, Iowa","B17008_001",1680500,497129
"113","19075","Grundy County, Iowa","B17008_002",600500,252976
"114","19075","Grundy County, Iowa","B17008_003",1080000,486051
"115","19077","Guthrie County, Iowa","B17008_001",2275200,564806
"116","19077","Guthrie County, Iowa","B17008_002",836800,358624
