"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","B17020_001",7277,71
"2","19001","Adair County, Iowa","B17020_002",837,216
"3","19001","Adair County, Iowa","B17020_003",39,30
"4","19001","Adair County, Iowa","B17020_004",140,74
"5","19001","Adair County, Iowa","B17020_005",60,34
"6","19001","Adair County, Iowa","B17020_006",409,117
"7","19001","Adair County, Iowa","B17020_007",79,38
"8","19001","Adair County, Iowa","B17020_008",30,19
"9","19001","Adair County, Iowa","B17020_009",80,54
"10","19001","Adair County, Iowa","B17020_010",6440,220
"11","19001","Adair County, Iowa","B17020_011",437,44
"12","19001","Adair County, Iowa","B17020_012",454,110
"13","19001","Adair County, Iowa","B17020_013",499,107
"14","19001","Adair County, Iowa","B17020_014",3087,134
"15","19001","Adair County, Iowa","B17020_015",1406,81
"16","19001","Adair County, Iowa","B17020_016",413,64
"17","19001","Adair County, Iowa","B17020_017",144,48
"18","19003","Adams County, Iowa","B17020_001",3622,60
"19","19003","Adams County, Iowa","B17020_002",424,103
"20","19003","Adams County, Iowa","B17020_003",39,36
"21","19003","Adams County, Iowa","B17020_004",46,33
"22","19003","Adams County, Iowa","B17020_005",7,8
"23","19003","Adams County, Iowa","B17020_006",188,58
"24","19003","Adams County, Iowa","B17020_007",101,34
"25","19003","Adams County, Iowa","B17020_008",18,15
"26","19003","Adams County, Iowa","B17020_009",25,24
"27","19003","Adams County, Iowa","B17020_010",3198,114
"28","19003","Adams County, Iowa","B17020_011",217,37
"29","19003","Adams County, Iowa","B17020_012",263,55
"30","19003","Adams County, Iowa","B17020_013",200,31
"31","19003","Adams County, Iowa","B17020_014",1522,86
"32","19003","Adams County, Iowa","B17020_015",684,64
"33","19003","Adams County, Iowa","B17020_016",251,45
"34","19003","Adams County, Iowa","B17020_017",61,24
"35","19005","Allamakee County, Iowa","B17020_001",13791,98
"36","19005","Allamakee County, Iowa","B17020_002",1449,265
"37","19005","Allamakee County, Iowa","B17020_003",189,81
"38","19005","Allamakee County, Iowa","B17020_004",140,64
"39","19005","Allamakee County, Iowa","B17020_005",129,65
"40","19005","Allamakee County, Iowa","B17020_006",733,179
"41","19005","Allamakee County, Iowa","B17020_007",154,63
"42","19005","Allamakee County, Iowa","B17020_008",68,39
"43","19005","Allamakee County, Iowa","B17020_009",36,36
"44","19005","Allamakee County, Iowa","B17020_010",12342,292
"45","19005","Allamakee County, Iowa","B17020_011",1007,94
"46","19005","Allamakee County, Iowa","B17020_012",929,129
"47","19005","Allamakee County, Iowa","B17020_013",900,115
"48","19005","Allamakee County, Iowa","B17020_014",5829,209
"49","19005","Allamakee County, Iowa","B17020_015",2604,165
"50","19005","Allamakee County, Iowa","B17020_016",726,121
"51","19005","Allamakee County, Iowa","B17020_017",347,93
"52","19007","Appanoose County, Iowa","B17020_001",12207,22
"53","19007","Appanoose County, Iowa","B17020_002",2363,545
"54","19007","Appanoose County, Iowa","B17020_003",212,93
"55","19007","Appanoose County, Iowa","B17020_004",282,131
"56","19007","Appanoose County, Iowa","B17020_005",159,71
"57","19007","Appanoose County, Iowa","B17020_006",1367,357
"58","19007","Appanoose County, Iowa","B17020_007",185,71
"59","19007","Appanoose County, Iowa","B17020_008",110,44
"60","19007","Appanoose County, Iowa","B17020_009",48,53
"61","19007","Appanoose County, Iowa","B17020_010",9844,541
"62","19007","Appanoose County, Iowa","B17020_011",680,116
"63","19007","Appanoose County, Iowa","B17020_012",789,143
"64","19007","Appanoose County, Iowa","B17020_013",676,104
"65","19007","Appanoose County, Iowa","B17020_014",4257,343
"66","19007","Appanoose County, Iowa","B17020_015",2437,112
"67","19007","Appanoose County, Iowa","B17020_016",626,95
"68","19007","Appanoose County, Iowa","B17020_017",379,100
"69","19009","Audubon County, Iowa","B17020_001",5526,64
"70","19009","Audubon County, Iowa","B17020_002",625,156
"71","19009","Audubon County, Iowa","B17020_003",84,38
"72","19009","Audubon County, Iowa","B17020_004",90,40
"73","19009","Audubon County, Iowa","B17020_005",78,42
"74","19009","Audubon County, Iowa","B17020_006",244,70
"75","19009","Audubon County, Iowa","B17020_007",81,33
"76","19009","Audubon County, Iowa","B17020_008",21,14
"77","19009","Audubon County, Iowa","B17020_009",27,18
"78","19009","Audubon County, Iowa","B17020_010",4901,161
"79","19009","Audubon County, Iowa","B17020_011",323,32
"80","19009","Audubon County, Iowa","B17020_012",280,62
"81","19009","Audubon County, Iowa","B17020_013",369,64
"82","19009","Audubon County, Iowa","B17020_014",2268,95
"83","19009","Audubon County, Iowa","B17020_015",1117,75
"84","19009","Audubon County, Iowa","B17020_016",413,65
"85","19009","Audubon County, Iowa","B17020_017",131,50
"86","19011","Benton County, Iowa","B17020_001",25242,134
"87","19011","Benton County, Iowa","B17020_002",2144,347
"88","19011","Benton County, Iowa","B17020_003",110,49
"89","19011","Benton County, Iowa","B17020_004",162,71
"90","19011","Benton County, Iowa","B17020_005",166,62
"91","19011","Benton County, Iowa","B17020_006",1026,215
"92","19011","Benton County, Iowa","B17020_007",359,140
"93","19011","Benton County, Iowa","B17020_008",167,84
"94","19011","Benton County, Iowa","B17020_009",154,104
"95","19011","Benton County, Iowa","B17020_010",23098,362
"96","19011","Benton County, Iowa","B17020_011",1633,124
"97","19011","Benton County, Iowa","B17020_012",1698,176
"98","19011","Benton County, Iowa","B17020_013",2047,163
"99","19011","Benton County, Iowa","B17020_014",12031,312
"100","19011","Benton County, Iowa","B17020_015",4069,236
"101","19011","Benton County, Iowa","B17020_016",1167,134
"102","19011","Benton County, Iowa","B17020_017",453,121
"103","19013","Black Hawk County, Iowa","B17020_001",126784,367
"104","19013","Black Hawk County, Iowa","B17020_002",18979,1296
"105","19013","Black Hawk County, Iowa","B17020_003",1914,377
"106","19013","Black Hawk County, Iowa","B17020_004",1493,284
"107","19013","Black Hawk County, Iowa","B17020_005",1252,344
"108","19013","Black Hawk County, Iowa","B17020_006",11974,885
"109","19013","Black Hawk County, Iowa","B17020_007",1620,283
"110","19013","Black Hawk County, Iowa","B17020_008",477,157
"111","19013","Black Hawk County, Iowa","B17020_009",249,122
"112","19013","Black Hawk County, Iowa","B17020_010",107805,1337
"113","19013","Black Hawk County, Iowa","B17020_011",7415,435
"114","19013","Black Hawk County, Iowa","B17020_012",8368,449
"115","19013","Black Hawk County, Iowa","B17020_013",7824,512
"116","19013","Black Hawk County, Iowa","B17020_014",57118,1031
"117","19013","Black Hawk County, Iowa","B17020_015",19240,523
"118","19013","Black Hawk County, Iowa","B17020_016",5601,310
"119","19013","Black Hawk County, Iowa","B17020_017",2239,267
"120","19015","Boone County, Iowa","B17020_001",26288,163
"121","19015","Boone County, Iowa","B17020_002",1736,302
"122","19015","Boone County, Iowa","B17020_003",59,41
"123","19015","Boone County, Iowa","B17020_004",119,82
"124","19015","Boone County, Iowa","B17020_005",149,89
"125","19015","Boone County, Iowa","B17020_006",940,202
"126","19015","Boone County, Iowa","B17020_007",336,129
"127","19015","Boone County, Iowa","B17020_008",95,54
"128","19015","Boone County, Iowa","B17020_009",38,32
"129","19015","Boone County, Iowa","B17020_010",24552,328
"130","19015","Boone County, Iowa","B17020_011",1644,139
"131","19015","Boone County, Iowa","B17020_012",1656,182
"132","19015","Boone County, Iowa","B17020_013",1971,206
"133","19015","Boone County, Iowa","B17020_014",12928,296
"134","19015","Boone County, Iowa","B17020_015",4756,227
"135","19015","Boone County, Iowa","B17020_016",1217,116
"136","19015","Boone County, Iowa","B17020_017",380,95
"137","19017","Bremer County, Iowa","B17020_001",23353,247
"138","19017","Bremer County, Iowa","B17020_002",1732,361
"139","19017","Bremer County, Iowa","B17020_003",134,66
"140","19017","Bremer County, Iowa","B17020_004",189,80
"141","19017","Bremer County, Iowa","B17020_005",169,90
"142","19017","Bremer County, Iowa","B17020_006",933,225
"143","19017","Bremer County, Iowa","B17020_007",206,67
"144","19017","Bremer County, Iowa","B17020_008",79,40
"145","19017","Bremer County, Iowa","B17020_009",22,22
"146","19017","Bremer County, Iowa","B17020_010",21621,448
"147","19017","Bremer County, Iowa","B17020_011",1659,92
"148","19017","Bremer County, Iowa","B17020_012",1803,193
"149","19017","Bremer County, Iowa","B17020_013",1682,145
"150","19017","Bremer County, Iowa","B17020_014",10795,357
"151","19017","Bremer County, Iowa","B17020_015",3764,172
"152","19017","Bremer County, Iowa","B17020_016",1435,126
"153","19017","Bremer County, Iowa","B17020_017",483,101
"154","19019","Buchanan County, Iowa","B17020_001",20395,84
"155","19019","Buchanan County, Iowa","B17020_002",1637,323
"156","19019","Buchanan County, Iowa","B17020_003",165,89
"157","19019","Buchanan County, Iowa","B17020_004",146,72
"158","19019","Buchanan County, Iowa","B17020_005",206,87
"159","19019","Buchanan County, Iowa","B17020_006",774,176
"160","19019","Buchanan County, Iowa","B17020_007",238,79
"161","19019","Buchanan County, Iowa","B17020_008",98,42
"162","19019","Buchanan County, Iowa","B17020_009",10,9
"163","19019","Buchanan County, Iowa","B17020_010",18758,330
"164","19019","Buchanan County, Iowa","B17020_011",1416,107
"165","19019","Buchanan County, Iowa","B17020_012",1748,191
