"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","B17001_001",7277,71
"2","19001","Adair County, Iowa","B17001_002",837,216
"3","19001","Adair County, Iowa","B17001_003",314,95
"4","19001","Adair County, Iowa","B17001_004",25,20
"5","19001","Adair County, Iowa","B17001_005",3,6
"6","19001","Adair County, Iowa","B17001_006",67,38
"7","19001","Adair County, Iowa","B17001_007",13,14
"8","19001","Adair County, Iowa","B17001_008",9,10
"9","19001","Adair County, Iowa","B17001_009",5,9
"10","19001","Adair County, Iowa","B17001_010",29,24
"11","19001","Adair County, Iowa","B17001_011",36,23
"12","19001","Adair County, Iowa","B17001_012",40,21
"13","19001","Adair County, Iowa","B17001_013",17,17
"14","19001","Adair County, Iowa","B17001_014",18,17
"15","19001","Adair County, Iowa","B17001_015",24,16
"16","19001","Adair County, Iowa","B17001_016",28,29
"17","19001","Adair County, Iowa","B17001_017",523,141
"18","19001","Adair County, Iowa","B17001_018",11,14
"19","19001","Adair County, Iowa","B17001_019",0,15
"20","19001","Adair County, Iowa","B17001_020",73,44
"21","19001","Adair County, Iowa","B17001_021",22,17
"22","19001","Adair County, Iowa","B17001_022",6,9
"23","19001","Adair County, Iowa","B17001_023",5,8
"24","19001","Adair County, Iowa","B17001_024",59,32
"25","19001","Adair County, Iowa","B17001_025",64,29
"26","19001","Adair County, Iowa","B17001_026",51,29
"27","19001","Adair County, Iowa","B17001_027",65,36
"28","19001","Adair County, Iowa","B17001_028",58,28
"29","19001","Adair County, Iowa","B17001_029",27,17
"30","19001","Adair County, Iowa","B17001_030",82,44
"31","19001","Adair County, Iowa","B17001_031",6440,220
"32","19001","Adair County, Iowa","B17001_032",3387,104
"33","19001","Adair County, Iowa","B17001_033",215,18
"34","19001","Adair County, Iowa","B17001_034",29,20
"35","19001","Adair County, Iowa","B17001_035",256,68
"36","19001","Adair County, Iowa","B17001_036",98,52
"37","19001","Adair County, Iowa","B17001_037",20,15
"38","19001","Adair County, Iowa","B17001_038",105,26
"39","19001","Adair County, Iowa","B17001_039",256,34
"40","19001","Adair County, Iowa","B17001_040",420,31
"41","19001","Adair County, Iowa","B17001_041",347,25
"42","19001","Adair County, Iowa","B17001_042",401,21
"43","19001","Adair County, Iowa","B17001_043",592,18
"44","19001","Adair County, Iowa","B17001_044",395,20
"45","19001","Adair County, Iowa","B17001_045",253,35
"46","19001","Adair County, Iowa","B17001_046",3053,165
"47","19001","Adair County, Iowa","B17001_047",183,27
"48","19001","Adair County, Iowa","B17001_048",10,9
"49","19001","Adair County, Iowa","B17001_049",198,60
"50","19001","Adair County, Iowa","B17001_050",138,62
"51","19001","Adair County, Iowa","B17001_051",45,38
"52","19001","Adair County, Iowa","B17001_052",93,38
"53","19001","Adair County, Iowa","B17001_053",151,32
"54","19001","Adair County, Iowa","B17001_054",344,35
"55","19001","Adair County, Iowa","B17001_055",353,32
"56","19001","Adair County, Iowa","B17001_056",354,46
"57","19001","Adair County, Iowa","B17001_057",503,31
"58","19001","Adair County, Iowa","B17001_058",377,25
"59","19001","Adair County, Iowa","B17001_059",304,67
"60","19003","Adams County, Iowa","B17001_001",3622,60
"61","19003","Adams County, Iowa","B17001_002",424,103
"62","19003","Adams County, Iowa","B17001_003",196,63
"63","19003","Adams County, Iowa","B17001_004",14,17
"64","19003","Adams County, Iowa","B17001_005",0,10
"65","19003","Adams County, Iowa","B17001_006",30,25
"66","19003","Adams County, Iowa","B17001_007",2,3
"67","19003","Adams County, Iowa","B17001_008",0,10
"68","19003","Adams County, Iowa","B17001_009",0,10
"69","19003","Adams County, Iowa","B17001_010",8,10
"70","19003","Adams County, Iowa","B17001_011",10,10
"71","19003","Adams County, Iowa","B17001_012",8,8
"72","19003","Adams County, Iowa","B17001_013",55,42
"73","19003","Adams County, Iowa","B17001_014",32,24
"74","19003","Adams County, Iowa","B17001_015",28,20
"75","19003","Adams County, Iowa","B17001_016",9,9
"76","19003","Adams County, Iowa","B17001_017",228,76
"77","19003","Adams County, Iowa","B17001_018",20,19
"78","19003","Adams County, Iowa","B17001_019",5,8
"79","19003","Adams County, Iowa","B17001_020",16,16
"80","19003","Adams County, Iowa","B17001_021",3,5
"81","19003","Adams County, Iowa","B17001_022",2,3
"82","19003","Adams County, Iowa","B17001_023",0,10
"83","19003","Adams County, Iowa","B17001_024",17,19
"84","19003","Adams County, Iowa","B17001_025",16,24
"85","19003","Adams County, Iowa","B17001_026",37,32
"86","19003","Adams County, Iowa","B17001_027",20,17
"87","19003","Adams County, Iowa","B17001_028",39,25
"88","19003","Adams County, Iowa","B17001_029",19,13
"89","19003","Adams County, Iowa","B17001_030",34,26
"90","19003","Adams County, Iowa","B17001_031",3198,114
"91","19003","Adams County, Iowa","B17001_032",1613,68
"92","19003","Adams County, Iowa","B17001_033",92,18
"93","19003","Adams County, Iowa","B17001_034",9,10
"94","19003","Adams County, Iowa","B17001_035",145,33
"95","19003","Adams County, Iowa","B17001_036",31,21
"96","19003","Adams County, Iowa","B17001_037",36,16
"97","19003","Adams County, Iowa","B17001_038",29,16
"98","19003","Adams County, Iowa","B17001_039",123,15
"99","19003","Adams County, Iowa","B17001_040",184,10
"100","19003","Adams County, Iowa","B17001_041",181,11
"101","19003","Adams County, Iowa","B17001_042",151,44
"102","19003","Adams County, Iowa","B17001_043",292,25
"103","19003","Adams County, Iowa","B17001_044",199,20
"104","19003","Adams County, Iowa","B17001_045",141,18
"105","19003","Adams County, Iowa","B17001_046",1585,85
"106","19003","Adams County, Iowa","B17001_047",81,20
"107","19003","Adams County, Iowa","B17001_048",35,18
"108","19003","Adams County, Iowa","B17001_049",118,38
"109","19003","Adams County, Iowa","B17001_050",42,25
"110","19003","Adams County, Iowa","B17001_051",10,9
"111","19003","Adams County, Iowa","B17001_052",52,11
"112","19003","Adams County, Iowa","B17001_053",83,22
"113","19003","Adams County, Iowa","B17001_054",178,24
"114","19003","Adams County, Iowa","B17001_055",162,34
"115","19003","Adams County, Iowa","B17001_056",185,21
"116","19003","Adams County, Iowa","B17001_057",270,25
"117","19003","Adams County, Iowa","B17001_058",198,13
"118","19003","Adams County, Iowa","B17001_059",171,31
"119","19005","Allamakee County, Iowa","B17001_001",13791,98
"120","19005","Allamakee County, Iowa","B17001_002",1449,265
"121","19005","Allamakee County, Iowa","B17001_003",590,155
"122","19005","Allamakee County, Iowa","B17001_004",64,46
"123","19005","Allamakee County, Iowa","B17001_005",3,5
"124","19005","Allamakee County, Iowa","B17001_006",54,29
"125","19005","Allamakee County, Iowa","B17001_007",17,20
"126","19005","Allamakee County, Iowa","B17001_008",6,8
"127","19005","Allamakee County, Iowa","B17001_009",11,12
"128","19005","Allamakee County, Iowa","B17001_010",79,65
"129","19005","Allamakee County, Iowa","B17001_011",79,52
"130","19005","Allamakee County, Iowa","B17001_012",99,52
"131","19005","Allamakee County, Iowa","B17001_013",25,25
"132","19005","Allamakee County, Iowa","B17001_014",70,30
"133","19005","Allamakee County, Iowa","B17001_015",45,29
"134","19005","Allamakee County, Iowa","B17001_016",38,26
