"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","B22003_001",3180,114
"2","19001","Adair County, Iowa","B22003_002",381,90
"3","19001","Adair County, Iowa","B22003_003",198,70
"4","19001","Adair County, Iowa","B22003_004",183,62
"5","19001","Adair County, Iowa","B22003_005",2799,121
"6","19001","Adair County, Iowa","B22003_006",181,51
"7","19001","Adair County, Iowa","B22003_007",2618,116
"8","19003","Adams County, Iowa","B22003_001",1529,94
"9","19003","Adams County, Iowa","B22003_002",186,51
"10","19003","Adams County, Iowa","B22003_003",69,30
"11","19003","Adams County, Iowa","B22003_004",117,40
"12","19003","Adams County, Iowa","B22003_005",1343,97
"13","19003","Adams County, Iowa","B22003_006",101,37
"14","19003","Adams County, Iowa","B22003_007",1242,83
"15","19005","Allamakee County, Iowa","B22003_001",5814,178
"16","19005","Allamakee County, Iowa","B22003_002",372,98
"17","19005","Allamakee County, Iowa","B22003_003",162,68
"18","19005","Allamakee County, Iowa","B22003_004",210,81
"19","19005","Allamakee County, Iowa","B22003_005",5442,221
"20","19005","Allamakee County, Iowa","B22003_006",346,87
"21","19005","Allamakee County, Iowa","B22003_007",5096,217
"22","19007","Appanoose County, Iowa","B22003_001",4920,207
"23","19007","Appanoose County, Iowa","B22003_002",649,150
"24","19007","Appanoose County, Iowa","B22003_003",372,132
"25","19007","Appanoose County, Iowa","B22003_004",277,100
"26","19007","Appanoose County, Iowa","B22003_005",4271,242
"27","19007","Appanoose County, Iowa","B22003_006",442,122
"28","19007","Appanoose County, Iowa","B22003_007",3829,250
"29","19009","Audubon County, Iowa","B22003_001",2498,80
"30","19009","Audubon County, Iowa","B22003_002",213,48
"31","19009","Audubon County, Iowa","B22003_003",104,36
"32","19009","Audubon County, Iowa","B22003_004",109,37
"33","19009","Audubon County, Iowa","B22003_005",2285,85
"34","19009","Audubon County, Iowa","B22003_006",119,43
"35","19009","Audubon County, Iowa","B22003_007",2166,91
"36","19011","Benton County, Iowa","B22003_001",10075,224
"37","19011","Benton County, Iowa","B22003_002",624,134
"38","19011","Benton County, Iowa","B22003_003",297,99
"39","19011","Benton County, Iowa","B22003_004",327,93
"40","19011","Benton County, Iowa","B22003_005",9451,265
"41","19011","Benton County, Iowa","B22003_006",599,149
"42","19011","Benton County, Iowa","B22003_007",8852,265
"43","19013","Black Hawk County, Iowa","B22003_001",53465,505
"44","19013","Black Hawk County, Iowa","B22003_002",6923,649
"45","19013","Black Hawk County, Iowa","B22003_003",3218,488
"46","19013","Black Hawk County, Iowa","B22003_004",3705,411
"47","19013","Black Hawk County, Iowa","B22003_005",46542,711
"48","19013","Black Hawk County, Iowa","B22003_006",4572,506
"49","19013","Black Hawk County, Iowa","B22003_007",41970,736
"50","19015","Boone County, Iowa","B22003_001",10720,232
"51","19015","Boone County, Iowa","B22003_002",767,165
"52","19015","Boone County, Iowa","B22003_003",262,103
"53","19015","Boone County, Iowa","B22003_004",505,131
"54","19015","Boone County, Iowa","B22003_005",9953,253
"55","19015","Boone County, Iowa","B22003_006",522,158
"56","19015","Boone County, Iowa","B22003_007",9431,283
"57","19017","Bremer County, Iowa","B22003_001",9638,191
"58","19017","Bremer County, Iowa","B22003_002",463,116
"59","19017","Bremer County, Iowa","B22003_003",252,84
"60","19017","Bremer County, Iowa","B22003_004",211,75
"61","19017","Bremer County, Iowa","B22003_005",9175,240
"62","19017","Bremer County, Iowa","B22003_006",438,98
"63","19017","Bremer County, Iowa","B22003_007",8737,250
"64","19019","Buchanan County, Iowa","B22003_001",7787,210
"65","19019","Buchanan County, Iowa","B22003_002",593,118
"66","19019","Buchanan County, Iowa","B22003_003",276,106
"67","19019","Buchanan County, Iowa","B22003_004",317,81
"68","19019","Buchanan County, Iowa","B22003_005",7194,210
"69","19019","Buchanan County, Iowa","B22003_006",464,109
"70","19019","Buchanan County, Iowa","B22003_007",6730,215
"71","19021","Buena Vista County, Iowa","B22003_001",7506,174
"72","19021","Buena Vista County, Iowa","B22003_002",769,171
"73","19021","Buena Vista County, Iowa","B22003_003",265,92
"74","19021","Buena Vista County, Iowa","B22003_004",504,153
"75","19021","Buena Vista County, Iowa","B22003_005",6737,220
"76","19021","Buena Vista County, Iowa","B22003_006",403,111
"77","19021","Buena Vista County, Iowa","B22003_007",6334,222
"78","19023","Butler County, Iowa","B22003_001",5860,140
"79","19023","Butler County, Iowa","B22003_002",505,108
"80","19023","Butler County, Iowa","B22003_003",263,77
"81","19023","Butler County, Iowa","B22003_004",242,70
"82","19023","Butler County, Iowa","B22003_005",5355,165
"83","19023","Butler County, Iowa","B22003_006",476,86
"84","19023","Butler County, Iowa","B22003_007",4879,177
"85","19025","Calhoun County, Iowa","B22003_001",3932,134
"86","19025","Calhoun County, Iowa","B22003_002",393,80
"87","19025","Calhoun County, Iowa","B22003_003",164,50
"88","19025","Calhoun County, Iowa","B22003_004",229,66
"89","19025","Calhoun County, Iowa","B22003_005",3539,129
"90","19025","Calhoun County, Iowa","B22003_006",275,52
"91","19025","Calhoun County, Iowa","B22003_007",3264,130
"92","19027","Carroll County, Iowa","B22003_001",8761,225
"93","19027","Carroll County, Iowa","B22003_002",683,147
"94","19027","Carroll County, Iowa","B22003_003",376,116
"95","19027","Carroll County, Iowa","B22003_004",307,112
"96","19027","Carroll County, Iowa","B22003_005",8078,253
"97","19027","Carroll County, Iowa","B22003_006",580,127
"98","19027","Carroll County, Iowa","B22003_007",7498,263
